Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma,Globorotalia crassaformis,Globoconella inflata,Globigerina quinqueloba,Globigerina bulloides,Menardella menardii,Hastigerina siphonifera,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia scitula,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinella siphonifera,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia tumida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,175,1082,A,  1,H,CC,  21.00,      7.8400,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,A8               ,P                                      ,P                          ,                         ,D27                 ,                       ,D20                  ,                   ,1                      ,5                            ,                      ,                    ,                          ,                     ,                          ,                            ,                          ,                   ,N pachy L + R are both present but only in the 150 - 250 size fraction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,175,1082,A,  2,H,CC,  22.00,     17.3700,Christensen,Planktonic Foraminifers                      ,A              ,VG                ,A10              ,2                                      ,A19                        ,1                        ,A10                 ,                       ,A17                  ,                   ,1                      ,1                            ,                      ,                    ,                          ,                     ,                          ,                            ,A9                        ,                   ,Incredibly high abundance of Bolivina spp.  (~ 98% of >250 fraction); some uvigerina spp mixed in.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,175,1082,A,  3,H,CC,  25.00,     27.1600,Christensen,Planktonic Foraminifers                      ,               ,                  ,                 ,                                       ,A5                         ,                         ,D23                 ,                       ,D13                  ,                   ,                       ,2                            ,                      ,                    ,                          ,                     ,                          ,                            ,                          ,                   ,"G. bulloides dominated (upwelingl), esp in the 150 - 250"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1082,A,  4,H,CC,  19.00,     36.7100,Christensen,Planktonic Foraminifers                      ,               ,                  ,5                ,                                       ,                           ,1                        ,19                  ,                       ,5                    ,P                  ,1                      ,2                            ,                      ,P                   ,                          ,                     ,                          ,                            ,3                         ,P                  ,dirty sample; U. peregrina are present and bulloides are no longer dominatn; G. crassaformis present
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1082,A,  5,H,CC,  32.00,     46.5200,Christensen,Planktonic Foraminifers                      ,C              ,VG                ,4                ,P                                      ,P                          ,3                        ,10                  ,                       ,8                    ,                   ,                       ,5                            ,                      ,                    ,                          ,                     ,                          ,                            ,1                         ,                   ,common sponge spicules and rads; no menardii but there are pachys; N. pachy (L) is in the 150 - 250 mm frcation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
