Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus neoabies	Sphenolithus abies	Spenaster metula	Scyphosphaera globulata	Reticulofenestra pseudoumbilica	Reticulofenestra minutula/ R.haqii	Discoaster variabilis	Discoaster surculus	Discoaster stellulus	Discoaster quinqueramus	Discoaster intercalaris	Discoaster brouweri	Discoaster berggrenii	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Angulolithina arca	Amaurolithus primus	Reticulofenestra minuta	Dictyococcites antarcticus	Amaurolithus amplificus	Helicosphaera carteri	Discoaster pseudovariabilis	Discoaster pentaradiatus	Dictyococcites productus	Neosphaera coccolithomorpha	Pseudoemiliania lacunosa	Amaurolithus delicatus	Discoaster triradiatus	Amaurolithus tricorniculatus	Helicosphaera sellii	Coccolithus streckerii	Ceratolithus rugosus	Ceratolithus acutus	Discoaster asymmetricus	Gephyrocapsa spp.	Discoaster tamalis	Pontosphaera scutellum	Pontosphaera japonica	Pontosphaera discopora	Umbilicosphaera sibogae	Ceratolithus telesmus	Umbellosphaera spp.	Rhabdosphaera clavigera	Thoracosphaera spp.	Ceratolithus cristatus	Helicosphaera neogranulata	Gephyrocapsa oceanica	Emiliania huxleyi	Comment



  SR	Pleistocene      	                 	NN21              	              	111	 677	A	  1	H	CC	   8.00	      6.2100	Houghton 	Nannofossils                                 	F              	P                 	                     	                  	                	                       	                               	                                  	                     	                   	                    	                       	                       	                   	                     	                     	                      	F                     	                  	                   	                       	                          	                       	                     	                           	                        	                        	                           	                        	                      	                      	                            	                    	                      	                    	                   	                       	C                	                  	                      	                     	                      	R                      	                     	                   	                       	                   	                      	                          	A                    	R                	from 111 SR. Chapter 23. Table 2. page 279.

  SR	Pleistocene      	                 	NN20              	              	111	 677	A	  2	H	CC	  16.00	     15.9700	Houghton 	Nannofossils                                 	F              	P                 	                     	                  	                	                       	                               	F                                 	                     	                   	                    	                       	                       	                   	                     	                     	                      	F                     	                  	                   	                       	                          	                       	R                    	                           	                        	                        	                           	                        	                      	                      	                            	                    	                      	                    	                   	                       	F                	                  	                      	                     	                      	R                      	                     	R                  	R                      	                   	R                     	                          	A                    	                 	from 111 SR. Chapter 23. Table 2. page 279.

  SR	Pleistocene      	                 	NN19              	              	111	 677	A	  3	H	CC	   8.00	     25.4500	Houghton 	Nannofossils                                 	F              	M                 	                     	                  	                	R                      	                               	                                  	                     	                   	                    	                       	                       	                   	                     	R                    	                      	F                     	                  	                   	                       	                          	                       	F                    	                           	                        	                        	R                          	A                       	                      	                      	                            	                    	                      	                    	                   	                       	C                	                  	R                     	R                    	R                     	                       	                     	                   	R                      	                   	R                     	                          	A                    	                 	from 111 SR. Chapter 23. Table 2. page 279.

  SR	Pleistocene      	                 	NN19              	              	111	 677	A	  4	H	CC	  30.00	     34.6800	Houghton 	Nannofossils                                 	C              	P                 	                     	                  	                	                       	                               	F                                 	                     	                   	                    	                       	                       	                   	                     	                     	                      	C                     	                  	                   	                       	                          	                       	F                    	                           	                        	                        	                           	A                       	                      	                      	                            	                    	                      	                    	                   	                       	C                	                  	                      	                     	                      	                       	                     	                   	                       	                   	R                     	                          	A                    	                 	from 111 SR. Chapter 23. Table 2. page 279.
