Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassionema nitzschioides,Rossiella paleacea,Crucidenticula nicobarica,Coscinodiscus lewisianus,Cestodiscus pulchellus var. maculatus,Cestodiscus pulchellus,Cestodiscus peplum,Cavitatus jouseanus,Annellus californicus,Coscinodiscus marginatus,Thalassiosira tappanae,Odontella aurita,Craspedodiscus coscinodiscus,Asterolampra acutiloba,Actinoptychus senarius,Asteromphalus elegans,Triceratium pileus,Azpeitia nodulifera,Actinocyclus moronensis,Thalassiosira oestrupii,Denticulopsis hustedtii,Actinocyclus ellipticus var. javanica,Coscinodiscus lewisianus var. similis,Actinocyclus ellipticus f. lanceolata,Thalassiosira plicata,Thalassiosira yabei,Coscinodiscus gigas var. diorama,Coscinodiscus temperei var. delicata,Hemidiscus cuneiformis,Nitzschia miocenica,Nitzschia reinholdii,Nitzschia marina,Rhizosolenia praebergonii var. robusta,Actinocyclus ellipticus,Nitzschia fossilis,Pseudoeunotia doliolus,Actinoptychus minutus,Rhizosolenia praebergonii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,,170,1039,B,  1,H,CC,  10.00,      1.9000,White    ,Diatoms                                      ,C              ,M                 ,F                        ,F                          ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,R                       ,                      ,                ,                            ,F                     ,R                     ,F                    ,                  ,C                  ,rR                     ,C                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,                      ,                   ,                    ,F               ,                                      ,                       ,                  ,F                     ,                     ,T                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,,170,1039,B,  2,H, 5,  19.00,      8.1900,White    ,Diatoms                                      ,A              ,G                 ,F                        ,C                          ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,R                     ,                     ,                  ,C                  ,                       ,F                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,F                     ,                   ,                    ,F               ,                                      ,                       ,                  ,C                     ,                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,,170,1039,B,  3,H,CC,  15.00,     20.4300,White    ,Diatoms                                      ,A              ,M                 ,R                        ,F                          ,                  ,rR                       ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,F                     ,F                     ,F                    ,rR                ,C                  ,                       ,C                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,F                     ,                   ,                    ,F               ,rR                                    ,                       ,                  ,F                     ,F                    ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,P. doliolus   ,,170,1039,B,  4,H,CC,  38.00,     31.0300,White    ,Diatoms                                      ,C              ,M                 ,                         ,                           ,                  ,                         ,                        ,                                     ,                      ,                  ,                   ,                     ,                        ,                      ,                ,                            ,                      ,                      ,                     ,rR                ,F                  ,                       ,F                      ,                       ,                                     ,                                     ,                                     ,                     ,                   ,                                ,                                    ,R                     ,                   ,                    ,F               ,rR                                    ,                       ,R                 ,C                     ,                     ,                         ,       
