Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Verneuilina spp.	Stensioina beccariiformis	Spiroplectammina spp.	Saracenaria spp.	Pullenia cretacea	Pullenia coryelli	Pullenia americana	Praebulimina spp.	Pleurostomella spp.	Osangularia velascoensis	Oridorsalis sp. 1	Oolina spp.	Nuttallinella florealis	Nuttallides truempyi (thin shaped)	Nodosaria soluta	Nodosarella spp.	Marginulina spp.	Lenticulina spp.	Gyroidinoides quadratus	Gyroidinoides planulatus	Gyroidinoides globulosus	Gyroidina soldanii	Gravellina sp.	Gaudryina cf. laevigata	Frondicularia spp.	Fissurina spp.	Dorothia trochoides	Dentalina spp.	Coryphostoma midwayensis	Cibicidoides velascoensis	Cibicidoides spp.	Cibicidoides hyphalus	Cibicidoides dayi	Bulimina triangularis	Bolivinoides draco	Astrononion stelligerum	Anomalinoides spp.	Anomalinoides grosserugosus	Anomalina praeacuta	Valvulineria spp.	Vaginulina spp.	Reussella ? sp. 	Pyramidina sp.	Pullenia spp.	Pullenia reussi	Orthomorphina spp.	Lagena spp.	Gyroidinoides spp.	Guttulina sp.	Ellipsoidina sp.	Cibicidoides cf. velascoensis	Spiroplectammina spectabilis	Oridorsalis umbonatus	Nodosaria spp.	Guttulina problema	Dorothia spp.	Cibicides cf. ribbingi	Pseudonodosaria sp.	Nodosaria vertebralis	Guttulina cf. trigonula	Globulina gibba	Ellipsoidella spp.	Buliminella sp. 1	Pyrulina sp.	Oridorsalis sp.	Bulimina sp.	Astacolus spp.	Nuttallides truempyi	Coryphostoma incrassata	Neoflabellina reticulata	Eouvigerina americana ?	Nonionella unspecified taxon	Globorotalites conicus	Siphotextularia ? sp.	Praebulimina navarroensis	Lingulina sp.	Dorothia conicula	Ammodiscus sp.	Stilostomella spp.	Osangularia cordieriana	Dorothia bulletta	Glabratella sp.	Nuttallides ? sp.	Marssonella sp.	Glandulina ? sp.	Osangularia sp. 1	Ellipsoidina ellipsoides	Alabamina creta	Cibicidoides cf. pseudoperlucidus	Gyroidinoides cf. globulosus	Bolivinoides delicatulus	Anomalinoides undulatus	Allomorphina sp.	Gavelinella sp.	Discorbis sp.	Cibicides spp.	Tritaxia globulifera	Ramulina sp.	Gaudryina sp.	Dorothia cf. oxycona	Conorbina sp.	Bulimina trinitatensis	Quadrimorphina allomorphinoides	Nonion spp.	Massilina sp.	Clavulina spp.	Bathysiphon sp. 	Eponides sp.	Remesella varians	Gyroidinoides cf. exsertus	Gyroidina noda	Anomalinoides capitatus/danicus	Saccammina ? sp.	Aragonia aragonensis	Tritaxia cf. globulifera	Anomalinoides semicribratus	Sphaeroidina sp.	Uvigerina spp.	Tritaxia ? sp.	Tritaxia paleocenica	Pleurostomella alternans	Lenticulina whitei	Stilostomella gracillima	Gaudryina pyramidata	Cibicides excavata	Astrononion sp.	Comment



  SR	                 	                 	                  	              	121	 752	B	  5	R	 3	  50.00	    300.5000	Nomura   	Benthic Foraminifers                         	               	                  	                	73                       	2                    	3               	7                	18               	4                 	4                	                   	                        	13               	1          	                       	                                  	                	2               	                	11              	                       	18                      	                        	4                 	              	                       	2                 	1             	                   	              	6                       	1                        	                 	9                    	                 	                     	                  	                       	                  	                           	21                 	                 	               	                	              	             	4              	                  	           	2                 	6            	                	                             	                            	                     	5             	                  	             	                      	                   	2                    	                       	1              	2                 	                 	            	1              	            	5             	                    	                       	1                       	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	6              	                                 	                            	                        	                       	                	               	             	              	                    	            	             	                    	             	9                     	6                              	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	                           	                	              	              	                    	                        	11                	1                       	7                   	1                 	1              	Total number of specimens 269 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	  6	R	 1	  44.00	    307.0400	Nomura   	Benthic Foraminifers                         	               	                  	                	76                       	                     	                	2                	23               	2                 	                 	                   	                        	1                	1          	                       	                                  	                	1               	2               	16              	                       	                        	                        	5                 	              	11                     	                  	              	                   	              	9                       	2                        	                 	27                   	                 	                     	                  	                       	                  	                           	14                 	3                	1              	                	              	             	3              	2                 	           	                  	13           	                	                             	                            	                     	19            	1                 	             	                      	                   	                     	4                      	1              	                  	                 	            	               	            	4             	15                  	                       	                        	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	9              	                                 	                            	                        	                       	                	               	             	              	5                   	            	             	                    	             	3                     	                               	           	             	              	                	            	                 	                          	              	                               	                	                    	                        	4                          	                	              	              	6                   	1                       	6                 	                        	                    	                  	               	Total number of specimens 283 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	  6	R	 3	  99.00	    310.5900	Nomura   	Benthic Foraminifers                         	               	                  	                	78                       	1                    	                	2                	18               	2                 	1                	                   	                        	                 	2          	                       	                                  	                	                	2               	                	                       	5                       	                        	1                 	              	                       	1                 	              	                   	              	2                       	31                       	                 	12                   	                 	                     	                  	                       	2                 	                           	19                 	3                	               	                	              	             	               	                  	           	                  	             	                	                             	                            	                     	13            	                  	             	                      	1                  	1                    	                       	1              	1                 	                 	            	1              	            	3             	1                   	                       	1                       	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	8              	                                 	                            	                        	                       	                	               	             	              	                    	            	4            	                    	             	10                    	                               	14         	             	              	                	            	                 	                          	              	                               	                	                    	                        	2                          	                	2             	3             	                    	                        	                  	                        	                    	                  	               	Total number of specimens 238 from ODP Leg 121 SR Chapter 1 Table 1

  SR	                 	                 	                  	              	121	 752	B	  7	R	 1	  82.00	    316.9200	Nomura   	Benthic Foraminifers                         	               	                  	                	55                       	                     	                	5                	22               	2                 	1                	                   	                        	                 	1          	                       	                                  	                	2               	1               	4               	                       	4                       	                        	                  	              	                       	                  	              	                   	1             	                        	14                       	                 	3                    	                 	                     	                  	                       	2                 	                           	15                 	2                	               	                	              	             	               	                  	           	3                 	             	                	                             	                            	                     	2             	                  	             	                      	                   	1                    	3                      	2              	2                 	                 	            	               	            	3             	20                  	                       	1                       	                       	                            	                      	                     	                         	             	                 	              	                  	                       	                 	               	                 	               	                	                 	                        	8              	                                 	                            	                        	                       	                	               	             	              	3                   	            	1            	                    	             	8                     	                               	7          	             	              	                	            	                 	                          	              	                               	                	                    	3                       	3                          	6               	              	              	                    	                        	                  	                        	                    	                  	               	Total number of specimens 204 from ODP Leg 121 SR Chapter 1 Table 1
