Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
,,Abyssamina,,,,incisa,,,,Abyssamina incisa,benthic_forams,762,Abyssamina,genus,103796,Chilostomellidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
,,Adercotryma,,,,glomeratum,,,,Adercotryma glomeratum,benthic_forams,774,Adercotryma,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
,,Adercotryma,,,,sp.,,,,Adercotryma sp.,benthic_forams,774,Adercotryma,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
,,Alabamina,,,,decorata,,,,Alabamina decorata,benthic_forams,788,Alabamina,genus,82213,Alabaminidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Alabamina,,,,haitiensis,,,,Alabamina haitiensis,benthic_forams,788,Alabamina,genus,82213,Alabaminidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Alabamina,,,,marginata,,,,Alabamina marginata,benthic_forams,788,Alabamina,genus,82213,Alabaminidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Alabamina,,,,midwayensis,,,,Alabamina midwayensis,benthic_forams,788,Alabamina,genus,82213,Alabaminidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Alabamina,,,,naraensis,,,,Alabamina naraensis,benthic_forams,788,Alabamina,genus,82213,Alabaminidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Alabamina,,,,obtusa,,,,Alabamina obtusa,benthic_forams,788,Alabamina,genus,82213,Alabaminidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Alabamina,,,,polita,,,,Alabamina polita,benthic_forams,788,Alabamina,genus,82213,Alabaminidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Alabamina,,,,wilcoxensis,,,,Alabamina wilcoxensis,benthic_forams,788,Alabamina,genus,82213,Alabaminidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Alabaminoides,,,,exiguus,,,,Alabaminoides exiguus,benthic_forams,789,Alabaminoides,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
,,Alabaminella,,,,wedellensis,,,,Alabaminella wedellensis,benthic_forams,423746,Alabaminella,genus,241423,Eponididae,,,,,288974,Foraminifera,212476,Rhizaria
Alabaminella,,Allomorphinella,,,,sp.,,,,Alabaminella Allomorphinella sp.,benthic_forams,795,Allomorphinella,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
,?,Allomorphinella,,,,sp.,,,,? Allomorphinella sp.,benthic_forams,795,Allomorphinella,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
,,Alveolophragmium,,,,crassimargo,,,,Alveolophragmium crassimargo,benthic_forams,805,Alveolophragmium,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammobaculites,,,,coprolithiformis,,,,Ammobaculites coprolithiformis,benthic_forams,813,Ammobaculites,genus,103761,Haplophragmoiidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammobaculites,,,,expansus,,,,Ammobaculites expansus,benthic_forams,813,Ammobaculites,genus,103761,Haplophragmoiidae,,,,,288974,Foraminifera,212476,Rhizaria
,?,Ammobaculites,,,,expansus,,,,? Ammobaculites expansus,benthic_forams,813,Ammobaculites,genus,103761,Haplophragmoiidae,,,,,288974,Foraminifera,212476,Rhizaria
,?,Ammobaculoides,,,,navarroensis,,,,? Ammobaculoides navarroensis,benthic_forams,814,Ammobaculoides,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammodiscus,,,,cretaceous,,,,Ammodiscus cretaceous,benthic_forams,818,Ammodiscus,genus,112199,Ammodiscidae,,,,,288974,Foraminifera,212476,Rhizaria
,?,Ammodiscus,,,,glabratus,,,,? Ammodiscus glabratus,benthic_forams,818,Ammodiscus,genus,112199,Ammodiscidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammodiscus,,,,incertus,,,,Ammodiscus incertus,benthic_forams,818,Ammodiscus,genus,112199,Ammodiscidae,,,,,288974,Foraminifera,212476,Rhizaria
,?,Ammodiscus,,,,incertus,,,,? Ammodiscus incertus,benthic_forams,818,Ammodiscus,genus,112199,Ammodiscidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammodiscus,,,,peruvianus,,,,Ammodiscus peruvianus,benthic_forams,818,Ammodiscus,genus,112199,Ammodiscidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammolagena,,,,clavata,,,,Ammolagena clavata,benthic_forams,821,Ammolagena,genus,112199,Ammodiscidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammomassilina,,,,alveoliniformis,,,,Ammomassilina alveoliniformis,benthic_forams,240354,Ammomassilina,genus,155936,Hauerinidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
,?,Ammomassilina,,,,alveoliniformis,,,,? Ammomassilina alveoliniformis,benthic_forams,240354,Ammomassilina,genus,155936,Hauerinidae,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
,,Ammonia,,,,ammoniformis,,,,Ammonia ammoniformis,benthic_forams,823,Ammonia,genus,103768,Rotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammonia,,,,hatatensis,,,,Ammonia hatatensis,benthic_forams,823,Ammonia,genus,103768,Rotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammonia,,,,parkinsoniana,,,,Ammonia parkinsoniana,benthic_forams,823,Ammonia,genus,103768,Rotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammonia,,,,perlucida,,,,Ammonia perlucida,benthic_forams,823,Ammonia,genus,103768,Rotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammonia,,,,sikokuensis,,,,Ammonia sikokuensis,benthic_forams,823,Ammonia,genus,103768,Rotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammonia,,,,viennensis-compacta,,,,Ammonia viennensis-compacta,benthic_forams,823,Ammonia,genus,103768,Rotaliidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammopalmula,,,,sp.,,,,Ammopalmula sp.,benthic_forams,824,Ammopalmula,genus,103761,Haplophragmoiidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammoscalaria,,,,pseudospiralis,,,,Ammoscalaria pseudospiralis,benthic_forams,825,Ammoscalaria,genus,250221,Discamminidae,,,,,288974,Foraminifera,212476,Rhizaria
,?,Ammoscalaria,,,,pseudospiralis,,,,? Ammoscalaria pseudospiralis,benthic_forams,825,Ammoscalaria,genus,250221,Discamminidae,,,,,288974,Foraminifera,212476,Rhizaria
,?,Ammosphaeroidina,,,,sp.,,,,? Ammosphaeroidina sp.,benthic_forams,827,Ammosphaeroidina,genus,112313,Ammosphaeroidinidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Ammotium,,,,cassis,,,,Ammotium cassis,benthic_forams,829,Ammotium,genus,103761,Haplophragmoiidae,,,,,288974,Foraminifera,212476,Rhizaria
,,Amphicoryna,,,,scalaris,,sagamiensis,,Amphicoryna scalaris sagamiensis,benthic_forams,835,Amphicoryna,genus,112281,Vaginulinidae,428878,Vaginulinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
,,Amphimorphina,,,,lessonii,,,,Amphimorphina lessonii,benthic_forams,836,Amphimorphina,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
