taxon_group,genus species,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,genus_taxon_id,genus_taxon_name,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name,species_taxon_id,species_taxon_name
dinoflagellates,Andalusiella ivoirensis,323958,Andalusiella ivoirensis,species,276893,Andalusiella,277915,Peridiniaceae,277919,Peridiniales,321578,Dinophyceae,277918,Myzozoa,,,,,323958,Andalusiella ivoirensis
dinoflagellates,Abratopdinium cardioforme,,,,,,,,,,,,,,,,,,,
dinoflagellates,Abratopdinium kerguelense,,,,,,,,,,,,,,,,,,,
dinoflagellates,Acanthaulax granulata,,,,,,,,,,,,,,,,,,,
dinoflagellates,Acanthaulax wilsonii,,,,,,,,,,,,,,,,,,,
dinoflagellates,Achilleodinium bianii,323992,Achilleodinium bianii,species,323991,Achilleodinium,321603,Gonyaulacaceae,321606,Gonyaulacales,321578,Dinophyceae,,,,,,,,
dinoflagellates,Achilleodinium biformoides,,,,,,,,,,,,,,,,,,,
dinoflagellates,Achomosphaera neptuni,,,,,,,,,,,,,,,,,,,
dinoflagellates,Achomosphaera alcicornu,,,,,,,,,,,,,,,,,,,
dinoflagellates,Achomosphaera andalousiensis,,,,,,,,,,,,,,,,,,,
dinoflagellates,Achomosphaera danica,,,,,,,,,,,,,,,,,,,
dinoflagellates,Achomosphaera crassipellis,,,,,,,,,,,,,,,,,,,
dinoflagellates,Achomosphaera mariannae,,,,,,,,,,,,,,,,,,,
dinoflagellates,Achomosphaera ramosus,,,,,,,,,,,,,,,,,,,
dinoflagellates,Achomosphaera ramulifera,277049,Achomosphaera ramulifera,species,277048,Achomosphaera,321603,Gonyaulacaceae,321606,Gonyaulacales,321578,Dinophyceae,,,,,,,,
dinoflagellates,Achomosphaera sagena,323552,Achomosphaera sagena,species,277048,Achomosphaera,321603,Gonyaulacaceae,321606,Gonyaulacales,321578,Dinophyceae,,,,,,,,
dinoflagellates,Achomosphaera triangulata,323940,Achomosphaera triangulata,species,277048,Achomosphaera,321603,Gonyaulacaceae,321606,Gonyaulacales,321578,Dinophyceae,,,,,,,,
dinoflagellates,Achomosphaera verdieri,323553,Achomosphaera verdieri,species,277048,Achomosphaera,321603,Gonyaulacaceae,321606,Gonyaulacales,321578,Dinophyceae,,,,,,,,
dinoflagellates,Actiniscus pentasterias,,,,,,,,,,,,,,,,,,,
dinoflagellates,Actiniscus pentasterias,,,,,,,,,,,,,,,,,,,
dinoflagellates,Actiniscus pentasterias,,,,,,,,,,,,,,,,,,,
dinoflagellates,Actiniscus pentasterias,,,,,,,,,,,,,,,,,,,
dinoflagellates,Actiniscus pentasterias,,,,,,,,,,,,,,,,,,,
dinoflagellates,Actiniscus pentasterias,,,,,,,,,,,,,,,,,,,
dinoflagellates,Adnatosphaeridium multispinosum,324011,Adnatosphaeridium multispinosum,species,286028,Adnatosphaeridium,321604,Areoligeraceae,321606,Gonyaulacales,321578,Dinophyceae,,,,,,,,
dinoflagellates,Adnatosphaeridium robustum,,,,,,,,,,,,,,,,,,,
dinoflagellates,Adnatosphaeridium tutulosum,,,,,,,,,,,,,,,,,,,
dinoflagellates,Adnatosphaeridium vittatum,,,,,,,,,,,,,,,,,,,
dinoflagellates,Aireiana verrucosa,,,,,,,,,,,,,,,,,,,
dinoflagellates,Aldorfia deflandrei,,,,,,,,,,,,,,,,,,,
dinoflagellates,Algidasphaeridium minutum,,,,,,,,,,,,,,,,,,,
dinoflagellates,Algidasphaeridium euaxum,,,,,,,,,,,,,,,,,,,
dinoflagellates,Alisocysta circumtabulata,477585,Alisocysta circumtabulata,species,443415,Alisocysta,321644,Goniodomaceae,321606,Gonyaulacales,321578,Dinophyceae,277918,Myzozoa,,,,,477585,Alisocysta circumtabulata
dinoflagellates,Alisocysta margarita,477586,Alisocysta margarita,species,443415,Alisocysta,321644,Goniodomaceae,321606,Gonyaulacales,321578,Dinophyceae,277918,Myzozoa,,,,,477586,Alisocysta margarita
dinoflagellates,Alisocysta reticulata,,,,,,,,,,,,,,,,,,,
