taxon_group,verbatim_name,name,Comment,Notes (change to Internal only notes?),Any taxon above genus modifier,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,Corrections to pbdb_taxon_rank,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,Corrections to pbdb_taxon,family_taxon_id,family_taxon_name,superfamily_taxon_id,superfamily_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name,genus_taxon_id,genus_taxon_name,species_taxon_id,species_taxon_name
benthic_forams,Ammolagena clavata,,,,,,,Ammolagena,,,,clavata,,,,,,821,Ammolagena,genus,,112199,Ammodiscidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,821,Ammolagena,,
benthic_forams,Ammomassilina alveoliniformis,,,,,,,Ammomassilina,,,,alveoliniformis,,,,,,240354,Ammomassilina,genus,,155936,Hauerinidae,,,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria,,,240354,Ammomassilina,,
benthic_forams,Ammomassilina alveoliniformis (q),? Ammomassilina alveoliniformis,,,,,?,Ammomassilina,,,,alveoliniformis,,,,,,240354,Ammomassilina,genus,,155936,Hauerinidae,,,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria,,,240354,Ammomassilina,,
benthic_forams,Ammonia ammoniformis,,,,,,,Ammonia,,,,ammoniformis,,,,,,823,Ammonia,genus,,103768,Rotaliidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,823,Ammonia,,
benthic_forams,Ammonia hatatensis,,,,,,,Ammonia,,,,hatatensis,,,,,,823,Ammonia,genus,,103768,Rotaliidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,823,Ammonia,,
benthic_forams,Ammonia parkinsoniana,,,,,,,Ammonia,,,,parkinsoniana,,,,,,823,Ammonia,genus,,103768,Rotaliidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,823,Ammonia,,
benthic_forams,Ammonia perlucida,,,,,,,Ammonia,,,,perlucida,,,,,,823,Ammonia,genus,,103768,Rotaliidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,823,Ammonia,,
benthic_forams,Ammonia sikokuensis,,,,,,,Ammonia,,,,sikokuensis,,,,,,823,Ammonia,genus,,103768,Rotaliidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,823,Ammonia,,
benthic_forams,Ammonia viennensis-compacta,,,"intergrade? AF (summer 21): compacta is no longer a valid species (circa 2019), but was at the time, so it was an intergrade then. It should now be put under viennensis, I would figure",,,,Ammonia,,,,viennensis-compacta,,,,,,823,Ammonia,genus,,103768,Rotaliidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,823,Ammonia,,
benthic_forams,Ammopalmula sp.,,,,,,,Ammopalmula,,,,sp.,,,,,,824,Ammopalmula,genus,,103761,Haplophragmoiidae,,,,,,,288974,Foraminifera,212476,Rhizaria,,,824,Ammopalmula,,
