Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiroplectammina spectabilis,Pseudoclavulina globulifera,Oridorsalis umbonatus,Nodosaria spp.,Marssonella trochoides,Lenticulina spp.,Gyroidinoides spp.,Gyroidinoides globosa,Gaudryina pyramidata,Dentalina spp.,Conorbinoides sp.,Conorbinoides hillebrandti,Aragonia velascoensis,Aragonia sp.,Sliterella lobulata,Osangularia plummerae,Nuttallinella florealis,Nuttallides truempyi,Gyroidinoides quadratus,Globulina spp.,Aragonia ouezzanensis,Stensioina beccariiformis,Pleurostomella spp.,Nuttallinella michelinianus,Gavelinella sp.,Alabamina creta,Pullenia cretacea,Pullenia jarvisi,Serovaina spissiformis,Gavelinella beccariiformis,Bulimina spp.,Pyramidina szajnochae,Buliminella grata,Tritaxa spp.,Osangularia mexicana,Neoflabellina semireticulata,Stilostomella spp.,Spiroplectammina jarvisi,Nonion havanensis,Cibicidoides velascoensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 20,H,CC,  11.00,    190.0000,benthics ,Benthic Foraminifers                         ,F              ,M                 ,                            ,                           ,R                    ,              ,R                     ,                ,                  ,                     ,                    ,              ,                 ,F                         ,                     ,            ,                   ,C                    ,                       ,R                   ,                       ,              ,                     ,                         ,                   ,                           ,               ,               ,                 ,                ,                      ,                          ,             ,                     ,R                ,            ,                    ,                            ,                  ,R                       ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 23,H,CC,  11.00,    218.6100,benthics ,Benthic Foraminifers                         ,R              ,M                 ,                            ,                           ,R                    ,R             ,                      ,R               ,                  ,T                    ,                    ,              ,+                ,R                         ,F                    ,            ,                   ,R                    ,                       ,F                   ,                       ,              ,R                    ,                         ,                   ,                           ,               ,               ,                 ,                ,                      ,                          ,             ,                     ,C                ,T           ,                    ,                            ,                  ,T                       ,R                ,R                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 24,H,CC,  13.00,    228.1200,benthics ,Benthic Foraminifers                         ,C              ,M                 ,R                           ,                           ,C                    ,              ,R                     ,R               ,                  ,R                    ,F                   ,R             ,+                ,F                         ,                     ,            ,R                  ,                     ,                       ,R                   ,                       ,              ,F                    ,                         ,                   ,                           ,               ,               ,                 ,                ,                      ,                          ,R            ,                     ,                 ,            ,                    ,T                           ,T                 ,F                       ,                 ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,B, 26,H,CC,  15.00,    247.1400,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                            ,T                          ,C                    ,              ,F                     ,R               ,T                 ,                     ,                    ,T             ,+                ,R                         ,F                    ,            ,                   ,                     ,                       ,R                   ,                       ,              ,                     ,                         ,                   ,                           ,               ,               ,                 ,T               ,                      ,                          ,             ,                     ,                 ,R           ,T                   ,T                           ,                  ,                        ,                 ,                         ,       
