Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Unipontidinium aquaeductum	Selenopemphix nephroides	Selenopemphix dionaeacysta	Selenopemphix brevispinosa	Operculodinium israelianum	Operculodinium centrocarpum	Lingulodinium machaerophorum	Trinovantedinium glorianum	Systematophora placacantha	Operculodinium janduchenei	Habibacysta tectata	Erymnodinium delectabile	Batiacasphaera sphaerica	Trinovantedinium papulum	Polysphaeridium zoharyi	Dapsilidinium pseudocolligerum	Spiniferites ramosus	Tectatodinium pellitum	Labyrinthodinium truncatum	Comment



  IR	                 	                 	                  	              	174	1072	A	 11	R	CC	   0.00	     71.1200	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                        	                          	                          	                          	                           	                            	                          	                          	                          	+                  	                        	                        	                        	                       	                              	                    	                      	                          	Protperidinioid cysts common- Brigantedinium spp. and cf. Multispinula sp.  Reworking?

  IR	                 	                 	                  	              	174	1072	A	 15	R	CC	   0.00	     90.5300	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                        	                          	                          	                          	+                          	+                           	                          	                          	                          	                   	                        	                        	                        	                       	                              	                    	                      	                          	Charcoal. Thecamoebian?

  IR	                 	                 	                  	              	174	1072	A	 20	R	CC	  19.00	    116.8000	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                        	                          	                          	+                         	                           	                            	                          	                          	                          	                   	                        	                        	                        	                       	                              	                    	                      	                          	Brigantedinium spp. and Achomosphaera/Spiniferites spp. indet. common.  Bitectatodinium tepikiense present. Pinus-dominated pollen assemblage.

  IR	                 	                 	                  	              	174	1072	A	 22	R	CC	   0.00	    130.8000	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                        	                          	                          	+                         	                           	+                           	                          	                          	                          	                   	                        	                        	                        	+                      	                              	+                   	+                     	+                         	Minor charcoal.  Reworking?

  IR	Pliocene         	Pleistocene      	                  	              	174	1072	A	 25	R	CC	   0.00	    145.3600	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                       	                          	                          	+                         	                           	                            	                          	                          	                          	+                  	                        	                        	                        	+                      	                              	                    	                      	                          	Brigantedinium spp. and Spiniferites spp. also common.  Pollen abundant.

  IR	                 	Late Miocene     	                  	              	174	1072	A	 33	R	CC	   0.00	    184.8900	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                        	+                         	                          	                          	                           	+                           	                          	                          	                          	                   	+                       	                        	                        	                       	                              	+                   	                      	                          	Also present: Brigantedinium spp., Lejeunecysta spp., Bitectatodinium tepikiense, and c.f. Pyxdiella ?simplex.

  IR	                 	                 	                  	              	174	1072	A	 35	R	CC	   0.00	    193.9900	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                       	+                         	                          	                          	                           	                            	                          	                          	+                         	                   	                        	                        	+                       	+                      	+                             	                    	                      	                          	Brigantedinium spp. and Filisphaera filifera also present.  Pollen abundant- diverse angiosperm pollen.  Reworking?

  IR	                 	                 	                  	              	174	1072	A	 37	R	CC	   0.00	    203.3400	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                       	                          	                          	                          	+                          	                            	                          	                          	                          	+                  	                        	                        	                        	                       	                              	                    	                      	                          	Lejeunecysta spp. common.  Angiosperm-dominated pollen assemblage.

  IR	                 	Late Miocene     	                  	              	174	1072	A	 45	R	CC	   9.00	    244.4000	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                        	                          	                          	                          	                           	                            	+                         	+                         	+                         	+                  	+                       	+                       	                        	                       	                              	                    	                      	                          	Lejeunecysta spp. common.  Reworking evident.

  IR	                 	Late Miocene     	                  	              	174	1072	A	 48	R	CC	   8.00	    263.7800	McCarthy 	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                       	+                         	+                         	+                         	+                          	+                           	                          	                          	                          	                   	                        	                        	                        	                       	                              	                    	                      	                          	Selenopemphix dionaeacysta, Brigantedinium spp. and Spiniferites spp. relatively common.  Reworking?

