Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina bulloides,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia inflata,Neogloboquadrina cf. kagaensis,Globorotalia scitula,Globigerina quinqueloba,Globigerina apertura,Globigerina umbilicata,Neogloboquadrina humerosa,Globigerinoides ruber,Globigerinita glutinata,Neogloboquadrina dutertrei,Hastigerina aequilateralis,Globorotalia truncatulinoides,Globigerina falconensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B,  1,H,CC,  14.00,      5.2100,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,R                ,A                                      ,                                     ,                    ,                              ,C                   ,C                      ,C                   ,                      ,                         ,                     ,R                      ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B,  2,H,CC,  25.00,     15.2200,Kennett  ,Planktonic Foraminifers                      ,C              ,G                 ,A                    ,                 ,A                                      ,                                     ,                    ,                              ,R                   ,                       ,                    ,                      ,                         ,                     ,R                      ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B,  3,H,CC,  23.00,     23.4000,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,C                ,                                       ,A                                    ,F                   ,                              ,                    ,                       ,                    ,                      ,                         ,R                    ,                       ,A                         ,F                         ,R                            ,R                      ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B,  4,H,CC,  39.00,     34.6600,Kennett  ,Planktonic Foraminifers                      ,C              ,G                 ,C                    ,                 ,A                                      ,                                     ,                    ,                              ,                    ,                       ,                    ,                      ,                         ,                     ,                       ,                          ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1017,B,  5,H,CC,  21.00,     43.9200,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,C                    ,F                ,                                       ,A                                    ,                    ,                              ,                    ,                       ,                    ,                      ,                         ,R                    ,                       ,C                         ,                          ,                             ,                       ,from IR. Ch 11. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
