Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina auberiana,Unidentified benthic forams,Cibicidoides wuellerstorfi,Stilostomella spp.,Melonis pompilioides,Hoeglundina elegans,Globobulimina spp.,Uvigerina peregrina,Uvigerina hispidocostata,Epistominella exigua,Pullenia bulloides,Globocassidulina subglobosa,Quadrimorphina allomorphinoides,Pullenia subcarinata,Oridorsalis umbonatus,Oolina spp.,Gyroidinoides spp.,Fursenkoina sp.,Fissurina spp.,Triloculina tricarinata,Pyrgo spp.,Chilostomella oolina,Cassidulina minuta,Sphaeroidina bulloides,Melonis barleeanus,Cassidulina laevigata,Chilostomella ovoidea,Bolivina seminuda,Quinqueloculina spp.,Nonionella turgida,Bulimina truncana,Bulimina aculeata,Robertinoides bradyi,Eggerella bradyi,Sigmoilopsis schlumbergeri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  1,H,CC,  49.00,      1.4700,Hermelin ,Benthic Foraminifers                         ,F              ,G                 ,1.0%2              ,5.0%9                      ,                          ,                  ,26.0%43             ,                   ,                  ,17.0%29            ,                        ,4.0%7               ,2.0%3             ,4.0%7                      ,1.0%2                          ,1.0%1               ,1.0%1                ,           ,1.0%1             ,1.0%1          ,4.0%7         ,                       ,4.0%6     ,5.0%9               ,                  ,1.0%1                 ,                  ,7.0%11               ,15.0%25              ,                 ,                    ,                  ,                 ,                 ,1.0%1               ,                ,1.0%1                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  2,H,CC,  11.00,     11.2300,Hermelin ,Benthic Foraminifers                         ,F              ,G                 ,5.0%7              ,11.0%16                    ,2.0%3                     ,                  ,17.0%24             ,                   ,5.0%7             ,                   ,14.0%20                 ,1.0%1               ,3.0%4             ,1.0%2                      ,                               ,4.0%5               ,                     ,           ,                  ,1.0%2          ,1.0%2         ,3.0%4                  ,3.0%4     ,                    ,2.0%3             ,                      ,2.0%3             ,6.0%8                ,                     ,16.0%23          ,                    ,                  ,                 ,                 ,1.0%1               ,1.0%1           ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  3,H,CC,  16.00,     20.9100,Hermelin ,Benthic Foraminifers                         ,F              ,M                 ,1.0%1              ,14.0%22                    ,4.0%7                     ,                  ,7.0%12              ,                   ,40.0%65           ,                   ,4.0%7                   ,                    ,3.0%4             ,                           ,                               ,1.0%2               ,                     ,           ,                  ,               ,1.0%2         ,1.0%1                  ,1.0%2     ,2.0%3               ,1.0%2             ,                      ,15.0%24           ,2.0%3                ,                     ,2.0%3            ,                    ,1.0%1             ,                 ,                 ,1.0%1               ,1.0%1           ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  4,H,CC,  19.00,     30.2900,Hermelin ,Benthic Foraminifers                         ,T              ,P                 ,33.0%1             ,                           ,                          ,                  ,                    ,                   ,33.0%1            ,                   ,                        ,                    ,                  ,                           ,                               ,                    ,                     ,           ,                  ,               ,              ,                       ,          ,                    ,                  ,                      ,33.0%1            ,                     ,                     ,                 ,                    ,                  ,                 ,                 ,                    ,                ,                          ,       
