Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Stilostomella subspinosa,Quadratobuliminella pyramidalis,Pullenia coryelli,Nuttallinella florealis,Nuttallides truempyi,Nodosaria spp.,Neoeponides hillebrandti,Gyroidinoides globosa,Gavelinella beccariiformis,Eponides plummerae,Buliminella beaumonti,Bulimina midwayensis,Bulimina callahani,Aragonia velascoensis,Anomalinoides praeacutus,Alabamina creta,Abyssamina quadrata,Nonion havanensis,Abyssamina poagi,Tappanina selmensis,Pullenia jarvisi,Oridorsalis umbonatus,Cibicidoides spp.,Anomalinoides spissiformis,Globocassidulina globosa,Unidentified benthic forams,Clinapertina complanata,Bulimina tuxpamensis,Cibicidoides eocaenus,Turrilina robertsi,Alabamina dissonata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1215,A,  4,H,CC,  29.00,     30.1800,nannos   ,Benthic Foraminifers                         ,A              ,G                 ,R                 ,                        ,                               ,                 ,                       ,A                   ,              ,                        ,                     ,                          ,                  ,                     ,                    ,                  ,                     ,                        ,               ,C                  ,T                ,F               ,                   ,                ,F                    ,F                ,F                         ,                        ,F                          ,F                      ,R                   ,R                    ,T                 ,R                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1215,A,  5,H,CC,  20.00,     39.8400,nannos   ,Benthic Foraminifers                         ,A              ,M                 ,R                 ,                        ,                               ,                 ,                       ,A                   ,              ,                        ,                     ,                          ,                  ,                     ,                    ,                  ,                     ,                        ,               ,C                  ,                 ,                ,R                  ,                ,C                    ,F                ,                          ,R                       ,                           ,                       ,                    ,R                    ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1215,A,  6,H,CC,   0.00,     46.9800,nannos   ,Benthic Foraminifers                         ,A              ,G                 ,R                 ,                        ,                               ,                 ,                       ,A                   ,              ,                        ,                     ,                          ,                  ,                     ,                    ,                  ,                     ,                        ,               ,A                  ,                 ,                ,R                  ,                ,F                    ,C                ,F                         ,                        ,F                          ,F                      ,R                   ,                     ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1215,A,  8,H, 1,  90.50,     51.1050,nannos   ,Benthic Foraminifers                         ,               ,                  ,                  ,                        ,                               ,                 ,                       ,A                   ,              ,                        ,                     ,                          ,                  ,                     ,                    ,                  ,                     ,                        ,               ,C                  ,                 ,C               ,F                  ,                ,                     ,F                ,F                         ,R                       ,                           ,                       ,                    ,                     ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1215,A,  8,H, 3,  50.50,     53.7050,nannos   ,Benthic Foraminifers                         ,               ,                  ,                  ,                        ,                               ,                 ,                       ,A                   ,              ,                        ,                     ,                          ,                  ,                     ,                    ,                  ,                     ,                        ,               ,                   ,                 ,                ,F                  ,R               ,F                    ,F                ,F                         ,                        ,                           ,                       ,                    ,                     ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1215,A,  8,H, 4,  13.50,     54.8350,nannos   ,Benthic Foraminifers                         ,               ,                  ,                  ,                        ,                               ,C                ,                       ,F                   ,              ,                        ,R                    ,F                         ,                  ,                     ,                    ,                  ,C                    ,F                       ,               ,                   ,R                ,R               ,                   ,                ,                     ,                 ,                          ,                        ,                           ,                       ,                    ,                     ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1215,A,  8,H,CC,   0.00,     59.5200,nannos   ,Benthic Foraminifers                         ,A              ,G                 ,R                 ,R                       ,R                              ,F                ,R                      ,R                   ,R             ,R                       ,R                    ,F                         ,R                 ,R                    ,R                   ,T                 ,F                    ,F                       ,R              ,R                  ,                 ,                ,                   ,                ,                     ,                 ,                          ,                        ,                           ,                       ,                    ,                     ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
