Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum triommata,Distephanus speculum speculum,Distephanus speculum hemisphaericus,Distephanus speculum binoculus,Distephanus sp. aff. D. slavincii,Distephanus crux stradneri,Distephanus crux scutulatus,Distephanus crux longispinus,Distephanus crux lockerii,Distephanus crux crux,Dictyocha varia,Dictyocha fibula,Corbisema triacantha,Bachmannocena elliptica elliptica,Bachmannocena apiculata curvata,Naviculopsis eobiapiculata,Distephanus schulzii,Distephanus crux crux (rounded),Dictyocha arcuata,Distephanus crux parvus,Distephanus boliviensis boliviensis,Distephanus boliviensis binoculus,Bachmannocena diodon diodon,Bachmannocena apiculata apiculata,Distephanus speculum pentagonus,Caryocha depressa,Distephanus boliviensis major,Dictyocha subclinata,Dictyocha sp. cf. D. rhombica,Bachmannocena d. diodon (unspined),Distephanus quinarius (regular),Caryocha picassoi,Naviculopsis lata,Distephanus quinarius (4-sided),Bachmannocena elliptica miniformis,Dictyocha sp. 1,Bachmannocena circulus apiculata,Distephanus stauracanthus f. octagonus,Distephanus stauracanthus f. stauracanthus,Caryocha ernestinae,Bachmannocena circulus circulus,Bachmannocena triangula,Bachmannocena diodon nodosa,Distephanus polyactis,Distephanus xenus,Bachmannocena sp. cf. B. diodon borderlandensis,Bachmannocena diodon triodon,Distephanus speculum minutus (regular),Distephanus crux hannai,Dictyocha brevispina ausonia,Bachmannocena diodon borderlandensis,Distephanus speculum minutus (equant spines),Dictyocha messanensis stapedia f. stapedia,Bachmannocena quadrangula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,B. diodon         ,              ,162, 982,B, 21,H, 1,  99.00,    186.9900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,1                             ,87                           ,1                                  ,1                             ,                                 ,                          ,                           ,                            ,                         ,                     ,1              ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,22                         ,                                 ,3                              ,                 ,                             ,5                   ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,8                      ,38                         ,                     ,                 ,                                               ,                            ,10                                    ,                       ,4                           ,96                                  ,43                                          ,1                                         ,                         ,Total Count = 321; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,B. diodon         ,              ,162, 982,B, 21,H, 6,  99.00,    194.4700,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,C              ,                  ,                              ,100                          ,5                                  ,4                             ,                                 ,                          ,                           ,                            ,                         ,                     ,1              ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,                           ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,4                          ,                     ,                 ,                                               ,                            ,8                                     ,3                      ,10                          ,79                                  ,5                                           ,3                                         ,1                        ,Total Count = 223; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,B. diodon         ,              ,162, 982,B, 23,H, 3,  99.00,    208.9900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,R              ,                  ,                              ,12                           ,                                   ,                              ,                                 ,                          ,                           ,                            ,                         ,                     ,               ,                ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,38                         ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,                                ,                                      ,                                          ,                   ,                               ,                       ,13                         ,                     ,                 ,                                               ,                            ,                                      ,                       ,3                           ,49                                  ,                                            ,                                          ,                         ,Total Count = 115; from Leg 162SR Ch 5 Table 1.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,B.c.ap./Ba.d.nodosa,              ,162, 982,B, 24,H, 5,  99.00,    221.4900,Amigo    ,Silicoflagellates/Ebridians/Actiniscidians   ,A              ,                  ,                              ,177                          ,                                   ,1                             ,                                 ,                          ,                           ,                            ,                         ,                     ,               ,39              ,                    ,                                 ,                               ,                          ,                    ,                               ,                 ,                       ,                                   ,                                 ,18                         ,                                 ,                               ,                 ,                             ,                    ,                             ,                                  ,                               ,                 ,                 ,                               ,                                  ,               ,16                              ,                                      ,                                          ,                   ,                               ,                       ,20                         ,                     ,5                ,                                               ,                            ,14                                    ,                       ,11                          ,                                    ,                                            ,                                          ,                         ,Total Count = 301; from Leg 162SR Ch 5 Table 1.
