Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Uvigerina hispidocostata	Uvigerina auberiana	Unidentified benthic forams	Stilostomella spp.	Pyrgo spp.	Prae-/Globobulimina group spp.	Plectofrondicularia spp.	Oridorsalis umbonatus	Hoeglundina elegans	Fissurina spp.	Cibicidoides wuellerstorfi	Bulimina mexicana	Bulimina exilis	Bulimina aculeata	Spiroloculina spp.	Quadrimorphina allomorphinoides	Pullenia bulloides	Oolina spp.	Melonis barleeanus	Gyroidinoides soldanii	Globocassidulina subglobosa	Chilostomella ovoidea	Cassidulinoides bradyi	Cassidulina laevigata	Bulimina truncana	Bulimina marginata	Cibicidoides pachyderma	Triloculina tricarinata	Quinqueloculina spp.	Sphaeroidina bulloides	Nonionella turgida	Fursenkoina sp.	Nodosaria spp.	Lenticulina spp.	Gyroidinoides spp.	Epinodes sp. 1	Sigmoilopsis schlumbergeri	Siphotextularia catenata	Osangularia culter	Hyalina balthica	Bolivina seminuda	Pullenia subcarinata	Epistominella exigua	Dentalina spp.	Robertinoides bradyi	Epistominella sp. 1	Bolivina ordinaria	Eggerella bradyi	Chilostomella oolina	Cassidulina minuta	Astrononion novozealandicum	Comment



  IR	                 	                 	                  	              	175	1076	A	  1	H	CC	  25.00	      4.7500	Hermelin 	Benthic Foraminifers                         	A              	G                 	6.0%               	2.0%                    	2.0%               	7.0%                       	                  	+         	5.0%                          	                        	3.0%                 	+                  	2.0%          	                          	14.0%            	               	27.0%            	                  	4.0%                           	2.0%              	           	                  	                      	                           	                     	4.0%                  	3.0%                 	                 	                  	2.0%                   	                       	+                   	2.0%                  	+                 	8.0%           	              	                	                  	              	                          	                        	+                 	                	+                	                    	                    	              	                    	                   	                  	+               	+                   	+                 	5.0%                       	       

  IR	                 	                 	                  	              	175	1076	A	  2	H	CC	   0.00	     13.2100	Hermelin 	Benthic Foraminifers                         	A              	G                 	2.0%               	                        	15.0%              	+                          	                  	+         	4.0%                          	                        	1.0%                 	3.0%               	1.0%          	                          	12.0%            	2.0%           	25.0%            	                  	+                              	+                 	           	+                 	+                     	                           	+                    	                      	                     	                 	3.0%              	3.0%                   	                       	                    	+                     	+                 	               	              	                	                  	              	+                         	                        	3.0%              	                	                 	                    	                    	              	                    	12.0%              	                  	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	  3	H	CC	  30.00	     24.2900	Hermelin 	Benthic Foraminifers                         	A              	G                 	+                  	                        	+                  	                           	                  	+         	4.0%                          	                        	1.0%                 	1.0%               	              	                          	+                	47.0%          	1.0%             	                  	+                              	+                 	+          	                  	                      	+                          	+                    	                      	2.0%                 	                 	1.0%              	+                      	                       	                    	                      	                  	               	              	                	                  	              	+                         	                        	+                 	                	+                	+                   	                    	              	                    	4.0%               	+                 	                	                    	                  	                           	       

  IR	                 	                 	                  	              	175	1076	A	  4	H	CC	  21.00	     33.6200	Hermelin 	Benthic Foraminifers                         	C              	G                 	5.0%               	2.0%                    	7.0%               	5.0%                       	                  	+         	7.0%                          	                        	2.0%                 	                   	6.0%          	                          	2.0%             	2.0%           	3.0%             	                  	6.0%                           	4.0%              	+          	2.0%              	+                     	2.0%                       	2.0%                 	5.0%                  	4.0%                 	+                	+                 	+                      	                       	                    	5.0%                  	+                 	+              	              	                	                  	              	+                         	                        	+                 	                	+                	                    	+                   	+             	                    	2.0%               	+                 	                	+                   	                  	                           	       
