Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Sphaeroidinella dehiscens s.l.,Sphaeroidinella dehiscens,Pulleniatina praecursor,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globorotalia tumida,Globorotalia menardii,Globorotalia crassaformis,Globoquadrina venezuelana,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinoides extremus,Globigerinoides conglobatus,Globigerinella siphonifera,Dentoglobigerina altispira,Sphaeroidinellopsis paenedehiscens,Pulleniatina primalis,Globorotalia tosaensis,Globigerinoides fistulosus,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia tumida flexuosa,Globorotalia scitula,Globoquadrina pseudofoliata,Candeina nitida,Globigerina bulloides,Orbulina bilobata,Globorotalia inflata,Zeaglobigerina rubescens,Globigerinoides ruber (pink),Bolliella calida,Comment
IR,Pleistocene,Holocene,,N23,180,1115,B,1,H,CC,14.00,7.1100,Resig,Planktonic Foraminifers,A,G,,F,,F,F,,,F,F,,,A,A,A,A,,A,A,,,,,,A,F,,,,,F,,,F,A,R,
IR,,Pleistocene,,N22,180,1115,B,2,H,CC,32.00,17.2000,Resig,Planktonic Foraminifers,A,G,,,,A,F,,,A,A,R,,A,A,A,A,,,A,,,,,,A,F,,,,F,,,R,,,,
IR,,Pleistocene,,N22,180,1115,B,3,H,CC,43.00,26.8800,Resig,Planktonic Foraminifers,,,,F,,F,F,,,F,F,F,,A,A,A,A,,F,F,,,,,,A,F,F,R,,R,,,,,,,
IR,,Pleistocene,,N22,180,1115,B,4,H,CC,23.00,36.1400,Resig,Planktonic Foraminifers,A,G,,F,,,R,A,,F,A,F,,A,A,A,A,,A,A,,,,,,A,A,,,,,,,,,,,
IR,,Pleistocene,,N22,180,1115,B,5,H,CC,30.00,45.7000,Resig,Planktonic Foraminifers,A,G,,R,,F,F,,,F,F,F,,A,A,A,A,,F,,,,,,,A,F,,R,,,F,R,,,,,
IR,,Pleistocene,,N22,180,1115,B,6,H,CC,23.00,55.1900,Resig,Planktonic Foraminifers,A,G,,R,,F,R,A,,F,,F,,A,A,A,A,,F,A,,,,F,,A,F,F,R,,,F,,,,,,
IR,,Pleistocene,,N22,180,1115,B,7,H,CC,42.00,64.6600,Resig,Planktonic Foraminifers,A,G,,F,,F,F,A,,F,F,F,,A,A,A,A,,F,,,,,F,,A,F,F,,,R,,,,,,,
IR,,Pleistocene,,N22,180,1115,B,8,H,CC,28.00,74.1300,Resig,Planktonic Foraminifers,A,G,,F,,F,F,F,,F,F,F,,A,A,A,A,,F,F,,,,F,,F,F,F,F,,,,,,,,,
IR,,Pleistocene,,N22,180,1115,B,9,H,CC,41.00,83.7400,Resig,Planktonic Foraminifers,A,G,,F,,,F,A,,F,F,R,,A,A,A,A,,F,,,,,F,,,F,,,,,,,,,,,
IR,,Pleistocene,,N22,180,1115,B,10,H,1,95.00,84.1500,Resig,Planktonic Foraminifers,A,G,,F,,F,,F,,F,F,F,,A,A,A,A,,F,F,,,,F,,,F,F,,,R,,,,,,,
IR,,Pleistocene,,N22,180,1115,B,10,H,2,95.00,85.6500,Resig,Planktonic Foraminifers,A,G,,F,,F,R,A,,F,F,F,,A,A,A,A,F,F,F,,,,F,,,R,R,,R,,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1115,B,10,H,4,65.00,88.3500,Resig,Planktonic Foraminifers,A,G,,F,,F,F,A,,F,F,F,,A,A,A,A,,F,F,,,,F,F,,F,,R,,,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1115,B,10,H,CC,26.00,92.9200,Resig,Planktonic Foraminifers,A,G,,R,,F,R,A,,F,F,R,,A,,A,A,,F,,,,,F,F,,F,,,,,,,,,,,
IR,,Pleistocene,,N21,180,1115,B,11,H,CC,31.00,102.6100,Perembo,Planktonic Foraminifers,A,G,,F,,A,F,F,,A,A,A,,A,A,A,A,F,A,F,,,,A,A,A,,A,,,,,,,,,,
IR,,Pleistocene,,N21,180,1115,B,12,H,CC,28.00,111.8700,Perembo,Planktonic Foraminifers,A,G,,A,,A,F,A,,A,A,A,,A,A,A,A,A,A,A,,,,F,A,A,F,A,,,,,,,,,,
IR,,Pleistocene,,N21,180,1115,B,13,H,CC,28.00,121.5300,Perembo,Planktonic Foraminifers,A,G,,A,,A,A,A,A,A,A,F,,A,A,A,A,F,A,A,,,,R,A,A,R,A,,,,,,,,,,
IR,,Pleistocene,,N21,180,1115,B,14,H,CC,20.00,131.0000,Perembo,Planktonic Foraminifers,A,G,,A,F,A,A,A,F,A,A,A,,A,A,A,A,F,A,A,,,,A,,A,R,,,,,,,,,,,
IR,,Pleistocene,,N21,180,1115,B,15,H,CC,16.00,140.5200,Perembo,Planktonic Foraminifers,A,G,,A,,A,A,A,,A,A,A,,A,A,A,A,A,A,A,,,,A,F,A,,,,,,,,,,,,
IR,,Pleistocene,,N21,180,1115,B,16,H,CC,30.00,150.1900,Perembo,Planktonic Foraminifers,A,G,,A,,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,,,,A,A,A,R,,,,,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1115,B,17,H,CC,22.00,159.6700,Perembo,Planktonic Foraminifers,A,G,,F,,A,F,F,F,A,A,A,,F,A,A,A,A,F,A,,,,A,A,F,,,,,,,,,,,,
IR,Late Pliocene,Pleistocene,,N21,180,1115,B,18,H,CC,25.00,169.1600,Perembo,Planktonic Foraminifers,A,G,,F,,A,F,A,F,A,A,A,,A,A,A,A,F,F,A,,,,R,A,F,,,,,,,,,,,,
IR,,Pliocene,,N21,180,1115,B,19,H,CC,19.00,178.6300,Perembo,Planktonic Foraminifers,A,G,,F,,F,R,A,,F,A,F,,F,A,A,A,A,F,F,,,,R,A,,,,,,,,,,,,,
IR,,Pliocene,,N21,180,1115,B,20,H,CC,24.00,188.1500,Perembo,Planktonic Foraminifers,A,G,,F,,A,R,A,,F,A,F,,F,A,A,A,A,F,F,,,,R,A,,,,,,,,,,,,,
IR,,Pliocene,,N21,180,1115,B,21,H,CC,24.00,197.3900,Perembo,Planktonic Foraminifers,A,G,,A,,A,R,A,,F,A,A,,F,A,A,A,F,F,A,A,,,A,A,,,,,,,,,,,,,
IR,,Pliocene,,N21,180,1115,B,22,H,CC,26.00,206.7600,Perembo,Planktonic Foraminifers,A,G,,F,,A,F,F,,F,A,A,,F,F,F,A,F,F,,A,,,A,A,,,,,,,,,,,,,
IR,,Pliocene,,N21,180,1115,B,23,H,CC,24.00,216.6200,Perembo,Planktonic Foraminifers,A,G,,A,,A,F,F,,A,A,F,,,A,A,A,F,F,F,A,,,F,F,,,,,,,,,,,,,
IR,,Pliocene,,N21,180,1115,B,24,X,CC,33.00,226.0100,Perembo,Planktonic Foraminifers,A,G,,F,,A,F,A,F,F,A,A,,F,A,A,A,F,F,F,A,,,R,F,,,,,,,,,,,,,
IR,,Pliocene,,N20,180,1115,B,25,X,CC,17.00,235.2800,Perembo,Planktonic Foraminifers,A,G,,F,,F,F,A,R,F,A,A,,F,A,F,A,F,F,F,A,,,,,,,,,,,,,,,,,
IR,,Pliocene,,N20,180,1115,B,26,X,CC,31.00,245.0200,Perembo,Planktonic Foraminifers,A,G,,A,,A,F,F,F,F,A,F,,F,F,A,A,F,F,F,A,,,,,,,,,,,,,,,,,
IR,,Pliocene,,N20,180,1115,B,27,X,CC,31.00,253.6600,Perembo,Planktonic Foraminifers,A,M,,F,,A,F,F,F,F,A,F,,F,A,A,A,F,F,F,A,,,,,,,,,,,,,,,,,
IR,,Pliocene,,N20,180,1115,B,28,X,CC,11.00,256.6600,Perembo,Planktonic Foraminifers,A,M,,F,F,F,F,F,F,F,A,F,,F,F,A,A,F,F,F,A,,R,,,,,,,,,,,,,,,
IR,,Pliocene,,N20,180,1115,B,29,X,CC,32.00,274.0800,Perembo,Planktonic Foraminifers,A,M,,F,,,F,F,A,F,A,F,,F,,A,A,F,F,F,A,R,,,,,,,,,,,,,,,,
IR,Late Pliocene,Pleistocene,,N20,180,1115,B,30,X,CC,43.00,275.4000,Resig,Planktonic Foraminifers,R,P,,R,,R,,,,,R,,,R,,R,,,,,,,,,,,,,,,,,,,,,,
IR,Late Pliocene,Pleistocene,,N20,180,1115,B,31,X,CC,38.00,293.3700,Resig,Planktonic Foraminifers,R,P,F,F,F,R,F,A,A,F,F,F,R,A,A,A,A,F,F,F,F,,,,,,,,,,,,,,,,,
