Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Ceratolithus spp.,Ceratolithus rugosus,Ceratolithus acutus,Calcidiscus macintyrei (>11 um),Amaurolithus spp.,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Pseudoemiliania lacunosa,Discoaster tamalis,Discoaster surculus,Helicosphaera sellii,Calcidiscus leptoporus,Helicosphaera carteri,Gephyrocapsa oceanica s.l.,Gephyrocapsa large,Gephyrocapsa sp. 3,Gephyrocapsa (small),Emiliania huxleyi,Coccolithus pelagicus,Ceratolithus telesmus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,E,  1,H,CC,  20.00,      5.1300,Fornaciari,Nannofossils                                 ,F              ,P                 ,                                ,                 ,                    ,                   ,                               ,                 ,                        ,                   ,                       ,                        ,                  ,                   ,                    ,                      ,+                    ,R                         ,                  ,                  ,+                   ,                 ,                     ,R                    ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1011,E,  2,H,CC,  19.00,     14.7900,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,                    ,                   ,                               ,                 ,                        ,                   ,                       ,                        ,                  ,                   ,                    ,                      ,C                    ,C                         ,                  ,                  ,A                   ,+                ,C                    ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1011,E,  3,H,CC,  25.00,     24.6600,Fornaciari,Nannofossils                                 ,A              ,M/G               ,                                ,                 ,                    ,                   ,                               ,                 ,                        ,                   ,                       ,C                       ,                  ,                   ,                    ,R                     ,C                    ,+                         ,                  ,+                 ,A                   ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1011,E,  4,H,CC,  21.00,     34.0100,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                 ,                    ,                   ,                               ,                 ,                        ,                   ,                       ,C                       ,                  ,                   ,                    ,R                     ,C                    ,+                         ,                  ,+                 ,A                   ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13              ,              ,167,1011,E,  5,H,CC,  23.00,     43.5000,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,R                ,                    ,                   ,                               ,                 ,                        ,                   ,                       ,C                       ,                  ,                   ,                    ,                      ,C                    ,                          ,                  ,                  ,                    ,                 ,                     ,                     ,from IR. Ch 5. Table 5.
