Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
138, 851,B,Post Moratorium          ,       0.000,    0.000000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       0.820,    0.390000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       1.440,    0.650000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       1.840,    0.880000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       2.480,    0.127000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       2.780,    0.148000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       2.980,    0.171000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       3.160,    0.184000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       3.840,    0.220000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       4.000,    0.240000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       4.260,    0.247000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       4.660,    0.278000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       4.880,    0.308000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       5.220,    0.326000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       5.720,    0.349000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       6.520,    0.388000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       6.700,    0.405000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       6.900,    0.422000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       7.500,    0.446000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       8.260,    0.479000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,       9.660,    0.479000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,      10.280,    0.510000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,      10.540,    0.523000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,      10.820,    0.544000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,      11.300,    0.579000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
138, 851,B,Post Moratorium          ,      11.620,    0.614000,By site only; depth=mcd; Leg 138 SR p 79
,,,,,,
