Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Reticulofenestra sp.,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Calcidiscus leptoporus,Reticulofenestra pseudoumbilicus,Helicosphaera carteri,Coccolithus pelagicus,Calcidiscus premacintyrei,Calcidiscus sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN5               ,CN11          ,133, 825,A,  5,H,CC,   0.00,    209.8000,Wei      ,Nannofossils                                 ,C              ,P                 ,C                      ,C                   ,                           ,                          ,R                     ,                                ,                     ,F                    ,                         ,R              ,from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN4               ,CN5           ,133, 825,A,  6,H,CC,  16.00,    219.1900,Wei      ,Nannofossils                                 ,F              ,P                 ,F                      ,F                   ,R                          ,                          ,                      ,                                ,                     ,F                    ,                         ,R              ,from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN4               ,CN5           ,133, 825,A,  7,H,CC,  11.00,    228.6700,Wei      ,Nannofossils                                 ,F              ,P                 ,C                      ,                    ,                           ,F                         ,                      ,                                ,                     ,F                    ,                         ,               ,uncertain identity of C. abisectus; from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN4               ,CN5           ,133, 825,A,  8,H,CC,  11.00,    238.0000,Wei      ,Nannofossils                                 ,F              ,P                 ,F                      ,F                   ,                           ,                          ,                      ,                                ,                     ,R                    ,                         ,R              ,from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN4               ,CN5           ,133, 825,A, 10,X,CC,   9.00,    253.2900,Wei      ,Nannofossils                                 ,F              ,P                 ,R                      ,F                   ,                           ,                          ,R                     ,                                ,                     ,R                    ,                         ,               ,from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,CN4               ,CN5           ,133, 825,A, 11,X,CC,   0.00,    260.6500,Wei      ,Nannofossils                                 ,F              ,P                 ,                       ,R                   ,                           ,                          ,R                     ,F                               ,R                    ,F                    ,R                        ,               ,from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,133, 825,A, 12,X,CC,  13.00,    268.2500,Wei      ,Nannofossils                                 ,R              ,P                 ,R                      ,F                   ,R                          ,R                         ,R                     ,                                ,                     ,                     ,                         ,               ,from ODP 133 SR Chapter 2 Figure 10 p 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,
