Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinella seminulina	Globorotalia plesiotumida	Globoquadrina venezuelana	Globigerinoides trilobus	Orbulina universa	Neogloboquadrina humerosa	Neogloboquadrina acostaensis	Globorotaloides variabilis	Globorotalia obesa	Globorotalia menardii	Globigerinoides ruber	Globigerinoides obliquus	Globigerinoides conglobatus	Globigerinoides sacculifer	Sphaeroidinella disjuncta	Pulleniatina primalis/N. acostaensis	Globoquadrina altispira	Pulleniatina primalis	Globorotalia juanai	Globorotalia explicationis	Globoquadrina dehiscens	Globigerinoides fragilis	Globigerina juvenilis	Orbulina bilobata	Globorotalia merotumida	Globigerina decoraperta	Neogloboquadrina continuosa	Globorotalia tumida	Globoquadrina globosa	Globigerinella aequilateralis	Globorotalia tumida flexuosa	Globorotalia plesiotumida/G. tumida	Globigerinita glutinata	Globorotalia scitula	Globorotalia crassaformis	Globigerina apertura	Sphaeroidinella dehiscens	Globigerinoides extremus	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Globigerinoides fistulosus	Candeina nitida	Neogloboquadrina pachyderma	Globorotalia fimbriata	Globigerina bulloides	Chiloguembelina sp.	Globorotaloides hexagona	Globorotalia ungulata	Comment



  SR	Pleistocene      	                 	P. obliquiloculata	              	111	 677	A	  1	H	CC	   8.00	      6.2100	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	VR                      	C                	                         	                            	                          	                  	C                    	C                    	                        	VR                         	                          	                         	                                    	                       	                     	                   	                          	                       	                        	VR                   	                 	                       	                       	                           	                   	                     	                             	                            	                                   	R                      	                    	                         	                    	                         	                        	C                           	A                         	                          	               	                           	                      	                     	                   	                        	R                    	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Pleistocene      	                 	P. obliquiloculata	              	111	 677	A	  2	H	CC	  16.00	     15.9700	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	R                       	C                	                         	                            	                          	                  	C                    	C                    	                        	VR                         	C                         	                         	                                    	                       	                     	                   	                          	                       	                        	VR                   	                 	                       	                       	                           	C                  	                     	R                            	                            	                                   	R                      	R                   	                         	                    	                         	                        	R                           	A                         	                          	               	R                          	                      	                     	                   	R                       	R                    	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Pleistocene      	                 	P. obliquiloculata	              	111	 677	A	  3	H	CC	   8.00	     25.4500	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	R                       	C                	                         	                            	                          	                  	                     	C                    	                        	VR                         	C                         	                         	                                    	                       	                     	                   	                          	                       	                        	VR                   	                 	                       	                       	                           	C                  	                     	                             	                            	                                   	R                      	                    	R                        	                    	C                        	                        	C                           	A                         	                          	               	VR                         	                      	VR                   	VR                 	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.

  SR	Pleistocene      	                 	P. obliquiloculata	              	111	 677	A	  4	H	CC	  30.00	     34.6800	Houghton 	Planktonic Foraminifers                      	               	                  	                          	                         	                         	R                       	C                	                         	                            	                          	                  	A                    	C                    	                        	                           	C                         	                         	                                    	                       	                     	                   	                          	                       	                        	                     	                 	                       	                       	                           	R                  	                     	VR                           	                            	                                   	VR                     	                    	VR                       	                    	                         	                        	C                           	A                         	                          	               	                           	                      	                     	                   	                        	                     	from 111 SR. Chapter 24. Table 1. pages 290-291.
