Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia menardii,Globorotalia juanai,Globoquadrina venezuelana,Globigerinita uvula,Zeaglobigerina woodi,Neogloboquadrina acostaensis,Sphaeroidinellopsis seminulina,Globigerinoides ruber,Globigerinoides obliquus,Globigerinoides extremus,Dentoglobigerina altispira,Pulleniatina primalis,Pulleniatina obliquiloculata,Neogloboquadrina humerosa,Globorotalia margaritae,Zeaglobigerina rubescens,Neogloboquadrina dutertrei,Globorotalia bermudezi,Globigerinoides trilobus,Globigerinoides sacculifer,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1042,A,  1,R,CC,  13.00,     49.9300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,R                    ,                   ,                         ,                   ,                    ,                            ,                              ,R                    ,                        ,                        ,                          ,                     ,R                           ,R                        ,                       ,R                       ,R                         ,R                     ,R                       ,R                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,N19               ,N18           ,170,1042,A,  2,R,CC,  12.00,     97.7300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,R                    ,                   ,                         ,                   ,                    ,R                           ,R                             ,                     ,                        ,R                       ,                          ,R                    ,R                           ,R                        ,R                      ,                        ,                          ,                      ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,N19               ,N17           ,170,1042,A,  3,R,CC,  11.00,    156.2600,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,R                    ,                   ,R                        ,                   ,                    ,R                           ,R                             ,R                    ,R                       ,R                       ,R                         ,                     ,                            ,                         ,                       ,                        ,                          ,                      ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,N19               ,N17           ,170,1042,A,  4,R,CC,   8.00,    203.9200,Ibaraki  ,Planktonic Foraminifers                      ,T              ,P                 ,                     ,                   ,                         ,                   ,P                   ,P                           ,                              ,                     ,                        ,                        ,                          ,                     ,                            ,                         ,                       ,                        ,                          ,                      ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Late Miocene     ,N18               ,N17           ,170,1042,A,  7,R,CC,   0.00,    231.6500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,R                    ,R                  ,R                        ,R                  ,                    ,                            ,                              ,                     ,                        ,                        ,                          ,                     ,                            ,                         ,                       ,                        ,                          ,                      ,                        ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
