Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Naviculopsis ponticula spinosa	Naviculopsis biapiculata	Distephanus quinquangellus	Distephanus pseudofibula	Distephanus crux	Dictyocha spp.	Dictyocha pygmaea	Corbisema archangelskiana	Bachmannocena  diodon	Bachmannocena circulus	Comment



  SR	                 	                 	                  	              	114	 699	A	  1	H	 1	  40.00	      0.4000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	B              	                  	-                             	-                       	-                         	-                       	-               	-             	-                	-                        	-                    	-                     	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  1	H	 2	 140.00	      2.9000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	B              	                  	-                             	-                       	-                         	-                       	-               	-             	-                	-                        	-                    	-                     	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  1	H	 3	 140.00	      4.4000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	B              	                  	-                             	-                       	-                         	-                       	-               	-             	-                	-                        	-                    	-                     	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  1	H	 4	 140.00	      5.9000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	B              	                  	-                             	-                       	-                         	-                       	-               	-             	-                	-                        	-                    	-                     	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  1	H	 5	 139.00	      7.3900	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	B              	                  	-                             	-                       	-                         	-                       	-               	-             	-                	-                        	-                    	-                     	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  1	H	 6	  40.00	      7.9000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	B              	                  	-                             	-                       	-                         	-                       	-               	-             	-                	-                        	-                    	-                     	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  2	H	 1	 110.00	      9.7000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	B              	                  	-                             	-                       	-                         	-                       	-               	-             	-                	-                        	-                    	-                     	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  2	H	 2	 110.00	     11.2000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	B              	                  	-                             	-                       	-                         	-                       	-               	-             	-                	-                        	-                    	-                     	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

  SR	                 	                 	                  	              	114	 699	A	  2	H	 3	 110.00	     12.7000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	B              	                  	-                             	-                       	-                         	-                       	-               	-             	-                	-                        	-                    	-                     	from ODP Leg 114 SR Chapter 41 Table 1 p.756-757

