Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi	Subbotinid gen. et sp. indet (with abortive chambers)	Subbotina triloculinoides	Subbotina triangularis	Subbotina patagonica	Subbotina eocaenica	Planorotalites spp.	Planorotalites compressus	Chiloguembelinid  gen. et sp. indet <150 µm	Acarinina praepentacamerata	Acarinina nitida	Acarinina mckannai	Acarinina aquiensis	Acarinina acarinata	Subbotina pseudobulloides	Morozovella hispidicidaris	Morozovella convexa	Acarinina whitei	Acarinina velascoensis	Acarinina subsphaerica	Acarinina intermedia	Acarinina esnaensis	Planorotalites chapmani	Morozovella tadjikistanensis dianensis	Acarinina chascanona	Morozovella nicoli	Acarinina rotundimarginata	Zeauvigerina spp.	Planorotalites planoconicus	Acarinina trichotrocha	Acarinina soldadoensis	Subbotina pseudoeocaena compacta	Subbotina pseudoeocaena	Subbotina eocaenica irregularis	Planorotalites pseudoscitulus elongatus	Planorotalites pseudoscitulus	Globorotaloides spp.	Globorotaloides sp. 1	Globorotalia praecentralis	Globigerinatheka senni	Acarinina triplex	Acarinina primitiva	Acarinina praetopilensis	Subbotina sp. aff. S.hornibrooki	Subbotina pseudoeocaena trilobata	Subbotina crociapertura	Pseudohastigerina wilcoxensis	Planorotalites australiformis	Morozovella subbotinae	Morozovella nicoli ex. group (biconvex)	Morozovella lensiformis	Morozovella dolabrata	Globorotaloides sp. aff. G.suteri	Acarinina pseudotopilensis	Acarinina interposita	Subbotina higginsi	Pseudohastigerina micra <150 µm	Morozovella broedermanni	Guembelitria spp. <150 µm	Acarinina rugosoaculeata	Acarinina pentacamerata	Acarinina collactea	Acarinina bullbrooki/matthewsae	Acarinina sp. aff. mattseensis alticonica	Acarinina appressocamerata	Subbotina ratusa	Subbotina inaequispira	Subbotina corpulenta	Subbotina eocaena	Acarinina decepta	Morozovella crater	Acarinina sp. cf. A.quadratoseptata	Catapsydrax taroubaensis	Pseudohastigerina danvillensis	Acarinina spinuloinflata	Cassigerinelloita amekiensis	Subbotina hagni	Globigerina venezuelana	Dentoglobigerina pseudovenezuelana	Catapsydrax spp.	Globorotaloides suteri	Globorotaloides oregonensis	Whiteinella sp.	Subbotina utilisindex	Subbotina sp. cf. S. azerbadjanica	Subbotina angiporoides	Globigerinatheka subconglobata	Subbotina angiporoides minima	Globigerinatheka index	Subbotina linaperta	Paragloborotalia opima nana	Tenuitella gemma / munda	Catapsydrax globiformis	Globigerina labiacrassata	Catapsydrax unicavus	Catapsydrax dissimilis ciperoensis	Catapsydrax dissimilis	Globigerinids sp.	Globigerina senilis	Globigerina euapertura	Globigerina praebulloides	? Prosphaeroidinella sp.	Globigerina praebulloides leroyi	Globigerina officinalis	Cassigerinella chipolensis	Comment



  SR	Late Oligocene   	                 	                  	              	114	 699	A	 11	H	CC	  26.00	    101.1100	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	VR              	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	VR                    	                 	VR                 	                      	                         	F                       	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Late Oligocene   	                 	                  	              	114	 699	A	 12	H	 1	 131.00	    104.9100	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	VR                                	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	F                        	                    	                                  	                      	                 	R                  	                      	                         	VR                      	VR                              	F                      	R                         	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Late Oligocene   	                 	                  	              	114	 699	A	 12	H	 2	 104.00	    106.1400	Nocchi   	Planktonic Foraminifers                      	F              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	F               	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	F                        	                    	VR                                	F                     	                 	VR                 	F                     	F                        	C                       	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Late Oligocene   	                 	                  	              	114	 699	A	 12	H	 3	 101.00	    107.6100	Nocchi   	Planktonic Foraminifers                      	R              	M                 	                 	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	                    	                     	                          	                      	                 	                   	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	F                        	                    	                                  	                      	                 	F                  	VR                    	                         	                        	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket
