Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 939,B,  1,H, 1,  27.00,      0.2700,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,C                         ,-                   ,-                           ,C                  ,-                            ,-                     ,C                    ,-                   ,-                     ,R                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,C                            ,F                           ,-                        ,-                    ,-               ,from Leg 155IR p. 451 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 939,B,  1,H, 1,  82.00,      0.8200,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,C                         ,-                   ,-                           ,F                  ,R                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,R                              ,-                                     ,C                                ,F                                  ,C                            ,-                           ,-                        ,-                    ,-               ,PT;SP;RN; from Leg 155IR p. 451 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 939,B,  1,H, 1, 130.00,      1.3000,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,C                         ,-                   ,F                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,-                                  ,F                            ,C                           ,-                        ,-                    ,-               ,BN;M;PT; from Leg 155IR p. 451 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 939,B,  1,H,CC,   5.00,      3.9000,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,F                           ,C                         ,-                   ,-                           ,C                  ,C                            ,-                     ,F                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,R                           ,-                        ,-                    ,-               ,RN; from Leg 155IR p. 451 Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
