Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Heterohelix moremani,Whiteinella baltica,Heterohelix globulosa,Hedbergella delrioensis,Whiteinella archaeocretacea,Whiteinella inornata,Whiteinella brittonensis,Clavihedbergella simplex,Praeglobotruncana stephani,Hastigerinoides watersi,Archaeoglobigerina bosquensis,Dicarinella algeriana,Hastigerinoides alexanderi,Dicarinella hagni,Hedbergella amabilis,Dicarinella imbricata,Dicarinella canaliculata,Globigerinelloides caseyi,Marginotruncana pseudolinneiana,Marginotruncana sinuosa,Marginotruncana sigali,Marginotruncana schneegansi,Dicarinella primitiva,Marginotruncana renzi,Dicarinella concavata,Archaeoglobigerina cretacea,Marginotruncana coronata,Contusotruncana fornicata,Archaeoglobigerina blowi,Rugoglobigerina rugosa,Globigerinelloides prairiehillensis,Pseudoguembelina costulata,Globotruncana linneiana,Racemiguembelina fructicosa,Pseudotextularia elegans,Globotruncanita stuartiformis,Globotruncanella havanensis,Globotruncana ventricosa,Globotruncana esnehensis,Gansserina wiedenmayeri,Rugotruncana subcircumnodifer,Globotruncanella petaloidea,Globotruncana aegyptiaca,Rugoglobigerina scotti,Globotruncana arca,Rugoglobigerina rotundata,Globotruncanita subspinosa,Globotruncanita stuarti,Contusotruncana contusa,Abathomphalus intermedius,Rugoglobigerina hexacamerata,Gansserina gansseri,Abathomphalus mayaroensis,Pseudoguembelina palpebra,Pseudoguembelina excolata,Planoglobulina acervulinoides,Globotruncanita elevata,Globotruncanita calcarata,Praemurica uncinata,Parasubbotina pseudobulloides,Morozovella praeangulata,Globanomalina compressa,Subbotina velascoensis,Subbotina triloculinoides,Parasubbotina varianta,Morozovella velascoensis,Morozovella pasionensis,Morozovella angulata,Morozovella acuta,Igorina pusilla,Igorina albeari,Globanomalina ehrenbergi,Subbotina triangularis,Morozovella apanthesma,Morozovella aequa,Acarinina subsphaerica,Acarinina nitida,Globanomalina pseudomenardii,Morozovella occlusa,Acarinina soldadoensis,Morozovella subbotinae,Acarinina coalingensis,Chiloguembelina wilcoxensis,Pseudohastigerina wilcoxensis,Acarinina wilcoxensis,Morozovella gracilis,Subbotina patagonica,Igorina broedermanni,Turborotalia praecentralis,Pseudohastigerina micra,Morozovella lensiformis,Morozovella formosa,Globigerina lozanoi,Acarinina quetra,Planorotalites pseudoscitulus,Morozovella aragonensis,Acarinina pentacamerata,Muricoglobigerina senni,Acarinina aspensis,Planorotalites renzi,Guembelitrioides higginsi,Planorotalites palmerae,Acarinina praetopilensis,Acarinina bullbrooki,Acarinina cuneicamerata,Globigerinatheka index,Acarinina pseudotopilensis,Acarinina rohri,Acarinina punctocarinata,Clavigerinella akersi,Acarinina topilensis,Subbotina boweri,Hantkenina mexicana,Globigerinatheka mexicana,Turborotalia possagnoensis,Morozovella spinulosa,Globigerinatheka kugleri,Acarinina primitiva,Morozovella lehneri,Turborotalia pomeroli,Turborotalia griffinae,Subbotina linaperta,Globigerina pseudovenezuelana,Orbulinoides beckmanni,Turborotalia cerroazulensis,Turborotalia pseudoampliapertura,Globorotaloides suteri,Hantkenina alabamensis,Globigerinatheka rubriformis,Globorotaloides carcoselleensis,Hantkenina nanggulanensis,Turborotalia cocoaensis,Acarinina collactea,Globigerina euapertura,Chiloguembelina cubensis,Turborotalia cunialensis,Dentoglobigerina galavisi,Turborotalia increbescens,Cassigerinella chipolensis,Globoquadrina tripartita,Turborotalia ampliapertura,Tenuitella angustiumbilicata,Paragloborotalia opima nana,Globigerina ciperoensis,Dentoglobigerina globularis,Pseudohastigerina naguewichiensis,Globigerina anguliofficinalis,Catapsydrax unicavus,Globigerina ouachitaensis,Globorotaloides variabilis,Globigerina angulisuturalis,Globoquadrina altispira globosa,Catapsydrax dissimilis,Globigerina yeguaensis,Paragloborotalia opima opima,Paragloborotalia mayeri,Globoquadrina baroemoenensis,Paragloborotalia kugleri,Globoquadrina venezuelana,Globoquadrina praedehiscens,Globigerinoides altiapertura,Globigerinoides subquadratus,Globigerinoides obliquus,Globigerinoides immaturus,Globoquadrina dehiscens,Globigerinoides primordius,Globigerinella obesa,Globorotalia peripheroronda,Globoquadrina altispira altispira,Tenuitella munda,Paragloborotalia siakensis,Globoquadrina binaiensis,Globigerina woodi,Globigerina praebulloides,Globigerinoides quadrilobatus,Globigerinella aequilateralis,Subbotina gortanii,Globorotalia mayeri,Globigerina corpulenta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,A,  1,R, 1,  50.00,      0.5000,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                    ,                   ,                     ,                       ,                           ,                    ,                        ,                        ,                          ,                       ,                             ,                     ,                          ,                 ,                    ,                     ,                        ,                         ,                               ,                       ,                      ,                           ,                     ,                     ,                     ,                           ,                        ,                         ,                        ,                      ,                                   ,                          ,                       ,                           ,                        ,                             ,                           ,                        ,                        ,                       ,                             ,                           ,                        ,                      ,                  ,                         ,                          ,                       ,                       ,                         ,                            ,                   ,                         ,                         ,                         ,                             ,                       ,                         ,                   ,                             ,                        ,                       ,                      ,                         ,                      ,                        ,                       ,                    ,                 ,               ,               ,                        ,                      ,                      ,                 ,                      ,                ,                            ,                   ,                      ,                      ,                      ,                           ,                             ,                     ,                    ,                    ,                    ,                          ,                       ,                       ,                   ,                   ,                ,                             ,                       ,                       ,                       ,                  ,                    ,                         ,                       ,                        ,                    ,                       ,                      ,                          ,               ,                        ,                     ,                    ,                ,                   ,                         ,                          ,                     ,                        ,                   ,                   ,                     ,                      ,                   ,                             ,                      ,                           ,                                ,                      ,                      ,                            ,                               ,                         ,                       ,                   ,P                     ,P                       ,                        ,                         ,                         ,P                         ,                        ,P                         ,                            ,                           ,                       ,                           ,                                 ,                             ,                    ,                         ,                          ,                           ,P                              ,                      ,                      ,                            ,                       ,                            ,                        ,                         ,                           ,                            ,                            ,                        ,                         ,                       ,                          ,                    ,                           ,                                 ,                ,                          ,                        ,                 ,                         ,                             ,                             ,                  ,                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,A,  1,R, 2,  50.00,      2.0000,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                    ,                   ,                     ,                       ,                           ,                    ,                        ,                        ,                          ,                       ,                             ,                     ,                          ,                 ,                    ,                     ,                        ,                         ,                               ,                       ,                      ,                           ,                     ,                     ,                     ,                           ,                        ,                         ,                        ,                      ,                                   ,                          ,                       ,                           ,                        ,                             ,                           ,                        ,                        ,                       ,                             ,                           ,                        ,                      ,                  ,                         ,                          ,                       ,                       ,                         ,                            ,                   ,                         ,                         ,                         ,                             ,                       ,                         ,                   ,                             ,                        ,                       ,                      ,                         ,                      ,                        ,                       ,                    ,                 ,               ,               ,                        ,                      ,                      ,                 ,                      ,                ,                            ,                   ,                      ,                      ,                      ,                           ,                             ,                     ,                    ,                    ,                    ,                          ,                       ,                       ,                   ,                   ,                ,                             ,                       ,                       ,                       ,                  ,                    ,                         ,                       ,                        ,                    ,                       ,                      ,                          ,               ,                        ,                     ,                    ,                ,                   ,                         ,                          ,                     ,                        ,                   ,                   ,                     ,                      ,                   ,                             ,                      ,                           ,                                ,                      ,                      ,                            ,                               ,                         ,                       ,                   ,P                     ,P                       ,                        ,                         ,                         ,P                         ,                        ,P                         ,                            ,                           ,                       ,                           ,                                 ,                             ,                    ,                         ,                          ,                           ,P                              ,                      ,                      ,                            ,                       ,                            ,                        ,                         ,                           ,                            ,                            ,                        ,                         ,                       ,                          ,                    ,                           ,                                 ,                ,                          ,                        ,                 ,                         ,                             ,                             ,                  ,                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,A,  1,R,CC,  12.00,      3.3500,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                    ,                   ,                     ,                       ,                           ,                    ,                        ,                        ,                          ,                       ,                             ,                     ,                          ,                 ,                    ,                     ,                        ,                         ,                               ,                       ,                      ,                           ,                     ,                     ,                     ,                           ,                        ,                         ,                        ,                      ,                                   ,                          ,                       ,                           ,                        ,                             ,                           ,                        ,                        ,                       ,                             ,                           ,                        ,                      ,                  ,                         ,                          ,                       ,                       ,                         ,                            ,                   ,                         ,                         ,                         ,                             ,                       ,                         ,                   ,                             ,                        ,                       ,                      ,                         ,                      ,                        ,                       ,                    ,                 ,               ,               ,                        ,                      ,                      ,                 ,                      ,                ,                            ,                   ,                      ,                      ,                      ,                           ,                             ,                     ,                    ,                    ,                    ,                          ,                       ,                       ,                   ,                   ,                ,                             ,                       ,                       ,                       ,                  ,                    ,                         ,                       ,                        ,                    ,                       ,                      ,                          ,               ,                        ,                     ,                    ,                ,                   ,                         ,                          ,                     ,                        ,                   ,                   ,                     ,                      ,                   ,                             ,                      ,                           ,                                ,                      ,                      ,                            ,                               ,                         ,                       ,                   ,P                     ,P                       ,                        ,P                        ,                         ,P                         ,                        ,P                         ,                            ,                           ,                       ,                           ,                                 ,                             ,P                   ,                         ,                          ,                           ,                               ,                      ,                      ,                            ,                       ,                            ,                        ,                         ,                           ,                            ,                            ,                        ,                         ,                       ,                          ,                    ,                           ,                                 ,                ,                          ,                        ,                 ,                         ,                             ,                             ,                  ,                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1259,A,  2,R,CC,  12.00,     13.3700,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                    ,                   ,                     ,                       ,                           ,                    ,                        ,                        ,                          ,                       ,                             ,                     ,                          ,                 ,                    ,                     ,                        ,                         ,                               ,                       ,                      ,                           ,                     ,                     ,                     ,                           ,                        ,                         ,                        ,                      ,                                   ,                          ,                       ,                           ,                        ,                             ,                           ,                        ,                        ,                       ,                             ,                           ,                        ,                      ,                  ,                         ,                          ,                       ,                       ,                         ,                            ,                   ,                         ,                         ,                         ,                             ,                       ,                         ,                   ,                             ,                        ,                       ,                      ,                         ,                      ,                        ,                       ,                    ,                 ,               ,               ,                        ,                      ,                      ,                 ,                      ,                ,                            ,                   ,                      ,                      ,                      ,                           ,                             ,                     ,                    ,                    ,                    ,                          ,                       ,                       ,                   ,                   ,                ,                             ,                       ,                       ,                       ,                  ,                    ,                         ,                       ,                        ,                    ,                       ,                      ,                          ,               ,                        ,                     ,                    ,                ,                   ,                         ,                          ,                     ,                        ,                   ,                   ,                     ,                      ,                   ,                             ,                      ,                           ,                                ,                      ,                      ,                            ,                               ,                         ,                       ,                   ,                      ,P                       ,                        ,P                        ,P                        ,                          ,                        ,P                         ,                            ,                           ,                       ,                           ,P                                ,                             ,P                   ,                         ,                          ,                           ,                               ,                      ,                      ,                            ,                       ,                            ,                        ,                         ,                           ,                            ,                            ,                        ,                         ,                       ,                          ,                    ,                           ,                                 ,                ,                          ,                        ,                 ,                         ,                             ,                             ,P                 ,                   ,                      ,       
