Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vozzhennikovia spp.,Systematophora placacantha,Spiniferites ramosus,Spinidinium densispinatum,Pyxidinopsis sp.,Palaeocystodinium spp.,Operculodinium centrocarpum,Hystrichosphaeridium tubiferum,Hystrichosphaeridium truswelliae,Hafniasphaera septata,Elytrocysta spp.,Deflandrea phosphoritica group,Cribroperidinium spp.,Cordosphaeridium fibrospinosum,Cerodinium spp.,Cassidium fragile,Alterbidinium spp.,Thalassiphora pelagica,Apectodinium homomorphum,Glaphyrocysta retiintexta,Fibrocysta axialis,Areoligera spp.,Samlandia septata,Phthanoperidinium spp.,Operculodinium sp. A,Lejeunecysta spp.,Spinidinium macmurdoense,Hystrichokolpoma spinosum,Dracodinium waipawaense,Dapsilidinium pseudocolligerum,Alisocysta circumtabulata,Wetzeliella articulata,Operculodinium sp. B,Enneadocysta pectiniformis,Enneadocysta partridgei,Pyxidinopsis waipawaensis,Octodinium askiniae,Membranophoridium perforatum,Hystrichostrogylon spp.,Areosphaeridium diktyoplokus,Charlesdowniea edwardsii,Charlesdowniea coleothrypta,Impagidinium dispertitum,Achomosphaera ramulifera,Arachnodinium antarcticum,Enneadocysta harrisii,Cerebrocysta bartonensis,Batiacasphaera compta,Selenopemphix nephroides,Impagidinium sp. a,Impagidinium sp.,Turbiosphaera filosa,Tectatodinium spp.,Impagidinium victorianum,Impagidinium spp. (pars),Pentadinium goniferum,Achilleodinium biformoides,Rhombodinium rhomboideum,Achomosphaera alcicornu,Corrudinium sp.,Stoveracysta ornata,Alterbidinium distinctum,Samlandia chlamydophora,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  3,R,CC,  14.00,    271.3400,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,45                 ,                          ,4                   ,                         ,                ,                      ,2                          ,                              ,1                               ,                     ,10              ,23                            ,                     ,                              ,               ,                 ,4                 ,2                     ,                        ,                         ,                  ,               ,                 ,7                     ,14                  ,18               ,2                       ,                         ,                       ,                              ,                         ,                      ,                    ,2                         ,18                     ,                         ,10                 ,                            ,                       ,1                           ,                        ,                           ,                        ,                        ,                         ,                     ,                        ,                     ,6                       ,                  ,1               ,6                   ,1                 ,4                       ,1                       ,                     ,                          ,                        ,                       ,3              ,2                  ,17                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  4,R,CC,  15.00,    280.5900,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,23                 ,                          ,2                   ,                         ,+               ,                      ,                           ,1                             ,                                ,                     ,6               ,53                            ,                     ,                              ,               ,                 ,7                 ,1                     ,                        ,                         ,                  ,               ,                 ,3                     ,21                  ,10               ,2                       ,                         ,                       ,                              ,                         ,                      ,                    ,3                         ,8                      ,                         ,12                 ,                            ,                       ,F                           ,                        ,                           ,                        ,                        ,+                        ,                     ,+                       ,                     ,5                       ,2                 ,1               ,5                   ,8                 ,4                       ,                        ,1                    ,                          ,                        ,                       ,6              ,2                  ,17                      ,1                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  5,R,CC,  15.00,    287.5300,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,6                  ,                          ,8                   ,                         ,                ,                      ,                           ,                              ,                                ,                     ,12              ,36                            ,                     ,                              ,               ,                 ,1                 ,+                     ,                        ,                         ,+                 ,               ,                 ,13                    ,17                  ,4                ,6                       ,                         ,                       ,                              ,                         ,                      ,                    ,2                         ,9                      ,                         ,1                  ,                            ,                       ,+                           ,                        ,                           ,                        ,                        ,                         ,                     ,+                       ,                     ,4                       ,1                 ,                ,3                   ,1                 ,2                       ,                        ,                     ,                          ,                        ,                       ,1              ,1                  ,5                       ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  6,R,CC,   7.00,    295.2600,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,4                  ,1                         ,                    ,                         ,1               ,                      ,                           ,                              ,                                ,                     ,1               ,45                            ,                     ,                              ,               ,                 ,+                 ,2                     ,                        ,                         ,1                 ,               ,                 ,30                    ,15                  ,+                ,+                       ,                         ,                       ,                              ,                         ,                      ,                    ,1                         ,5                      ,                         ,                   ,                            ,                       ,1                           ,                        ,                           ,                        ,                        ,                         ,                     ,                        ,+                    ,2                       ,1                 ,                ,12                  ,1                 ,1                       ,1                       ,                     ,                          ,                        ,                       ,1              ,                   ,                        ,                       ,       
