Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita quinqueloba,Tenuitella sp.,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Tenuitella anfracta,Neogloboquadrina acostaensis,Hastigerinopsis riedeli,Globigerinita uvula,Globigerinita juvenilis,Globigerinita glutinata,Globigerina bulloides,Gallitellia vivans,Globorotalia inflata,Globoquadrina conglomerata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  1,H, 1,   0.00,      0.0000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,C                        ,R             ,A                                      ,C                                    ,C                         ,-                  ,-                           ,-                      ,R                  ,C                      ,C                      ,C                    ,-                 ,R                   ,R                         ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  1,H, 1,  32.00,      0.3200,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,R/C                      ,R             ,A                                      ,R                                    ,R/C                       ,VR                 ,R                           ,VR                     ,VR                 ,C                      ,R/C                    ,C                    ,VR                ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  1,H, 1,  95.00,      0.9500,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,T             ,T                                      ,-                                    ,T                         ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  1,H, 2,  83.00,      2.3300,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,-             ,T                                      ,-                                    ,                          ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N.pachyderma(s. W&C),              ,152, 914,A,  1,H, 2,  96.00,      2.4600,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,-                        ,T             ,T                                      ,-                                    ,                          ,                   ,                            ,                       ,                   ,                       ,                       ,                     ,                  ,                    ,                          ,From Leg 152SR; Ch 12; Table2; p. 164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
