Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina atlantica (sinistral)	Neogloboquadrina pachyderma (sinistral)	Globigerinoides trilobus	Globigerina bulloides	Neogloboquadrina dutertrei	Menardella menardii	Globigerinoides extremus	Dentoglobigerina altispira	Menardella limbata	Globigerinoides ruber	Globigerinoides conglobatus	Globigerinella aequilateralis	Neogloboquadrina pachyderma (dextral)	Turborotalita quinqueloba	Sphaeroidinellopsis sp. aff. seminulina (juv.)	Comment



  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	D	  1	H	CC	  15.00	      5.7300	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                      	A                                      	                        	                     	                          	                   	                        	                          	                  	                     	                           	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	D	  6	X	 1	  74.00	     37.0400	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                      	R                                      	                        	                     	                          	                   	                        	                          	                  	                     	                           	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	D	  8	X	 1	  74.00	     55.6400	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                      	R                                      	                        	                     	                          	                   	                        	                          	                  	                     	                           	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Quaternary       	                 	N. pachyderma (sin.)	              	151	 910	D	 10	X	 2	  75.00	     76.3500	Spiegler 	Planktonic Foraminifers                      	               	P                 	                                      	R                                      	                        	                     	                          	                   	                        	                          	                  	                     	                           	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Late Pliocene    	                 	N21               	              	151	 910	D	 10	X	 3	  74.00	     77.8400	Spiegler 	Planktonic Foraminifers                      	               	P                 	                                      	                                       	R                       	                     	                          	                   	                        	                          	                  	                     	                           	                             	                                     	R                        	R                                             	From Leg 151; Ch 8; Table 3; p. 159

  SR	Late Pliocene    	                 	N21               	              	151	 910	D	 10	X	CC	  27.00	     78.8700	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                      	                                       	                        	                     	                          	                   	                        	                          	                  	                     	                           	                             	R                                    	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Late Pliocene    	                 	N21               	              	151	 910	D	 13	X	 2	  74.00	    105.2400	Spiegler 	Planktonic Foraminifers                      	               	P                 	                                      	                                       	                        	                     	                          	                   	                        	                          	                  	                     	                           	R                            	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Late Pliocene    	                 	N21               	              	151	 910	D	 14	X	 2	  74.00	    114.8400	Spiegler 	Planktonic Foraminifers                      	               	P                 	                                      	                                       	                        	                     	                          	                   	                        	                          	                  	                     	                           	R                            	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Late Pliocene    	                 	N21               	              	151	 910	D	 15	X	 3	  74.00	    126.0400	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                      	                                       	                        	                     	R                         	R                  	                        	R                         	R                 	R                    	R                          	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Late Pliocene    	                 	N21               	              	151	 910	D	 16	X	 2	  74.00	    134.1400	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                      	                                       	C                       	                     	R                         	R                  	R                       	R                         	                  	                     	                           	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Late Pliocene    	                 	N21               	              	151	 910	D	 16	X	 3	  74.00	    135.6400	Spiegler 	Planktonic Foraminifers                      	               	G                 	                                      	                                       	R                       	R                    	                          	                   	                        	                          	                  	                     	                           	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Pliocene         	                 	                  	              	151	 910	D	 17	X	 2	  74.00	    143.7400	Spiegler 	Planktonic Foraminifers                      	               	M                 	                                      	R                                      	                        	                     	                          	                   	                        	                          	                  	                     	                           	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Pliocene         	                 	                  	              	151	 910	D	 17	X	 6	  74.00	    149.7400	Spiegler 	Planktonic Foraminifers                      	               	P                 	                                      	R                                      	                        	                     	                          	                   	                        	                          	                  	                     	                           	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Pliocene         	                 	N. atlantica (sin.)	              	151	 910	D	 18	X	 2	  74.00	    153.3400	Spiegler 	Planktonic Foraminifers                      	               	G                 	R                                     	R                                      	                        	                     	                          	                   	                        	                          	                  	                     	                           	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

  SR	Pliocene         	                 	N. atlantica (sin.)	              	151	 910	D	 18	X	 3	  74.00	    154.8400	Spiegler 	Planktonic Foraminifers                      	               	G                 	R                                     	                                       	                        	                     	                          	                   	                        	                          	                  	                     	                           	                             	                                     	                         	                                              	From Leg 151; Ch 8; Table 3; p. 159

