Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis (?) annikae,Stylosphaera coronata coronata,Spongurus (?) regularis group,Phormocyrtis striata praexquisita,Cromyomma riedeli,Buryella tetradica,Buryella pentadica,Bathropyramis woodringi,Xiphosphaera circularis,Periphaena decora,Entapium regulare,Phormocyrtis striata exquisita,Stylotrochus alveatus,Spongurus quadratus,Bekoma campechensis,Stylosphaera goruna,Astrosphaerin sp. E,Lithomespilus mendosa,Lamptonium pennatum,Astrosphaerin sp. F,Lamptonium fabaeforme chaunothorax,Bekoma bidartensis,Theocotylissa alpha,Pterocodon (?) anteclinata,Pterocodon (?) ampla,Lamptonium fabaeforme fabaeforme,Calocycloma castum,Theocotyle nigriniae,Spongatractus balbis,Lithocyclia ocellus,Buryella clinata,Podocyrtis papalis,Calocyclas hispida,Thyrsocyrtis rhizodon,Thyrsocyrtis hirsuta,Phormocyrtis striata striata,Thyrsocyrtis tarsipes,Theocotylissa ficus,Thyrsocyrtis tensa,Theocotyle cryptocephala,Podocyrtis sinuosa,Podocyrtis diamesa,Thyrsocyrtis robusta,Theocotyle venezuelensis,Dictyoprora mongolfieri,Theocotyle conica,Thyrsocyrtis triacantha,Eusyringium lagena,Spongatractus pachystylus,Podocyrtis phyxis,Eusyringium fistuligerum,Podocyrtis  ampla,Lychnocanoma bellum,Podocyrtis trachodes,Podocyrtis dorus,Sethochytris triconiscus,Podocyrtis mitra,Thyrsocyrtis lochites,Podocyrtis fasciolata,Podocyrtis chalara,Tristylospyris triceros,Thyrsocyrtis  tetracantha,Lithocyclia aristotelis group,Cryptocarpium ornatum,Lophocyrtis jacchia,Dictyoprora pirum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. goetheana  ,,171,1051,A,2,H,CC,27.00,15.2500,Blome    ,Radiolarians                                 ,F              ,M                 ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,C                 ,R                 ,F                    ,                    ,                            ,                     ,F                  ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,R                      ,                  ,                         ,                 ,F                       ,                 ,                   ,                    ,                ,R                       ,                ,R                    ,                     ,C                 ,R                      ,F                        ,                             ,R                    ,R                  ,R                ,"Abundant clay inout, well preserved but only few to moderate in abundance"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. goetheana  ,,171,1051,A,3,H,CC,23.00,25.3200,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,C                 ,R                 ,F                    ,                    ,                            ,                     ,F                  ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,C                      ,                  ,                         ,                 ,C                       ,                 ,                   ,                    ,                ,F                       ,                ,                     ,                     ,R                 ,                       ,T                        ,R                            ,R                    ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,Podocyrtis chalara,,171,1051,A,4,H,CC,24.00,34.5400,Blome    ,Radiolarians                                 ,C              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,                 ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,C                 ,F                 ,F                    ,                    ,                            ,                     ,R                  ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,F                      ,                  ,                         ,                 ,F                       ,                 ,                   ,                    ,                ,R                       ,                ,                     ,                     ,F                 ,R                      ,                         ,                             ,                     ,                   ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,Podocyrtis chalara,,171,1051,A,5,H,CC,19.00,44.0900,Blome    ,Radiolarians                                 ,A              ,VG                ,                        ,                              ,                             ,                                 ,                 ,                  ,                  ,                       ,                       ,C                ,                 ,                              ,                     ,                   ,                   ,                   ,                   ,                     ,                   ,                   ,                                  ,                  ,                   ,                          ,                    ,                                ,                  ,                    ,                    ,                   ,                ,C                 ,F                 ,F                    ,                    ,                            ,                     ,                   ,                  ,                        ,                  ,                  ,                    ,                        ,C                      ,                 ,F                      ,                  ,                         ,                 ,F                       ,                 ,R                  ,                    ,                ,R                       ,                ,                     ,                     ,F                 ,                       ,                         ,                             ,                     ,                   ,                 ,       
