Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globigerina bulloides,Turborotalita quinqueloba,Globorotalia scitula,Globigerinita minuta,Globigerinita uvula,Turborotalita humilis,Tenuitella parkerae,Tenuitella iota,Orbulina universa,Neogloboquadrina pachyderma (non-encrusted juvenile sin.),Neogloboquadrina pachyderma (dextral),Indeterminate spp.,Globoturborotalita rubescens,Globorotalia theyeri,Globorotalia sp. A,Globorotalia inflata,Globorotalia hirsuta,Globigerinoides ruber,Globigerinita glutinata,Globigerinita cf. uvula,Globigerina falconensis,Neogloboquadrina dutertrei,Globorotaloides hexagona,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,                  ,              ,139, 857,A,  1,H, 1,   0.00,      1.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,A                    ,C                        ,R                   ,0                   ,113                ,0                    ,1                  ,0              ,R                ,1                                                        ,C                                    ,1                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,C                      ,198                    ,0                      ,                          ,R                       ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  1,H, 1,  79.00,      2.6900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,144                                    ,89                   ,32                       ,1                   ,0                   ,75                 ,0                    ,5                  ,0              ,0                ,8                                                        ,5                                    ,10                ,0                           ,0                   ,4                 ,0                   ,0                   ,0                    ,5                      ,128                    ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,139, 857,A,  1,H, 2, 125.00,      4.6500,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,150                                    ,122                  ,77                       ,2                   ,2                   ,45                 ,0                    ,3                  ,0              ,0                ,0                                                        ,2                                    ,2                 ,0                           ,0                   ,0                 ,0                   ,0                   ,0                    ,43                     ,248                    ,0                      ,                          ,                        ,from Leg 139 SR; Chapter 4; Tables 5&6; p47& 51-53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,CD2               ,              ,139, 857,A,  1,H, 3,   1.00,      4.9100,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,A                    ,C                        ,F                   ,A                   ,F                  ,                     ,                   ,               ,                 ,                                                         ,                                     ,                  ,                            ,                    ,                  ,                    ,                    ,                     ,                       ,                       ,                       ,                          ,                        ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-323
