Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rutherfordoides sp. A,Suggrunda eckisi,Pullenia bulloides,Globocassidulina spp.,Elphidium spp.,Buliminella elegantissima,Buccella sp. A,Bolivina pacifica,Spirosigmoilina tenuis,Elphidium excavatum,Uvigerina senticosa,Triloculina sp. A,Textularia sp. A,Stainforthia complanata,Sphaeroidina bulloides,Nonionella turgida,Lagenid taxa,Gyroidina spp.,Globobulimina ovula,Globobulimina affinis,Cibicides wuellerstorfi,Melonis pompilioides,Gyroidina sp. A,Eggerella bradyi,Bolivina spp.,Valvulineria spp.,Valvulineria sp. A,Valvulineria laevigata,Melonis quadalupe,Gyroidinoides planulatus,Cibicides kullenbergi,Uvigerina dirupta,Stainforthia rotunda,Nodosariid taxa,Melonis barleeanus,Karreriella sp. A,Eponides turgida,Cibicides lobatulus,Cassidulina laevigata carinata,Pyrgo spp.,Pyrgo murrhina,Miliolina spp.,Chilostomellina fimbriata (?),Chilostomella oolina,Nonionella spp.,Cribroelphidium subarcticum,Bolivina seminuda,Rosalina sp. A,Pullenia quinqueloba,Oridorsalis tener,Nonionella cf. N. miocenica,Globobulimina pacifica,Cassidulinoides spp.,Valvulineria cf. V. inequalis,Gyroidina quinqueloba,Eggerella spp.,Eggerella parkerae,Nonion sp.,Baggina sp. A,Spirosigmoilinella spp.,Pullenia salisburyi,Lenticulina spp.,Gyroidinoides altiformis,Bulimina cf. B. inflata,Valvulineria inaequalis,Strebloides sp. A,Quinqueloculina sp.,Nonionellina labradorica,Chilostomella ovoidea,Buliminella tenuata,Stainforthia spp.,Nonionella digitata,Cibicidoides sp. A,Cibicidoides mckannai,Cribroelphidium foraminosum,Gyroidina gemma,Uvigerina cf. U. juncea,Martinottiella sp. A,Dentalina frobisherensis,Uvigerina hispida,Cibicidina cf. C. basiloba,Quinqueloculina akneriana,Agglutinated spp. (indeterminate),Bulimina barbata,Pullenia spp.,Miliolids species,Hoeglundina elegans,Bulimina rostrata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  1,H, 1,   0.00,      1.9000,Brunner  ,Benthic Foraminifers                         ,A              ,G                 ,                     ,                ,                  ,+                    ,              ,                         ,              ,+                ,                      ,                   ,+                  ,                 ,                ,                       ,+                     ,                  ,+           ,+             ,                   ,+                    ,+                      ,                    ,+              ,                ,             ,                 ,                  ,+                     ,                 ,+                       ,                     ,+                ,                    ,+              ,                  ,                 ,                ,                   ,+                             ,          ,+             ,              ,                             ,                    ,               ,                           ,+                ,              ,                    ,                 ,                           ,+                     ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,+                      ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,+               ,             ,+                ,+                  ,+                ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  1,H, 3,   1.00,      4.9100,Brunner  ,Benthic Foraminifers                         ,               ,G                 ,                     ,                ,                  ,+                    ,              ,                         ,              ,                 ,                      ,                   ,+                  ,+                ,                ,+                      ,                      ,                  ,+           ,              ,                   ,+                    ,+                      ,+                   ,+              ,+               ,             ,                 ,                  ,+                     ,                 ,                        ,                     ,                 ,                    ,               ,                  ,                 ,                ,                   ,                              ,          ,              ,              ,                             ,                    ,               ,                           ,+                ,              ,                    ,+                ,                           ,                      ,                    ,+                            ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,                        ,                       ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,                           ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,+            ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  1,H,CC,  20.00,     11.5400,Brunner  ,Benthic Foraminifers                         ,               ,G                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,                 ,                      ,                   ,+                  ,+                ,                ,+                      ,                      ,                  ,            ,              ,                   ,+                    ,+                      ,+                   ,+              ,                ,             ,                 ,                  ,                      ,                 ,+                       ,+                    ,+                ,                    ,               ,+                 ,                 ,                ,                   ,+                             ,+         ,              ,              ,                             ,+                   ,               ,                           ,                 ,+             ,                    ,                 ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,+                      ,+                  ,                ,+                       ,+                      ,                       ,                 ,                   ,                        ,                     ,                   ,                 ,                   ,                  ,                     ,+                          ,               ,                       ,                    ,                        ,                 ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,A,  2,H, 1,  45.00,     11.8500,Brunner  ,Benthic Foraminifers                         ,               ,G                 ,                     ,                ,+                 ,+                    ,              ,                         ,              ,                 ,                      ,                   ,+                  ,                 ,                ,                       ,                      ,                  ,            ,              ,                   ,                     ,+                      ,+                   ,+              ,                ,             ,                 ,+                 ,+                     ,                 ,+                       ,                     ,                 ,                    ,               ,+                 ,                 ,                ,                   ,+                             ,          ,+             ,              ,                             ,+                   ,               ,                           ,                 ,              ,                    ,+                ,                           ,                      ,                    ,                             ,                     ,              ,                  ,          ,             ,                       ,                   ,                ,+                       ,                       ,                       ,+                ,                   ,                        ,                     ,                   ,+                ,                   ,+                 ,                     ,+                          ,               ,                       ,                    ,                        ,+                ,                          ,                         ,                                 ,                ,             ,                 ,                   ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
