Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stylatractus universus,Stichocorys delmontensis,Prunopyle hayesi,Phormostichoartus crustula,Lychnocanoma nipponica magnacornuta,Gondwanaria dogieli,Eucyrtidium inflatum,Dictyophimus splendens,Diartus hughesi,Cyrtocapsella cornuta,Botryostrobus praetumidulus,Circodiscus ellipticus,Larcospira moschkovskii,Stauroxiphos communis,Spirema circularis,Lychnocanoma nipponica nipponica,Eucyrtidium calvertense,Collosphaera huxleyi,Anthocyrtidium ehrenbergi,Didymocyrtis antepenultima,Stichocorys peregrina,Botryostrobus bramlettei,Anthocyrtidium pliocenica,Sphaeropyle robusta,Stylodictya validispina,Botryocella cribrosa,Stylacontarium acquilonium,Lamprocyrtis neoheteroporos,Botryostrobus aquilonaris,Cyrtocapsella japonica,Cycladophora bicincta,Anthocyrtidium nosicaae,Lychnocanoma nipponica sakaii,Cycladophora davisiana davisiana,Sphaeropyle langii,Lamprocyrtis nigriniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,S. universus      ,              ,,167,1011,B,3,H,CC,17.00,27.7900,Caulet   ,Radiolarians                                 ,R              ,G                 ,                      ,                      ,                        ,                ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,                           ,                      ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,                       ,                    ,                          ,+                          ,+                        ,                      ,+                    ,                       ,                             ,+                               ,                  ,+                     ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Quaternary       ,S. langii (N Pac) ,E. matuyamai (N Pac),,167,1011,B,4,H,CC,25.00,37.1800,Caulet   ,Radiolarians                                 ,F              ,G                 ,                      ,                      ,                        ,                ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,                           ,                      ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,                       ,                    ,+                         ,                           ,+                        ,                      ,                     ,                       ,+                            ,+                               ,+                 ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Quaternary       ,S. langii (N Pac) ,E. matuyamai (N Pac),,167,1011,B,7,H,CC,22.00,65.7300,Caulet   ,Radiolarians                                 ,F              ,G                 ,                      ,                      ,                        ,                ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,                           ,                      ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,                       ,                    ,+                         ,                           ,+                        ,                      ,+                    ,                       ,+                            ,+                               ,                  ,                      ,from IR. Ch 5.Table 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Quaternary       ,S. langii (N Pac) ,E. matuyamai (N Pac),,167,1011,B,8,H,CC,22.00,75.1800,Caulet   ,Radiolarians                                 ,F              ,G                 ,                      ,                      ,                        ,                ,                          ,                                   ,                   ,                    ,                      ,               ,                     ,                           ,                      ,                       ,                     ,                  ,                                ,                       ,                    ,                         ,                          ,                     ,                        ,                         ,                   ,                       ,                    ,+                         ,+                          ,+                        ,                      ,                     ,                       ,                             ,                                ,                  ,                      ,from IR. Ch 5.Table 8.
