Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina bulloides,Globigerina quinqueloba,Globorotalia scitula,Neogloboquadrina asanoi,Orbulina universa,"Neogloboquadrina sp. ""rounded""",Neogloboquadrina humerosa,Globorotalia tumida,Globorotalia crassaformis,Globigerinoides ruber,Globigerinoides obliquus,Globorotalia puncticulata,Globorotalia inflata,Globigerina apertura,Sphaeroidinellopsis seminulina,Sphaeroidinella dehiscens,Hastigerina aequilateralis,Neogloboquadrina pachyderma (dextral),Globigerinoides sacculifer,Globorotalia crassula,Globigerina woodi,Neogloboquadrina pachyderma (sinistral),Globigerina umbilicata,Globigerinita glutinata,Globigerinoides conglobatus,Globorotalia tosaensis,Globorotaloides hexagona,Globigerinoides trilobus,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia hirsuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B,  1,H,CC,  18.00,      8.3600,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,F                    ,                       ,R                   ,                       ,A                ,                              ,                         ,                   ,                         ,C                    ,                        ,                         ,R                   ,                    ,                              ,                         ,                          ,A                                    ,                          ,                     ,                 ,                                       ,                      ,                       ,                           ,                      ,R                       ,                        ,A                         ,R                            ,R                   ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B,  2,H,CC,   6.00,     18.1700,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,                       ,R                   ,                       ,A                ,                              ,                         ,                   ,C                        ,                     ,                        ,                         ,C                   ,                    ,                              ,                         ,                          ,A                                    ,                          ,                     ,                 ,                                       ,                      ,R                      ,                           ,                      ,                        ,                        ,R                         ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B,  3,H,CC,  17.00,     27.7900,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,C                    ,                       ,                    ,                       ,R                ,                              ,                         ,                   ,                         ,R                    ,                        ,                         ,R                   ,                    ,                              ,                         ,                          ,A                                    ,                          ,                     ,R                ,                                       ,                      ,                       ,                           ,                      ,R                       ,R                       ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1011,B,  4,H,CC,  25.00,     37.1800,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                    ,                       ,R                   ,                       ,                 ,                              ,R                        ,                   ,R                        ,                     ,                        ,                         ,C                   ,                    ,                              ,                         ,R                         ,A                                    ,                          ,                     ,                 ,                                       ,                      ,                       ,                           ,R                     ,                        ,                        ,                          ,                             ,                    ,from IR. Ch 5. Tables 3 and 4.
