Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus	Coccolithus pelagicus	Calcidiscus macintyrei (>11 um)	Calcidiscus leptoporus	Amaurolithus spp.	Discoaster surculus	Sphenolithus spp.	Discoaster pentaradiatus	Helicosphaera carteri	Helicosphaera sellii	Pseudoemiliania lacunosa	Discoaster tamalis	Discoaster asymmetricus	Discoaster brouweri	Gephyrocapsa oceanica s.l.	Gephyrocapsa (small)	Emiliania huxleyi	Comment



  IR	                 	                 	CN14b             	CN15          	167	1022	C	  1	H	 1	  21.00	      0.2100	Fornaciari	Nannofossils                                 	R              	P                 	                                	C                    	                               	                      	                 	                   	                 	                        	                     	                    	                        	                  	                       	                   	+                         	+                   	R                	from IR. Ch 16. Table 5.

  IR	                 	                 	CN14a             	              	167	1022	C	  1	H	 1	  90.00	      0.9000	Fornaciari	Nannofossils                                 	C              	M/G               	                                	                     	                               	+                     	                 	                   	                 	                        	                     	                    	R/F                     	                  	                       	                   	C                         	A                   	                 	M/G subsituted for M/C in the preservation column. from IR. Ch 16. Table 5.

  IR	                 	                 	CN12              	CN13a         	167	1022	C	  1	H	CC	  19.00	      7.4100	Fornaciari	Nannofossils                                 	C              	M/G               	                                	                     	R                              	R/F                   	                 	                   	                 	                        	                     	C                   	C                       	                  	                       	                   	                          	                    	                 	M/G subsituted for M/C in the preservation column. from IR. Ch 16. Table 5.

  IR	                 	                 	CN12              	              	167	1022	C	  3	H	CC	  18.00	     26.8200	Fornaciari	Nannofossils                                 	C              	M                 	                                	F                    	R                              	F                     	                 	                   	                 	                        	                     	                    	C                       	                  	                       	RR                 	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12              	              	167	1022	C	  4	H	CC	  28.00	     36.1300	Fornaciari	Nannofossils                                 	R              	P                 	                                	                     	                               	R                     	                 	R                  	                 	                        	                     	                    	+                       	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12              	              	167	1022	C	  5	H	CC	  28.00	     45.1500	Fornaciari	Nannofossils                                 	C/A            	M/G               	                                	F                    	                               	R                     	                 	R                  	                 	                        	                     	                    	+                       	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12              	              	167	1022	C	  6	H	CC	  29.00	     55.5100	Fornaciari	Nannofossils                                 	A              	G                 	                                	+                    	                               	C                     	                 	R                  	                 	R                       	                     	                    	+                       	                  	                       	                   	                          	                    	                 	from IR. Ch 16. Table 5.

  IR	                 	                 	CN12              	              	167	1022	C	  7	H	CC	  22.00	     64.7900	Fornaciari	Nannofossils                                 	A              	G                 	                                	F                    	                               	                      	                 	F                  	                 	R                       	                     	                    	F                       	                  	                       	R                  	                          	                    	                 	from IR. Ch 16. Table 5.

