Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tristylospyris triceros	Thyrsocyrtis triacantha	Thyrsocyrtis rhizodon	Theocotylissa ficus	Sethochytris triconiscus	Sethochytris bablylonis	Podocyrtis trachodes	Podocyrtis mitra	Podocyrtis chalara	Lithocyclia ocellus	Eusyringium fistuligerum	Artophormis barbadensis	Theocyrtis tuberosa	Lithocyclia angusta	Artophormis gracilis	Staurolastrum sp.	Pterocanium (?) sp. A	Lophocyrtis pegetrum	Dorcadospyris sp.	Dorcadospyris simplex	Dorcadospyris forcipata	Dorcadospyris circulus	Dorcadospyris ateuchus	Theocyrtis annosa	Lychnocanoma sp. A	Orosphaerid ? sp.	Pterocanium sp. B	Pterocanium charybdeum trilobum	Lychnodictyum audax	Lamprocyclas maritalis maritalis	Didymocyrtis penultima	Didymocyrtis antepenultima	Diartus hughesi	Anthocyrtidium ehrenbergi	Stichocorys peregrina	Comment



  SR	                 	                 	D. antepenultima RN7	              	124	 770	B	  6	R	 1	   6.00	    244.1600	Scherer  	Radiolarians                                 	C              	G                 	                       	                       	                     	                   	                        	                       	                    	                	                  	                   	                        	                       	                   	                   	                    	                 	                     	                    	                 	                     	                       	                      	                      	                 	                  	                 	F                	R                              	F                  	                                	R                     	R                         	R              	C                        	F                    	from ODP Leg 124 SR Chapter 25 Table 2 p 348

  SR	                 	                 	D. antepenultima RN7	              	124	 770	B	  6	R	 2	   6.00	    245.6600	Scherer  	Radiolarians                                 	A              	G                 	                       	                       	                     	                   	                        	                       	                    	                	                  	                   	                        	                       	                   	                   	                    	                 	                     	                    	                 	                     	                       	                      	                      	                 	                  	                 	                 	                               	R                  	F                               	R                     	F                         	R              	C                        	F                    	from ODP Leg 124 SR Chapter 25 Table 2 p 348

  SR	                 	                 	D. antepenultima RN7	              	124	 770	B	  6	R	CC	  13.00	    246.2000	Scherer  	Radiolarians                                 	A              	G                 	                       	                       	                     	                   	                        	                       	                    	                	                  	                   	                        	                       	                   	                   	                    	                 	                     	                    	                 	                     	                       	                      	                      	                 	                  	                 	R                	R                              	R                  	F                               	R                     	F                         	F              	F                        	                     	from ODP Leg 124 SR Chapter 25 Table 2 p 348

  SR	                 	                 	D. ateuchus (RP21)	              	124	 770	B	 10	R	 3	 125.00	    363.5500	Scherer  	Radiolarians                                 	C              	M                 	F                      	                       	                     	                   	                        	                       	                    	                	                  	                   	                        	                       	                   	                   	                    	                 	                     	                    	C                	F                    	                       	                      	F                     	R                	F                 	R                	                 	                               	                   	                                	                      	                          	               	                         	                     	from ODP Leg 124 SR Chapter 25 Table 2 p 348

  SR	                 	                 	D. ateuchus (RP21)	              	124	 770	B	 10	R	CC	  10.00	    364.2500	Scherer  	Radiolarians                                 	C              	G                 	F                      	                       	                     	                   	                        	                       	                    	                	                  	                   	                        	                       	                   	                   	                    	                 	                     	                    	C                	F                    	R                      	F                     	C                     	                 	                  	R                	                 	                               	                   	                                	                      	                          	               	                         	                     	from ODP Leg 124 SR Chapter 25 Table 2 p 348

