Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ammonia beccarii	Cibicidoides spp.	Gyroidinoides umbonatus ex. gr.	Eggerella bradyi	Planulina wuellerstorfi	Uvigerinid taxa	Oridorsalis umbonatus	Nuttallides umbonifera	Eponides tumidulus	Epistominella exigua	Dentalina/Nodosaria spp.	Lagena taxa	Melonis pompilioides	Gyroidinoides spp.	Oolina spp.	Nonion barleeanum	Gyroidina soldanii	Eponides weddellensis	Bolivina spp.	Pullenia spp.	Pyrgo spp.	Textularia taxa	Pullenia bulloides	Pleurostomella spp.	Laticarinina pauperata	Cibicidoides bradyi	Anomalinoides spp.	Valvulineria laevigata	Valvulineria arctica	Tosaia hanzawai	Stilostomella sp.	Stetsonia horvathi	Pullenia subcarinata	Lenticulina sp.	Fursenkoina fusiformis	Fissurina spp.	Epistominella takayanagii	Dentalina spp.	Cassidulina subglobosa	Melonis nicobarense	Globocassidulina subglobosa	Cassidulina spp.	Buliminid taxa	Gyroidinoides  laevigatus ex. gr.	Hoeglundina elegans	Buliminella spp.	Bolivinid taxa	Karreriella bradyi	Rhizammina algaeformis	Lenticulina spp.	Florilus boueanus	Sphaeroidina bulloides	Cibicides robertsonianus	Chilostomella oolina	Heterolepa spp.	Ehrenbergina hystrix	Rosalina globularis	Hanzawaia boueana	Elphidium spp.	Miliolids species	Reussella spinulosa	Hyalina balthica	Karreriella sp.	Quinqueloculina seminulum	Praebulimina sp.	Patellina corrugata	Hyalinea balthica	Heterohelix spp.	Gavelinopsis translucens	Elphidium sp.	Ehrenbergina sp.	Discorbis sp.	Cassidulina laevigata	Buliminoides sp.	Bulimina marginata	Uvigerina peregrina	Lagena spp.	Nodosaria sp.	Reussella sp.	Nonionella spp.	Trifarina sp.	Guembelitria sp.	Stainforthia spp.	Plectofrondicularia spp.	Pararotalia spp.	Gyroidinoides altiformis	Cymbaloporetta sp.	Bolivinita quadrilatera	Frondicularia sp.	Gavelinopsis lobatulus	Astrononion sp.	Amphistegina sp.	Fursenkoina spp.	Glabratella sp.	Cyclogyra involvens	Spirillina vivipara	Laryngosigma spp.	Siphotextularia rolshauseni	Triloculina sp.	Pyrgo williamsoni	Karreriella novangliae	Bulimina striata	Robulus sp.	Quinqueloculina stalkeri	Hanzawaia mexicana	Rosalina sp. 	Robertinoides charlottensis	Pyramidina sp.	Oolina hexagona	Spiroloculina spp.	Uvigerina asperula	Haynesina spp.	Florilus spp.	Quinqueloculina cultrata	Comment



  SR	                 	                 	                  	              	116	 717	C	  3	X	CC	   0.00	     17.5000	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	2              	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	1               	              	                                 	                   	                	              	                  	                      	                	1                	                      	                        	                    	               	                    	                   	                 	              	1                	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	1               	                        	                  	                       	                 	                      	               	                	1               	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	  5	X	 1	   3.00	     36.5300	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	33                     	               	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	17                	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	17                    	              	                         	              	17                    	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	r17          	                        	No of species 5 No of individuals per 10 cubic cm - 6 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199

  SR	                 	                 	                  	              	116	 717	C	  5	X	 1	  11.00	     36.6100	Iaccarino	Benthic Foraminifers                         	               	                  	                	                 	                               	                	                       	1              	                     	                      	                  	                    	                        	           	                    	                  	           	                 	                  	                     	             	             	          	               	                  	                   	                      	                   	                  	                      	                    	               	                 	                  	                    	               	                      	              	                         	              	                      	                   	                           	2               	1             	                                 	                   	                	5             	                  	                      	                	1                	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	2              	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	6               	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	                        	from ODP Leg 116 SR Chapter 18 Table 2 p 218-221

  SR	                 	                 	                  	              	116	 717	C	  6	X	 1	   3.00	     46.0300	Scott    	Benthic Foraminifers                         	               	                  	                	                 	                               	                	2                      	               	2                    	25                    	                  	24                  	                        	           	                    	                  	           	                 	                  	16                   	             	             	          	               	2                 	                   	                      	                   	                  	                      	                    	               	                 	9                 	11                  	               	                      	              	                         	              	5                     	                   	                           	                	              	                                 	                   	                	              	                  	                      	                	                 	                      	                        	                    	               	                    	                   	                 	              	                 	                   	                	               	                         	                	                   	                 	                	                        	             	                	             	                     	                	                  	                   	           	             	             	               	             	                	                 	                        	                	                        	                  	                       	                 	                      	               	                	                	               	                   	                   	                 	                           	               	                 	                      	                	           	                        	                  	             	                           	              	               	                  	                  	              	             	4                       	No of species 10 No of individuals per 10 cubic cm - 55 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199
