Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia opima nana/continuosa transition,Globorotalia mayeri,Globigerina ciperoensis ciperoensis,Globigerina ciperoensis angulisuturalis,Catapsydrax dissimilis,Globorotaloides suteri,Globorotaloides spp.,Globorotalia opima nana,Globoquadrina venezuelana,Globigerina spp.,Globigerina ciperoensis angustiumbilicata,Globigerina praebulloides,Catapsydrax unicavus,Globigerina ciperoensis,Globigerina sellii,Catapsydrax spp.,Globoquadrina dehiscens dehiscens,Globoquadrina dehiscens praedehiscens,Globigerinoides trilobus/immaturus,Globigerinita naparimaensis,Catapsydrax stainforthi,Globorotalia fohsi peripheroronda,Globorotalia continuosa,Globoquadrina dehiscens,Globigerinoides spp.,Globigerinoides primordius,Cassigerinella chipolensis,Globorotalia acrostoma,Globoquadrina altispira altispira,Globigerina tripartita,Marginotruncana spp.,Globorotalia siakensis,Globoquadrina spp.,Globoquadrina baroemoenensis,Globigerinoides sacculifer,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis disjuncta,Globorotalia praescitula,Praeorbulina transitoria,Globorotalia spp.,Globorotalia miozea,Globigerinoides subquadratus,Globigerina woodi woodi,Globigerina druryi,Globigerina bulloides,Praeorbulina sicana,Globorotalia obesa,Globoquadrina altispira globosa,Globoquadrina altispira,Globigerinoides altiaperturus,Globorotalia scitula,Orbulina suturalis,Hedbergella spp.,Globorotalia scitula s.l.,Globigerina megastoma cariacoensis,Globorotalia mayeri (small),Globorotalia inflata,Globigerinoides ruber (white),Globigerina nepenthes (small),Globigerina falconensis,Globigerina decoraperta,Orbulina universa,Orbulina bilobata,Neogloboquadrina pachyderma,Neogloboquadrina dutertrei,Neogloboquadrina atlantica,Hastigerina siphonifera,Hastigerina aequilateralis,Globorotalia truncatulinoides,Globorotalia triangula,Globorotalia tosaensis,Globigerinoides obliquus obliquus,Globigerinoides elongatus/obliquus extremus,Beella digitata,Sphaeroidinella dehiscens,Neogloboquadrina acostaensis,Globigerinoides conglobatus,Globigerina calida,Beella praedigitata,Globorotalia crassaformis ronda,Globorotalia crassaformis crassaformis,Globorotalia crassaformis,Globorotalia tumida,Globorotalia menardii,Globigerina bermudezi,Pulleniatina primalis,Neogloboquadrina humerosa,Globorotalia cf. Gr. hirsuta,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Pulleniatina finalis,Pulleniatina obliquiloculata/inflata transition,Globorotalia hirsuta,Globigerinoides ruber (pink),Globigerinoides elongatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  2,H, 4,  59.00,     14.2900,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,                                         ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,R                                 ,                           ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,F                    ,                   ,                  ,                               ,                       ,                             ,                    ,                  ,                ,                         ,F                                 ,                           ,C                   ,F                            ,                             ,                       ,                       ,F                ,                 ,C                          ,R                         ,                          ,R                      ,R                         ,F                            ,C                     ,R                     ,                                 ,R                                          ,               ,                         ,F                           ,R                          ,                  ,R                  ,F                              ,                                      ,R                        ,R                  ,                     ,                     ,                     ,                         ,R                           ,                               ,                            ,                    ,                                               ,R                   ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  3,H, 4,  12.00,     23.3400,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,                                         ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,R                                 ,                           ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,F                    ,                   ,                  ,                               ,                       ,                             ,R                   ,R                 ,                ,                         ,                                  ,                           ,C                   ,F                            ,                             ,                       ,                       ,F                ,R                ,C                          ,R                         ,                          ,                       ,                          ,F                            ,F                     ,R                     ,                                 ,F                                          ,               ,                         ,F                           ,                           ,                  ,                   ,R                              ,F                                     ,F                        ,                   ,                     ,                     ,                     ,R                        ,                            ,                               ,                            ,                    ,                                               ,                    ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  3,H, 6, 114.00,     27.3600,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,                                         ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,                                  ,                           ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,F                    ,                   ,                  ,                               ,                       ,                             ,                    ,F                 ,                ,                         ,                                  ,                           ,C                   ,F                            ,                             ,                       ,                       ,C                ,R                ,C                          ,                          ,                          ,R                      ,R                         ,C                            ,C                     ,R                     ,R                                ,R                                          ,R              ,                         ,F                           ,R                          ,R                 ,                   ,F                              ,R                                     ,F                        ,                   ,                     ,                     ,                     ,R                        ,                            ,                               ,                            ,                    ,R                                              ,                    ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  4,H, 2, 132.00,     31.0200,Gervais  ,Planktonic Foraminifers                      ,A              ,G                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,                                         ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,                                  ,                           ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,C                    ,                   ,                  ,                               ,                       ,                             ,C                   ,R                 ,                ,                         ,F                                 ,                           ,C                   ,C                            ,                             ,                       ,                       ,C                ,R                ,C                          ,                          ,                          ,F                      ,F                         ,C                            ,C                     ,R                     ,F                                ,F                                          ,R              ,                         ,F                           ,R                          ,                  ,                   ,R                              ,R                                     ,R                        ,                   ,                     ,                     ,                     ,R                        ,R                           ,                               ,                            ,                    ,                                               ,                    ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,Holocene         ,N22               ,N23           ,149, 898,A,  4,H, 5,  92.00,     35.1200,Gervais  ,Planktonic Foraminifers                      ,A              ,M                 ,                                             ,                   ,                                   ,                                       ,                      ,                      ,                    ,                       ,                         ,                ,                                         ,                         ,                    ,                       ,                  ,                ,                                 ,                                     ,R                                 ,                           ,                       ,                                 ,                       ,                       ,                    ,                          ,                          ,                      ,                                 ,                      ,                    ,                      ,                  ,                            ,                          ,                              ,                             ,                        ,                        ,                 ,                   ,                            ,                       ,                  ,F                    ,                   ,                  ,                               ,                       ,                             ,                    ,                  ,                ,                         ,                                  ,                           ,C                   ,F                            ,                             ,                       ,                       ,F                ,                 ,C                          ,                          ,                          ,R                      ,R                         ,F                            ,C                     ,R                     ,R                                ,R                                          ,               ,                         ,R                           ,                           ,                  ,                   ,R                              ,R                                     ,R                        ,                   ,                     ,                     ,                     ,R                        ,R                           ,                               ,                            ,                    ,                                               ,                    ,                            ,                         ,from 149 SR. Chapter 6. Table 5. page 174.
