Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies	Reticulofenestra minutula	Reticulofenestra gelida	Discoaster variabilis	Coccolithus pelagicus	Calcidiscus leptoporus	Reticulofenestra pseudoumbilicus	Discoaster quinqueramus	Catinaster coalitus	Catinaster calyculus	Calcidiscus macintyrei	Helicosphaera sellii	Sphenolithus verensis	Reticulofenestra haqii	Discoaster pentaradiatus	Discoaster exilis	Discoaster bellus	Discoaster braarudii	Minylitha convallis	Discoaster berggrenii	Helicosphaera kamptneri	Discoaster bergenii	Dictyococcites antarcticus	Discoaster neohamatus	Discoaster intercalaris	Amaurolithus tricorniculatus	Discoaster triradiatus	Discoaster brouweri	Amaurolithus amplificus	Sphenolithus moriformis	Pontosphaera multipora	Comment



  IR	Early Pliocene   	Late Miocene     	                  	CN10          	186	1150	B	  1	R	CC	  18.00	    708.2200	Li       	Nannofossils                                 	R              	P                 	                  	                         	                       	                     	                     	                      	R                               	                       	                   	                    	                      	                    	                     	                      	                        	                 	                 	                    	                   	                     	                       	                   	                          	                     	                       	                            	                      	                   	                       	                       	                      	       

  IR	Early Pliocene   	Late Miocene     	                  	CN10          	186	1150	B	  3	R	CC	  15.00	    720.1100	Li       	Nannofossils                                 	F              	P                 	                  	R                        	F                      	                     	F                    	R                     	F                               	                       	                   	                    	R                     	                    	                     	R                     	                        	                 	                 	                    	                   	                     	                       	                   	                          	                     	                       	                            	                      	                   	                       	                       	                      	       

  IR	Early Pliocene   	Late Miocene     	                  	CN10          	186	1150	B	  5	R	CC	  11.00	    740.0700	Li       	Nannofossils                                 	R              	P                 	                  	                         	                       	                     	                     	                      	R                               	                       	                   	                    	                      	                    	                     	                      	                        	                 	                 	                    	                   	                     	                       	                   	                          	                     	                       	                            	                      	                   	                       	                       	                      	       

  IR	Early Pliocene   	Late Miocene     	                  	CN10          	186	1150	B	  6	R	CC	  15.00	    756.5400	Li       	Nannofossils                                 	C              	G                 	R                 	F                        	F                      	F                    	C                    	F                     	C                               	                       	                   	                    	C                     	                    	F                    	F                     	                        	                 	                 	                    	                   	                     	                       	                   	F                         	                     	F                      	                            	                      	                   	                       	                       	F                     	       

  IR	Early Pliocene   	Late Miocene     	                  	CN10          	186	1150	B	  7	R	 1	 143.00	    759.3300	Li       	Nannofossils                                 	F              	M                 	R                 	                         	                       	F                    	F                    	R                     	F                               	                       	                   	                    	F                     	                    	R                    	                      	                        	                 	                 	                    	                   	                     	                       	                   	F                         	                     	                       	                            	                      	                   	                       	                       	                      	       

  IR	Early Pliocene   	Late Miocene     	                  	CN10          	186	1150	B	  8	R	CC	  13.00	    770.0500	Li       	Nannofossils                                 	C              	M                 	                  	                         	F                      	R                    	C                    	F                     	                                	                       	                   	                    	F                     	F                   	cC                   	                      	                        	                 	                 	                    	                   	                     	                       	                   	C                         	                     	R                      	                            	                      	                   	                       	                       	                      	       

