Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerina bulloides	Neogloboquadrina atlantica (sinistral)	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina atlantica (dextral)	Turborotalita quinqueloba	Neogloboquadrina pachyderma (dextral)	Globigerinita glutinata	Incertae sedis (planktonic foraminifer)	Globigerina quinqueloba	Comment



  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 986	D	 16	R	CC	   9.00	    541.4800	Flower   	Planktonic Foraminifers                      	R              	G                 	                     	                                      	A                                      	                                    	                         	A                                    	                       	                                       	R                      	from 162SR.Ch 2.Table 10.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 986	D	 17	R	CC	  15.00	    546.5700	Flower   	Planktonic Foraminifers                      	R              	G                 	R                    	                                      	D                                      	                                    	                         	                                     	                       	                                       	                       	from 162SR.Ch 2.Table 10.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 28	R	 1	  32.00	    647.7200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 28	R	 2	  32.00	    649.2200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	R                                     	R                                      	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 28	R	 3	  32.00	    650.7200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 28	R	 5	  32.00	    653.7200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	F                                     	                                       	R                                   	                         	                                     	R                      	R                                      	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 28	R	 6	  31.00	    655.2100	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	F                                     	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 29	R	 1	  32.00	    657.2200	Eidvin   	Planktonic Foraminifers                      	               	                  	F                    	F                                     	                                       	                                    	R                        	                                     	                       	R                                      	                       	from 162SR. Chapter 1. Figure 3.

  IR	                 	Late Pliocene    	                  	N. atlantica (sin.)	162	 986	D	 29	R	 2	  32.00	    658.7200	Eidvin   	Planktonic Foraminifers                      	               	                  	R                    	                                      	                                       	                                    	                         	                                     	                       	                                       	                       	from 162SR. Chapter 1. Figure 3.

