Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema schraderi	Sponge spicules	Denticulopsis hyalina	Denticulopsis hustedtii	Coscinodiscus sp.	Coscinodiscus marginatus	Actinocyclus ingens	Coscinodiscus marginatus f. fossilis	Thalassionema nitzschioides	Actinocyclus tsugaruensis	Synedra sp.	Actinocyclus ingens  var. nodus	Stephanopyxis turris	Denticulopsis lauta s.l.	Thalassiothrix longissima	Synedra jouseana	Hemiaulus polymorphus	Denticulopsis lauta	Crucidenticula nicobarica	Actinocyclus oculatus	Neodenticula seminae	Comment



  IR	                 	                 	                  	              	167	1013	A	  1	H	CC	  26.00	      5.0600	Maruyama 	Diatoms                                      	T              	P                 	                       	+              	                     	                       	                 	                        	                   	                                    	+                          	                         	           	                               	                    	                        	                         	                	                     	                   	                         	                     	+                   	diatom fragments present. From IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	  3	H	CC	  35.00	     24.7300	Maruyama 	Diatoms                                      	T              	P                 	                       	+              	+                    	+                      	                 	                        	                   	                                    	                           	                         	           	                               	                    	                        	                         	                	                     	                   	                         	                     	                    	diatom fragments present. From IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	  5	H	CC	  22.00	     43.4500	Maruyama 	Diatoms                                      	C              	P/M               	                       	               	+                    	                       	                 	+                       	                   	                                    	                           	                         	           	                               	+                   	                        	+                        	+               	+                    	+                  	+                        	+                    	                    	from IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	  6	H	CC	  75.00	     52.9900	Maruyama 	Diatoms                                      	T              	P                 	                       	+              	                     	+                      	                 	                        	+                  	                                    	+                          	                         	           	+                              	                    	                        	                         	                	                     	                   	                         	                     	                    	diatom fragments present. From IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	  7	H	CC	  21.00	     62.5300	Maruyama 	Diatoms                                      	T              	P                 	                       	+              	                     	                       	                 	                        	+                  	                                    	                           	                         	           	                               	                    	+                       	                         	                	                     	                   	                         	                     	                    	diatom fragments present. From IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	  8	H	CC	  23.00	     71.9900	Maruyama 	Diatoms                                      	T              	P                 	                       	+              	+                    	                       	                 	                        	+                  	                                    	                           	                         	           	                               	                    	                        	                         	                	                     	                   	                         	                     	                    	diatom fragments present. From IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	  9	H	CC	  58.00	     82.0800	Maruyama 	Diatoms                                      	T              	P                 	                       	+              	                     	                       	                 	+                       	                   	                                    	+                          	                         	           	                               	                    	                        	                         	                	                     	                   	                         	                     	                    	diatom fragments present. From IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	 10	H	CC	  30.00	     90.3800	Maruyama 	Diatoms                                      	T              	P                 	                       	+              	                     	                       	                 	                        	+                  	                                    	                           	                         	           	                               	+                   	                        	                         	                	                     	                   	                         	                     	                    	from IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	 11	X	CC	  13.00	     94.7800	Maruyama 	Diatoms                                      	R              	P/M               	                       	+              	                     	                       	                 	+                       	+                  	                                    	                           	                         	           	                               	                    	                        	                         	                	                     	                   	                         	                     	                    	diatom fragments present. From IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	 12	X	CC	  12.00	    102.8800	Maruyama 	Diatoms                                      	T              	P                 	                       	+              	+                    	                       	                 	+                       	                   	                                    	                           	                         	           	                               	                    	                        	                         	                	                     	                   	                         	                     	                    	from IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	 13	X	CC	  23.00	    116.6500	Maruyama 	Diatoms                                      	R              	P                 	                       	+              	+                    	                       	                 	+                       	+                  	                                    	                           	                         	+          	+                              	                    	                        	                         	                	                     	                   	                         	                     	                    	diatom fragments present. From IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	 14	X	CC	  20.00	    126.9100	Maruyama 	Diatoms                                      	F              	P                 	                       	+              	                     	                       	                 	+                       	+                  	+                                   	+                          	+                        	           	                               	                    	                        	                         	                	                     	                   	                         	                     	                    	from IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	 15	X	CC	  16.00	    135.8400	Maruyama 	Diatoms                                      	R              	P                 	                       	C              	+                    	                       	                 	+                       	                   	+                                   	                           	                         	           	                               	                    	                        	                         	                	                     	                   	                         	                     	                    	from IR. Ch 7. Table 5.

  IR	                 	                 	                  	              	167	1013	A	 16	X	CC	  56.00	    145.4300	Maruyama 	Diatoms                                      	R              	P                 	+                      	C              	+                    	+                      	+                	+                       	+                  	                                    	                           	                         	           	                               	                    	                        	                         	                	                     	                   	                         	                     	                    	from IR. Ch 7. Table 5.

