Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina asanoi	Globorotalia tumida	Globorotalia puncticulata	Globorotalia inflata	Globigerina bulloides	Sphaeroidinella dehiscens	Neogloboquadrina sp. "rounded"	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Globorotalia crassaformis	Globigerinoides ruber	Globigerina quinqueloba	Globigerina apertura	Globorotaloides hexagona	Globorotalia hirsuta	Neogloboquadrina dutertrei	Globigerinita glutinata	Globorotalia scitula	Comment



  IR	                 	                 	N22               	N23           	167	1013	A	  1	H	CC	  26.00	      5.0600	Kennett  	Planktonic Foraminifers                      	A              	G                 	C                	                       	                   	                         	                    	A                    	                         	                              	A                                      	                                     	                         	                     	A                      	                    	R                       	                    	                          	                       	R                   	from IR. Ch 7. Table 3.

  IR	                 	                 	N22               	N23           	167	1013	A	  3	H	CC	  35.00	     24.7300	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                       	                   	                         	R                   	A                    	                         	                              	A                                      	                                     	                         	                     	                       	                    	                        	                    	                          	                       	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N22               	N23           	167	1013	A	  5	H	CC	  22.00	     43.4500	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                       	                   	                         	                    	A                    	                         	                              	A                                      	                                     	                         	                     	                       	                    	                        	R                   	                          	R                      	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N22               	N23           	167	1013	A	  6	H	CC	  75.00	     52.9900	Kennett  	Planktonic Foraminifers                      	A              	G                 	F                	                       	                   	                         	F                   	A                    	                         	                              	                                       	A                                    	                         	R                    	A                      	                    	                        	                    	                          	F                      	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N22               	N23           	167	1013	A	  7	H	CC	  21.00	     62.5300	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	                       	                   	                         	F                   	A                    	                         	                              	A                                      	A                                    	F                        	                     	A                      	                    	                        	F                   	A                         	                       	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N22               	N23           	167	1013	A	  8	H	CC	  23.00	     71.9900	Kennett  	Planktonic Foraminifers                      	A              	G                 	F                	                       	                   	                         	                    	A                    	                         	                              	A                                      	                                     	F                        	                     	                       	                    	                        	F                   	                          	                       	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N22               	N23           	167	1013	A	  9	H	CC	  58.00	     82.0800	Kennett  	Planktonic Foraminifers                      	A              	M                 	C                	                       	                   	                         	A                   	A                    	                         	                              	A                                      	                                     	F                        	R                    	                       	                    	R                       	                    	                          	                       	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N21               	              	167	1013	A	 10	H	CC	  30.00	     90.3800	Kennett  	Planktonic Foraminifers                      	R              	M                 	                 	                       	                   	                         	                    	R                    	                         	                              	                                       	R                                    	                         	                     	                       	                    	                        	                    	                          	                       	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N21               	              	167	1013	A	 11	X	CC	  13.00	     94.7800	Kennett  	Planktonic Foraminifers                      	C              	M                 	                 	                       	                   	                         	                    	A                    	                         	                              	A                                      	F                                    	                         	                     	A                      	R                   	                        	                    	                          	                       	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N21               	              	167	1013	A	 12	X	CC	  12.00	    102.8800	Kennett  	Planktonic Foraminifers                      	C              	M                 	R                	A                      	                   	                         	                    	A                    	                         	                              	A                                      	                                     	                         	                     	C                      	                    	                        	                    	                          	                       	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N21               	              	167	1013	A	 13	X	CC	  23.00	    116.6500	Kennett  	Planktonic Foraminifers                      	A              	G                 	                 	A                      	                   	                         	                    	A                    	                         	                              	A                                      	                                     	R                        	R                    	C                      	R                   	                        	                    	                          	                       	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N21               	              	167	1013	A	 14	X	CC	  20.00	    126.9100	Kennett  	Planktonic Foraminifers                      	A              	M                 	                 	A                      	                   	                         	                    	A                    	                         	A                             	                                       	                                     	                         	                     	                       	                    	                        	                    	                          	                       	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N21               	              	167	1013	A	 15	X	CC	  16.00	    135.8400	Kennett  	Planktonic Foraminifers                      	C              	M                 	                 	A                      	                   	                         	                    	A                    	R                        	F                             	F                                      	A                                    	                         	                     	                       	                    	                        	                    	                          	                       	                    	from IR. Ch 7. Table 3.

  IR	                 	                 	N21               	              	167	1013	A	 16	X	CC	  56.00	    145.4300	Kennett  	Planktonic Foraminifers                      	F              	M                 	R                	A                      	F                  	F                        	F                   	A                    	                         	                              	                                       	                                     	                         	                     	                       	                    	                        	                    	                          	                       	                    	from IR. Ch 7. Table 3.

