leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
77,540,,UPPER PLEISTOCENE,,0.0,4.5,,NO AGE GIVEN,,NO AGE GIVEN, 0.01,  0.7,0.355,DSDP INITIAL REPORTS
77,540,,UPPER MIOCENE,,4.5,42.5,,NO AGE GIVEN,,NO AGE GIVEN,    5, 10.5, 7.75,DSDP INITIAL REPORTS
77,540,,MIDDLE MIOCENE,,42.5,52.3,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
77,540,,UPPER OLIGOCENE,,52.3,204.0,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
77,540,,LOWER OLIGOCENE,,204.0,224.2,,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
77,540,,UPPER EOCENE,,224.2,242.9,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
77,540,,MIDDLE EOCENE,,242.9,261.0,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
77,540,,UPPER EOCENE,MIDDLE EOCENE,261.0,262.4,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 37.5,   49,43.25,DSDP INITIAL REPORTS
77,540,,LOWER EOCENE,,262.4,270.5,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
77,540,,UPPER PALEOCENE,,270.5,272.5,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
77,540,,UPPER PALEOCENE,LOWER PALEOCENE,272.5,280.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 53.5,   65,59.25,DSDP INITIAL REPORTS
77,540,,UPPER CENOMANIAN,,289.5,308.5,,NO AGE GIVEN,,NO AGE GIVEN,   92,   95, 93.5,DSDP INITIAL REPORTS
77,540,,LOWER CENOMANIAN,,327.5,375.0,,NO AGE GIVEN,,NO AGE GIVEN, 97.5,  100,98.75,DSDP INITIAL REPORTS
77,540,,UPPER ALBIAN,,375.0,660.0,,NO AGE GIVEN,,NO AGE GIVEN,  100,  104,  102,DSDP INITIAL REPORTS
77,540,,MIDDLE ALBIAN,,660.0,745.5,,NO AGE GIVEN,,NO AGE GIVEN,  104,  106,  105,DSDP INITIAL REPORTS
