Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ventilabrella multicamerata,Rugoglobigerina rugosa,Rugoglobigerina rotundata,Rugoglobigerina pennyi,Rugoglobigerina hexacamerata,Racemiguembelina fructicosa,Pseudotextularia elegans,Pseudoguembelina hariaensis,Pseudoguembelina excolata,Pseudoguembelina costulata,Heterohelix rajagopalani,Heterohelix globulosa,Heterohelix dentata,Globotruncanita stuartiformis,Globotruncanita stuarti,Globotruncanita conica,Globotruncanella petaloidea,Globotruncanella havanensis,Globotruncana rosetta,Globotruncana orientalis,Globotruncana linneiana,Globotruncana arca,Contusotruncana walfischensis,Contusotruncana contusa,Abathomphalus mayaroensis,Abathomphalus intermedius,Pseudotextularia nuttalli,Praemurica uncinata,Praemurica inconstans,Parasubbotina pseudobulloides,Morozovella praeangulata,Morozovella conicotruncata,Morozovella angulata,Igorina pusilla,Morozovella velascoensis,Morozovella pasionensis,Igorina albeari,Globanomalina pseudomenardii,Subbotina velascoensis,Morozovella subbotinae,Morozovella occlusa,Morozovella apanthesma,Morozovella aequa,Acarinina nitida,Acarinina mckannai,Globanomalina australiformis,Acarinina soldadoensis,Acarinina coalingensis,Morozovella gracilis,Morozovella formosa,Morozovella aragonensis,Acarinina primitiva,Morozovella spinulosa,Igorina broedermanni,Acarinina pentacamerata,Morozovella caucasica,Globigerinatheka subconglobata,Globigerinatheka senni,Acarinina quetra,Truncorotaloides rohri,Acarinina bullbrooki,Hantkenina sp.,Guembelitrioides higginsi,Globigerinatheka mexicana,Subbotina angiporoides,Globigerina euapertura,Catapsydrax unicavus,Pseudohastigerina naguewichiensis,Pseudohastigerina micra,Globigerina angustiumbilicata,Catapsydrax dissimilis,Cassigerinella chipolensis,Sphaeroidinellopsis seminulina,Orbulina universa,Globoturborotalita druryi,Globorotalia scitula,Globorotalia miozea,Globoquadrina venezuelana,Globoquadrina dehiscens,Fohsella peripheroronda,Fohsella peripheroacuta,Dentoglobigerina altispira,Orbulina bilobata,Globoturborotalita woodi,Globoturborotalita nepenthes,Globoturborotalita decoraperta,Neogloboquadrina continuosa,Globorotalia plesiotumida,Globorotalia menardii,Globigerina bulloides,Neogloboquadrina acostaensis,Globorotalia tumida,Globorotalia margaritae,Globigerinoides sacculifer,Sphaeroidinella dehiscens s.l.,Globorotalia puncticulata,Globorotalia hirsuta,Globorotalia challengeri,Globoconella conomiozea,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Globigerinoides trilobus,Globigerinoides conglobatus,Truncorotalia tosaensis,Truncorotalia crassaformis,Globorotalia crassula,Globigerinoides obliquus,Globigerinoides extremus,Globorotalia inflata,Globigerinoides ruber,Truncorotalia truncatulinoides,Pulleniatina primalis,Pulleniatina obliquiloculata,Orbulina suturalis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1210,A,  1,H,CC,  20.00,      5.8500,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,F                ,                         ,R                   ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,R                    ,A                    ,                            ,                   ,                       ,F                         ,                              ,                         ,F                   ,                        ,                       ,F                                    ,F                        ,F                         ,F                       ,F                          ,                       ,                          ,                     ,                        ,                        ,A                   ,F                    ,R                             ,                     ,                            ,F                 ,slightly dissolved and rads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1210,A,  2,H,CC,  10.00,     15.5900,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,F                ,                         ,F                   ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,F                    ,A                    ,                            ,F                  ,                       ,R                         ,R                             ,                         ,                    ,                        ,                       ,R                                    ,R                        ,F                         ,R                       ,R                          ,F                      ,F                         ,                     ,                        ,                        ,A                   ,                     ,R                             ,                     ,                            ,                  ,"rads F, slighly dissolved"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1210,A,  3,H,CC,  32.00,     25.4100,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,F                ,                         ,F                   ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,F                    ,A                    ,                            ,F                  ,                       ,                          ,F                             ,                         ,                    ,                        ,                       ,                                     ,                         ,                          ,                        ,                           ,F                      ,F                         ,                     ,                        ,                        ,A                   ,F                    ,F                             ,F                    ,F                           ,                  ,"fragmented, rads"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1210,A,  4,H,CC,  26.00,     34.7700,planks   ,Planktonic Foraminifers                      ,C              ,M                 ,                           ,                      ,                         ,                      ,                            ,                           ,                        ,                           ,                         ,                          ,                        ,                     ,                   ,                             ,                       ,                      ,                           ,                           ,                     ,                        ,                       ,                  ,                             ,                       ,                         ,                         ,                         ,                   ,                     ,                             ,                        ,                          ,                    ,               ,                        ,                       ,               ,                            ,                      ,                      ,                   ,                      ,                 ,                ,                  ,                            ,                      ,                      ,                    ,                   ,                       ,                   ,                     ,                    ,                       ,                     ,                              ,                      ,                ,                      ,                    ,              ,                         ,                         ,                      ,                      ,                    ,                                 ,                       ,                             ,                      ,                          ,                              ,F                ,                         ,                    ,                   ,                         ,                       ,                       ,                       ,                          ,                 ,                        ,                            ,                              ,                           ,                         ,R                    ,F                    ,                            ,F                  ,                       ,F                         ,F                             ,                         ,                    ,                        ,                       ,F                                    ,F                        ,F                         ,                        ,+                          ,F                      ,F                         ,                     ,+                       ,+                       ,A                   ,F                    ,F                             ,                     ,                            ,                  ,"rad F, slighlty dissolved"
