Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiroplectammina jarvisi,Sliterella lobulata,Pyramidina szajnochae,Pleurostomella spp.,Osangularia plummerae,Oridorsalis umbonatus,Nuttallides truempyi,Nonion spp.,Dentalina spp.,Buliminella grata,Bulimina spp.,Aragonia velascoensis,Aragonia ouezzanensis,Tritaxa spp.,Pyramidina rudita,Pullenia jarvisi,Pseudoclavulina globulifera,Marssonella trochoides,Lenticulina spp.,Gyroidinoides globosa,Conorbinoides hillebrandti,Stilostomella spp.,Stensioina beccariiformis,Bulimina velascoensis,Bulimina trinitatensis,Serovaina spissiformis,Nonion havanensis,Neoflabellina semireticulata,Turrilina robertsi,Clinapertina complanata,Quadratobuliminella pyramidalis,Nodosaria spp.,Gaudryina pyramidata,Bulimina semicostata,Bulimina jarvisi,Cibicidoides eocaenus,Bathysiphon spp.,Stilostomella gracillima,Cibicidoides spp.,Bulimina impendens,Alabamina dissonata,Vulvulina spinosa,Stilostomella subspinosa,Pullenia quinqueloba,Plectofrondicularia paucicostata,Oridorsalis tener,Gyroidinoides spp.,Cibicidoides havanensis,Anomalinoides spp.,Uvigerina spinicostata,Pullenia bulloides,Globocassidulina subglobosa,Cibicidoides subhaidingeri,Bulimina elongata,Stilostomella abyssorum,Karreriella bradyi,Gyroidinoides neosoldanii,Gyroidinoides girardanus,Cibicidoides renzi,Chrysalogonium tenuicostatum,Chrysalogonium longicostatum,Anomalinoides semicribratus,Cibicidoides robertsonianus,Cibicidoides mundulus,Cibicidoides dutemplei,Quinqueloculina sp.,Pyrgo murrhina,Pyrgo lucernula,Martinottiella sp.,Cibicidoides wuellerstorfi,Sigmoilopsis schlumbergeri,Haplophragmoides spp.,Eggerella bradyi,Uvigerina hispidocostata,Uvigerina hispida,Uvigerina spp.,Uvigerina senticosa,Uvigerina peregrina,Melonis pompilioides,Eponides regularis,Brizalina barbata,Cibicidoides bradyi,Oridorsalis tenera,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A,  1,H,CC,  20.00,      5.8500,benthics ,Benthic Foraminifers                         ,R              ,G                 ,                        ,                   ,                     ,                   ,                     ,                     ,                    ,           ,              ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,                  ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,                 ,T                 ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,T                    ,                      ,                   ,R             ,               ,                  ,F                         ,                          ,                     ,                ,R                       ,R                ,              ,T                  ,T                  ,                    ,                  ,                 ,                   ,R                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A,  3,H,CC,  32.00,     25.4100,benthics ,Benthic Foraminifers                         ,R              ,G                 ,                        ,                   ,                     ,                   ,                     ,                     ,                    ,           ,T             ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,                  ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,                    ,                                ,C                ,                  ,                       ,                  ,                      ,R                 ,                           ,                          ,                 ,                       ,                  ,                         ,                        ,                  ,                            ,                            ,                           ,                           ,T                    ,                      ,                   ,R             ,               ,T                 ,T                         ,                          ,                     ,                ,                        ,T                ,              ,                   ,T                  ,                    ,                  ,                 ,R                  ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A,  5,H,CC,  23.00,     44.2400,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                        ,                   ,+                    ,                   ,                     ,                     ,                    ,T          ,              ,                 ,             ,                     ,                     ,            ,+                ,                ,                           ,                      ,                ,                     ,                          ,                  ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,T                   ,                                ,R                ,                  ,                       ,                  ,                      ,R                 ,                           ,                          ,                 ,                       ,T                 ,                         ,T                       ,                  ,                            ,                            ,                           ,                           ,                     ,                      ,                   ,R             ,T              ,                  ,C                         ,                          ,                     ,F               ,C                       ,                 ,T             ,R                  ,T                  ,F                   ,R                 ,T                ,                   ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1210,A,  8,H,CC,  23.00,     72.9300,benthics ,Benthic Foraminifers                         ,R              ,G                 ,                        ,                   ,                     ,                   ,                     ,                     ,                    ,           ,R             ,                 ,             ,                     ,                     ,            ,                 ,                ,                           ,                      ,                ,                     ,                          ,                  ,                         ,                     ,                      ,                      ,                 ,                            ,                  ,                       ,                               ,              ,                    ,                    ,                ,                     ,                ,                        ,                 ,                  ,                   ,                 ,                        ,T                   ,                                ,R                ,                  ,                       ,                  ,                      ,                  ,                           ,                          ,                 ,                       ,T                 ,T                        ,T                       ,                  ,                            ,                            ,                           ,R                          ,F                    ,                      ,T                  ,R             ,T              ,T                 ,                          ,+                         ,                     ,R               ,T                       ,T                ,              ,                   ,                   ,                    ,                  ,                 ,                   ,                  ,       
