Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus	Coccolithus pelagicus	Calcidiscus macintyrei (>11 um)	Discoaster pentaradiatus	Discoaster brouweri	Sphenolithus spp.	Amaurolithus spp.	Discoaster surculus	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Gephyrocapsa (small)	Helicosphaera sellii	Helicosphaera carteri	Gephyrocapsa oceanica s.l.	Gephyrocapsa sp. 3	Emiliania huxleyi	Comment



  IR	                 	                 	CN15              	              	167	1021	C	  1	H	CC	  10.00	      2.5500	Fornaciari	Nannofossils                                 	F/C            	M                 	                                	                     	                               	                        	                   	                 	                 	                   	                      	                        	+                   	                    	                     	C                         	                  	+                	from IR. Ch 15. Table 4.

  IR	                 	                 	CN14b             	CN15          	167	1021	C	  2	H	CC	  17.00	     12.5300	Fornaciari	Nannofossils                                 	R              	P                 	                                	+                    	                               	                        	                   	                 	                 	                   	F                     	                        	R                   	                    	                     	RR                        	RR                	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	CN14a             	              	167	1021	C	  4	H	CC	  24.00	     31.4600	Fornaciari	Nannofossils                                 	RR             	P                 	                                	                     	                               	                        	                   	                 	                 	                   	                      	RR                      	                    	                    	                     	                          	                  	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	CN13b             	              	167	1021	C	  5	H	CC	  19.00	     41.1200	Fornaciari	Nannofossils                                 	R              	P                 	                                	                     	                               	                        	                   	                 	                 	                   	R                     	R                       	R                   	                    	                     	R                         	                  	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	CN13a             	              	167	1021	C	  6	H	CC	  19.00	     50.5300	Fornaciari	Nannofossils                                 	C              	M                 	                                	R                    	                               	                        	                   	                 	                 	                   	F/C                   	C                       	                    	R                   	R                    	                          	                  	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	CN12              	CN13a         	167	1021	C	  7	H	CC	  25.00	     59.8800	Fornaciari	Nannofossils                                 	C              	P                 	                                	R                    	R                              	                        	                   	                 	                 	                   	C                     	C                       	                    	                    	                     	                          	                  	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	CN12              	CN13a         	167	1021	C	  8	H	CC	  18.00	     69.2800	Fornaciari	Nannofossils                                 	RR             	P                 	                                	+                    	                               	                        	                   	                 	                 	                   	                      	                        	+                   	                    	                     	                          	                  	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	CN12              	              	167	1021	C	  9	H	CC	  19.00	     78.7600	Fornaciari	Nannofossils                                 	R/F            	P                 	                                	                     	                               	                        	R                  	                 	                 	R                  	                      	R                       	                    	                    	                     	                          	                  	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	CN12              	              	167	1021	C	 10	H	CC	  19.00	     88.4700	Fornaciari	Nannofossils                                 	A              	G                 	                                	F                    	                               	F                       	R                  	                 	                 	C                  	R                     	R                       	                    	                    	                     	                          	                  	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	CN12              	              	167	1021	C	 11	H	CC	  17.00	     98.0000	Fornaciari	Nannofossils                                 	A              	G                 	                                	F                    	R                              	+                       	                   	                 	                 	F                  	F                     	+                       	                    	                    	                     	                          	                  	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	CN12              	              	167	1021	C	 12	H	CC	  18.00	    107.5700	Fornaciari	Nannofossils                                 	RR             	P                 	                                	                     	                               	                        	                   	                 	                 	                   	                      	R                       	                    	                    	                     	                          	                  	                 	questionable zonal assignment. from IR. Ch 15. Table 4.

  IR	                 	                 	CN12              	              	167	1021	C	 13	H	CC	  20.00	    116.9300	Fornaciari	Nannofossils                                 	F/C            	P                 	RR                              	R                    	R/F                            	                        	                   	                 	RR               	F                  	F                     	                        	                    	                    	                     	                          	                  	                 	questionable zonal assignment. from IR. Ch 15. Table 4.

  IR	                 	                 	CN11              	              	167	1021	C	 14	H	CC	  18.00	    126.4400	Fornaciari	Nannofossils                                 	A              	M/G               	C                               	+                    	C                              	C                       	                   	+                	RR               	                   	                      	                        	                    	                    	                     	                          	                  	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	CN11              	              	167	1021	C	 16	H	CC	  24.00	    145.5400	Fornaciari	Nannofossils                                 	R              	P                 	                                	                     	R                              	R                       	+                  	                 	                 	                   	                      	                        	                    	                    	                     	                          	                  	                 	questionable zonal assignment. from IR. Ch 15. Table 4.

  IR	                 	                 	                  	              	167	1021	C	 17	H	CC	  20.00	    154.7100	Fornaciari	Nannofossils                                 	RR             	P                 	                                	R                    	R                              	                        	                   	                 	                 	                   	                      	                        	                    	                    	                     	                          	                  	                 	from IR. Ch 15. Table 4.

  IR	                 	                 	                  	              	167	1021	C	 18	H	CC	  21.00	    164.4200	Fornaciari	Nannofossils                                 	RR             	P                 	R                               	                     	                               	                        	                   	                 	                 	                   	                      	                        	                    	                    	                     	                          	                  	                 	from IR. Ch 15. Table 4.

