Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira torokina,Thalassiosira symbolophora,Thalassiosira eccentrica,Thalassiosira burckliana,Thalassionema nitzschioides,Rhizosolenia styliformis,Rhizosolenia hebetata,Rhizosolenia barboi,Paralia sulcata,Nitzschia donahuensis,Coscinodiscus marginatus,Actinocyclus ingens,Thalassiosira nativa,Thalassionema nitzschioides  var. parva,Hemidiscus cuneiformis,Denticulopsis hustedtii,Stellarima (all generic taxa),Rouxia naviculoides,Nitzschia reinholdii,Nitzschia porteri,Nitzschia marina,Nitzschia cylindrus,Hemidiscus karstenii,Cosmiodiscus intersectus,Actinocyclus fryxellae,Nitzschia fossilis,Rouxia californica,Nitzschia miocenica,Ethmodiscus sp.,Thalassiosira miocenica,Stephanogonia hanzawae,Cosmiodiscus insignis,Thalassiosira praeconvexa,Thalassiosira convexa,Rouxia heteropolara,Thalassiosira praeoestrupii,Thalassiosira oestrupii,Stephanopyxis turris,Eucampia antarctica,Thalassiosira jacksonii,Thalassiosira inura,Nitzschia praeinterfrigidaria,Nitzschia panduriformis,Nitzschia barronii,Thalassiosira lentiginosa,Nitzschia interfrigidaria,Nitzschia weaveri,Thalassiosira kolbei,Nitzschia kerguelenis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  1,H, 1,  57.00,      0.5700,Baldauf  ,Diatoms                                      ,A              ,G                 ,A                        ,                      ,R                         ,R                       ,                        ,F                          ,                        ,                     ,                   ,F              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,                   ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,F                      ,R                   ,C                  ,                       ,R                  ,                             ,R                      ,F                 ,C                        ,                         ,                 ,                    ,A                    ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  1,H, 2,  57.00,      2.0700,Baldauf  ,Diatoms                                      ,A              ,M                 ,C                        ,                      ,R                         ,                        ,                        ,C                          ,R                       ,                     ,                   ,C              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,                   ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,R              ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,C                      ,                    ,                   ,                       ,R                  ,F                            ,R                      ,F                 ,                         ,R                        ,F                ,                    ,C                    ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  1,H,CC,  15.00,      4.8100,Baldauf  ,Diatoms                                      ,A              ,M                 ,C                        ,R                     ,R                         ,R                       ,                        ,C                          ,R                       ,                     ,                   ,F              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,R                  ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,F                      ,                    ,                   ,R                      ,R                  ,F                            ,                       ,C                 ,                         ,F                        ,R                ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,119, 737,A,  2,H, 2,  57.00,      7.0700,Baldauf  ,Diatoms                                      ,A              ,M                 ,C                        ,                      ,R                         ,R                       ,                        ,C                          ,F                       ,                     ,                   ,C              ,                     ,                        ,                   ,                    ,                                       ,                      ,                       ,                             ,F                  ,                    ,                 ,                ,                   ,                    ,                        ,                      ,                  ,                  ,                   ,               ,                       ,                      ,                     ,                         ,                     ,                   ,                           ,F                      ,R                   ,                   ,R                      ,                   ,R                            ,                       ,F                 ,R                        ,F                        ,R                ,                    ,                     ,from 119 SR Chapter 29 Table 5 pages 562 - 563.
