Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygodiscus diplogrammus	Watznaueria pseudomanivitae	Watznaueria communis	Watznaueria barnesae	Tranolithus manifestus	Tranolithus exiguus	Quadrum trifidum	Quadrum sissinghii	Quadrum gothicum	Quadrum gartneri	Prediscosphaera cretacea	Parhabdolithus angustus	Micula decussata	Microrhabdulus decoratus	Manivitella pemmatoidea	Lithraphidites carniolensis	Eiffellithus turriseiffelii	Cribrosphaerella ehrenbergii	Cretarhabdus surirellus	Cretarhabdus striatus	Cretarhabdus crenulatus	Cretarhabdus coronadventiis	Cretarhabdus conicus	Coccolithus crassus	Chiastozygus litterarius	Arkhangelskiella cymbiformis	Watznaueria britannica	Tranolithus phacelosus	Prediscosphaera spinosa	Prediscosphaera columnata	Vagalapilla stradneri	Tegumentum stradneri	Reinhardtites levis	Zygodiscus spiralis	Zygodiscus elegans	Tranolithus gabalus	Prediscosphaera grandis	Biscutum constans	Lucianorhabdus cayeuxii	Parhabdolithus asper	Parhabdolithus embergeri	Discorhabdus rotatorius	Watznaueria manivitae	Prediscosphaera honjoi	Ahmuellerella octoradiata	Eiffellithus sp.	Octocyclus sp.	Micula prinsii	Microrhabdulus attenuatus	Micula murus	Micula concava	Podorhabdus sp.	M. ondosus	Placozygus sigmoides	Markalius inversus	Thoracosphaera saxea	Thoracosphaera operculata	Prinsius martinii	Prinsius bisulcus	Markalius astroporus	Fasciculithus ulii	Fasciculithus tympaniformis	Fasciculithus involutus	Ericsonia subpertusa	Ericsonia robusta	Ericsonia ovalis	Ellipsolithus macellus	Cruciplacolithus tenuis	Cruciplacolithus intermedius	Cruciplacolithus edwardsii	Cruciplacolithus asymmetricus	Coccolithus pelagicus	Chiasmolithus danicus	Biantholithus sparsus	Neococcolithes protenus	Neochiastozygus saepes	Fasciculithus stonehengei	Fasciculithus janii	Biscutum sp.	T. crassa	Fasciculithus sp.	Braarudosphaera sp. 1	Fasciculithus pileatus	Zygrhablithus bijugatus	Toweius crassus	Thoracosphaera prolata	Sphenolithus radians	Sphenolithus moriformis	Pontosphaera versa	Discoaster sp. 1	Discoaster multiradiatus	Discoaster lodoensis	Discoaster lenticularis	Discoaster kuepperi	Discoaster gemmifer	Discoaster diastypus	Discoaster barbadiensis	Coronocyclus nitescens	Coccolithus formosus	Coccolithus eopelagicus	Chiasmolithus grandis	Chiasmolithus consuetus	Campylosphaera dela	Calcidiscus kingii	Ellipsolithus lajollaensis	Discoaster binodosus	Sphenolithus spiniger	Pedinocyclus larvalis	Coccolithus jugatus	Striatococcolithus pacificanus	Reticulofenestra dictyoda	Discolithina rimosa	Toweius gammation	Chiasmolithus bidens	Dictyococcites scrippsae	Neococcolithes dubius	Reticulofenestra pseudoumbilica	Discoaster variabilis	Discoaster moorei	Discoaster kugleri	Discoaster exilis	Discoaster druggii	Reticulofenestra sp. (small)	Discoaster subsurculus	Discoaster deflandrei	Dictyococcites productus	Catinaster calyculus	Triquetrorhabdulus rugosus	Triquetrorhabdulus carinatus	Discoaster musicus	Dictyococcites antarcticus	Cyclicargolithus floridanus	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster woodringii	Discoaster surculus	Discoaster pentaradiatus	Discoaster pansus	Catinaster coalitus	Discoaster challengeri	Minylitha convallis	Discoaster prepentaradiatus	Discoaster neohamatus	Discoaster calcaris	Discoaster brouweri	Discoaster blackstockae	Discoaster bellus	Sphenolithus abies	Discoaster icarus	Syracosphaera histrica	Discoaster quinqueramus	Discoaster braarudii	Discoaster berggrenii	Amaurolithus primus	Discoaster intercalaris	Amaurolithus delicatus	Helicosphaera granulata	Amaurolithus tricorniculatus	Scyphosphaera globulata	Ceratolithus armatus	Ceratolithus rugosus	Helicosphaera sellii	Helicosphaera carteri	Discoaster asymmetricus	Discoaster quadramus	Triquetrorhabdulus farnsworthii	Pontosphaera multipora	Discoaster triradiatus	Scyphosphaera pacifica	Rhabdosphaera stylifera	Pseudoemiliania lacunosa	Discoaster tamalis	Gephyrocapsa sp. (small)	Rhabdosphaera clavigera	Scapholithus fossilis	Gephyrocapsa oceanica s.l.	Ceratolithus cristatus	Umbilicosphaera sibogae	Ceratolithus telesmus	Scyphosphaera aranta	Gephyrocapsa sp. (large)	Scyphosphaera amphora	Pontosphaera scutellum	Gephyrocapsa sp. 3	Emiliania huxleyi	Comment

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  4	H	 7	  63.00	     31.0300	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	RR                      	                    	                          	                            	                  	                          	                           	                        	C                     	C                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	R                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	C                   	C                    	                       	                    	                               	R                     	                      	                      	C                      	A                       	                  	C                       	C                      	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 7. page 21.

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  5	H	 1	  35.00	     31.2500	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	C                     	C                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	R                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	F                   	C                    	                       	                    	                               	F                     	RR                    	                      	C                      	A                       	                  	C                       	A                      	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 7. page 21.

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  5	H	 1	  73.00	     31.6300	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	C                     	C                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	F                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	R                   	F                   	C                    	                       	                    	                               	R                     	R                     	                      	F                      	A                       	                  	C                       	F                      	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 7. page 21.

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  5	H	 1	 100.00	     31.9000	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	C                     	A                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	C                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	R                   	F                   	F                    	                       	                    	                               	R                     	F                     	                      	R                      	A                       	                  	C                       	F                      	R                    	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 7. page 21.

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  5	H	 2	  13.00	     32.5300	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	C                     	A                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	C                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	F                   	F                    	                       	                    	                               	R                     	R                     	                      	R                      	A                       	                  	C                       	C                      	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Very Rare reworking. from 132SR. Chapter 2. Figure 7. page 21.

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  5	H	 2	  43.00	     32.8300	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	C                     	A                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	C                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	                    	F                   	F                    	                       	                    	                               	F                     	R                     	                      	R                      	A                       	                  	C                       	F                      	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Very Rare reworking. from 132SR. Chapter 2. Figure 7. page 21.

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  5	H	 2	  61.00	     33.0100	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	C                     	C                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	F                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	R                   	F                   	F                    	                       	                    	                               	R                     	R                     	                      	F                      	A                       	                  	C                       	F                      	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 7. page 21.

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  5	H	 2	 100.00	     33.4000	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	C                     	A                     	                     	                   	                        	                 	                   	RR                    	                   	                           	                     	                   	F                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	R                   	F                   	F                    	                       	                    	                               	F                     	R                     	                      	F                      	A                       	RR                	C                       	F                      	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Frequent to Common reworking. from 132SR. Chapter 2. Figure 7. page 21.

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  5	H	 2	 123.00	     33.6300	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	C                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	C                     	C                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	C                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	R                   	F                   	F                    	                       	                    	                               	F                     	F                     	                      	F                      	A                       	                  	C                       	F                      	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	from 132SR. Chapter 2. Figure 7. page 21.

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  5	H	 3	  42.00	     34.3200	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	C                     	C                     	                     	                   	RR                      	                 	                   	RR                    	                   	                           	                     	                   	F                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	RR                  	F                   	F                    	                       	                    	                               	R                     	                      	                      	                       	A                       	                  	C                       	F                      	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Frequent reworking. from 132SR. Chapter 2. Figure 7. page 21.

  SR	Late Pliocene    	                 	CN12d             	              	132	 810	C	  5	H	 3	 100.00	     34.9000	Premoli Silva	Nannofossils                                 	A              	M/G               	                       	                           	                    	                    	                      	                   	                	                  	                	                	                        	                       	                	                        	                       	                           	                           	                            	                       	                     	                       	                           	                    	                   	                        	                            	                      	                      	                       	                         	                     	                    	                   	                   	                  	                   	                       	                 	                       	                    	                        	                       	                     	                      	                         	                	              	              	                         	            	              	               	          	                    	                  	                    	                         	                 	                 	                    	                  	                           	                       	                    	                 	                	                      	                       	                            	                          	                             	A                    	                     	                     	                       	                      	                         	                   	            	         	                 	                     	                      	                       	               	                      	                    	                       	                  	                	                        	                    	                       	                   	                   	                    	                       	                      	                    	                       	                     	                       	                   	                  	                          	                    	                     	                     	                   	                              	                         	                   	                 	                    	                        	                     	                               	                     	                 	                  	                 	                  	C                           	                      	                     	R                       	                    	                          	                            	                  	                          	                           	                        	C                     	A                     	                     	                   	                        	                 	                   	                      	                   	                           	                     	                   	F                  	                       	                 	                  	                 	C                     	                       	                    	                     	                   	                       	                      	                       	                            	                       	                    	R                   	F                   	F                    	                       	                    	                               	F                     	                      	                      	                       	A                       	                  	C                       	F                      	                     	                          	                      	                       	                     	                    	                        	                     	                      	                  	                 	Very Rare reworking. from 132SR. Chapter 2. Figure 7. page 21.
