Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus erectus,Zeugrhabdotus embergeri,Zeugrhabdotus acanthus,Watznaueria supracretacea,Watznaueria ovata,Watznaueria britannica,Watznaueria biporta,Watznaueria barnesae,Vagalapilla stradneri,Stephanolithion coronatum,Scapholithus fossilis,Rhagodiscus asper,Rhagodiscus angustus,Reinhardtites fenestratus,Radiolithus planus,Prediscosphaera spinosa,Prediscosphaera columnata,Parhabdolithus achylostaurion,Nannoconus truitti,Nannoconus regularis,Nannoconus quadriangulus,Manivitella pemmatoidea,Lithraphidites pseudoquadratus,Lithraphidites carniolensis,Grantarhabdus coronadventis,Glaukolithus diplogrammus,Flabellites biforaminis,Eprolithus floralis,Cyclagelosphaera margerelii,Cyclagelosphaera deflandrei,Cruciellipsis chiasta,Cribrosphaerella ehrenbergii,Cretarhabdus loriei,Cretarhabdus crenulatus,Corollithion achylosum,Chiastozygus litterarius,Braarudosphaera hockwoldensis,Braarudosphaera africana,Biscutum constans,Bidiscus ignotus,Tranolithus gabalus,Nannoconus elongatus,Haqius circumradiatus,Braarudosphaera regularis,Zygodiscus elegans,Tegumentum stradneri,Hayesites albiensis,Axopodorhabdus albianus,Tranolithus phacelosus,Eiffellithus sp. 3,Eiffellithus sp. 2,Crucicribium sp.,Corollithion signum,Axopodorhabdus dietzmannii,Helicolithus trabeculatus,Tetrapodorhabdus coptensis,Sollasites barringtonensis,Lithraphidites alatus,Zeugrhabdotus theta,Gartnerago nanum,Broinsonia dentata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,CC11              ,              ,101, 635,B,  8,R, 1,  53.00,     61.5300,Watkins  ,Nannofossils                                 ,C              ,                  ,A                    ,R                      ,R                     ,R                        ,R                ,                      ,F                  ,A                   ,R                    ,R                        ,R                    ,R                ,F                   ,F                        ,                  ,?                      ,C                        ,C                            ,R                 ,                    ,                        ,F                      ,                              ,C                          ,R                          ,C                        ,R                      ,R                  ,                           ,R                          ,                     ,F                           ,R                  ,F                      ,R                     ,F                       ,                             ,R                       ,A                ,F               ,R                  ,                    ,R                    ,                         ,                  ,                    ,                   ,R                      ,F                     ,C                 ,R                 ,                ,R                  ,                          ,F                        ,R                         ,R                         ,R                    ,                   ,R               ,                  ,from Watkins & Verbeek; ODP 101 SR Chapter 3 Table 3 p 80-81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,CC11              ,              ,101, 635,B,  8,R, 1, 120.00,     62.2000,Watkins  ,Nannofossils                                 ,C              ,G                 ,A                    ,R                      ,F                     ,R                        ,R                ,                      ,F                  ,A                   ,F                    ,F                        ,R                    ,R                ,F                   ,R                        ,                  ,R                      ,C                        ,C                            ,R                 ,                    ,                        ,                       ,                              ,F                          ,R                          ,C                        ,R                      ,R                  ,                           ,R                          ,                     ,F                           ,R                  ,F                      ,R                     ,F                       ,                             ,                        ,A                ,F               ,R                  ,                    ,R                    ,                         ,F                 ,R                   ,                   ,F                      ,F                     ,C                 ,R                 ,R               ,R                  ,R                         ,R                        ,R                         ,R                         ,C                    ,R                  ,R               ,R                 ,from Watkins & Verbeek; ODP 101 SR Chapter 3 Table 3 p 80-81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,CC11              ,              ,101, 635,B,  8,R,CC,  16.00,     63.2600,Watkins  ,Nannofossils                                 ,F              ,                  ,C                    ,R                      ,R                     ,F                        ,                 ,                      ,F                  ,C                   ,R                    ,R                        ,R                    ,R                ,R                   ,R                        ,                  ,R                      ,F                        ,C                            ,F                 ,                    ,                        ,F                      ,                              ,C                          ,R                          ,F                        ,                       ,R                  ,                           ,F                          ,                     ,F                           ,R                  ,F                      ,F                     ,F                       ,                             ,                        ,C                ,F               ,                   ,R                   ,                     ,R                        ,                  ,R                   ,                   ,R                      ,R                     ,C                 ,R                 ,                ,                   ,R                         ,                         ,                          ,R                         ,                     ,                   ,                ,R                 ,from Watkins & Verbeek; ODP 101 SR Chapter 3 Table 3 p 80-81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,CC11              ,              ,101, 635,B,  9,R,CC,  17.00,     71.9200,Watkins  ,Nannofossils                                 ,C              ,G                 ,A                    ,R                      ,C                     ,F                        ,R                ,                      ,F                  ,A                   ,F                    ,R                        ,R                    ,R                ,F                   ,F                        ,                  ,R                      ,F                        ,C                            ,R                 ,                    ,                        ,F                      ,                              ,C                          ,R                          ,C                        ,R                      ,R                  ,                           ,                           ,                     ,F                           ,R                  ,F                      ,R                     ,F                       ,                             ,                        ,C                ,F               ,R                  ,                    ,R                    ,                         ,R                 ,R                   ,                   ,R                      ,R                     ,C                 ,F                 ,R               ,                   ,                          ,F                        ,R                         ,R                         ,                     ,                   ,R               ,R                 ,from Watkins & Verbeek; ODP 101 SR Chapter 3 Table 3 p 80-81
