Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocorys saginata	Theocorys robusta	Sethocytris cavipodis	Lychnocanoma conica	Buryella aff. kaikoura	Axoprunum irregularis	Lychnocanoma bellum	Cenosphaera coronataformis	Cyrtocapsella aff. tetrapera	Cenosphaera coronata	Cyrtocapsella tetrapera	Cyclampterium(?) milowi	Eucyrtidium cienkowskii	Lamprocyclas matakohe	Lychnocanoma nipponica nipponica	Lithopera renzae	Stichocorys peregrina	Stichocorys delmontensis	Cyrtocapsella japonica	Eucyrtidium biconicum	Lychnocanoma grande	Stichocorys spp. group	Ommatartus sp C	Ommatartus didymus	Dictyophimus splendens	Cannartus sp. C	Stylatractus universus	Stylacontarium acquilonium	Spongoplegma antarcticum	Desmospyris spongiosa	Pseudocubus vema	Antarctissa strelkovi	Cycladophora pliocenica	Antarctissa sp. G	Antarctissa denticulata	Comment



  IR	                 	                 	                  	              	189	1171	C	  1	H	CC	   6.00	      9.6500	rads     	Radiolarians                                 	C              	G                 	                  	                 	                     	                   	                      	                     	                   	                          	                            	                    	                       	                       	                       	                     	                                	                	                     	                        	T                     	T                    	                   	T                     	               	                  	                      	               	R                     	R                         	C                       	                     	                	T                    	R                      	                 	R                      	       

  IR	                 	                 	                  	              	189	1171	C	  2	H	CC	   8.00	     19.2400	rads     	Radiolarians                                 	C              	G                 	                  	                 	                     	                   	                      	                     	                   	                          	                            	                    	                       	                       	                       	                     	                                	                	T                    	                        	                      	R                    	                   	T                     	               	                  	                      	               	T                     	                          	C                       	                     	                	R                    	T                      	                 	R                      	       

  IR	                 	                 	                  	              	189	1171	C	  3	H	CC	  17.00	     28.5600	rads     	Radiolarians                                 	C              	G                 	                  	                 	                     	                   	                      	                     	                   	                          	                            	                    	                       	                       	                       	                     	                                	                	                     	                        	                      	R                    	                   	                      	               	                  	                      	               	                      	                          	A                       	                     	                	R                    	R                      	R                	C                      	2/3 LO P vema. typical Antarctic fauna

  IR	                 	                 	                  	              	189	1171	C	  4	H	CC	  14.00	     37.8000	rads     	Radiolarians                                 	C              	G                 	                  	                 	                     	                   	                      	                     	                   	                          	                            	                    	                       	                       	                       	                     	                                	                	                     	                        	                      	R                    	F                  	                      	               	                  	                      	               	                      	R                         	C                       	F                    	F               	F                    	                       	                 	                       	3/4 LO L grande

  IR	                 	                 	                  	              	189	1171	C	  5	H	CC	  17.00	     47.8600	rads     	Radiolarians                                 	C              	G                 	                  	                 	                     	                   	                      	                     	                   	                          	                            	                    	                       	                       	R                      	                     	                                	                	                     	                        	                      	C                    	R                  	                      	               	                  	                      	               	R                     	R                         	R                       	R                    	                	                     	                       	                 	                       	       

  IR	                 	                 	                  	              	189	1171	C	  6	H	CC	  18.00	     57.4500	rads     	Radiolarians                                 	C              	M                 	                  	                 	                     	                   	                      	                     	                   	                          	                            	                    	T                      	                       	T                      	                     	                                	                	R                    	                        	T                     	C                    	R                  	                      	               	                  	                      	               	                      	                          	                        	                     	                	                     	                       	                 	                       	       

