Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira oestrupii	Thalassionema nitzschioides	Paralia sulcata	Neodenticula kamtschatica	Hemidiscus cuneiformis	Freshwater diatoms	Denticulopsis spp.	Delphineis spp.	Chaetoceros spp. (resting spores)	Actinoptychus senarius	Stephanopyxis spp.	Simonseniella barboi	Rhizosolenia styliformis	Nitzschia reinholdii	Nitzschia marina	Nitzschia fossilis	Thalassiosira antiqua	Neodenticula seminae-koizumii (undiffer.)	Neodenticula seminae	Neodenticula koizumii	Coscinodiscus marginatus	Actinocyclus curvatulus	Thalassiosira multipora	Stephanopyxis dimorpha	Coscinodiscus spp. (large forms)	Thalassiosira spp.	Thalassiosira nativa	Thalassiosira leptopus	Stellarima sp.	Rouxia californica	Nitzschia cylindrica	Nitzschia aff. rolandii	Azpeitia nodulifera	Actinocyclus ingens	Thalassiosira aff. jacksonii	Proboscia alata	Denticulopsis hustedtii	Thalassiosira miocenica	Lithodesmium cornigerum	Denticulopsis katayamae	Thalassiosira convexa var. aspinosa	Nitzschia miocenica	Thalassiosira convexa var. convexa	Rhizosolenia praebergonii	Thalassiosira minutissima	Thalassionema schraderi	Nitzschia praereinholdii	Synedra jouseana	Thalassiosira temperei	Thalassiosira brunii	Rhizosolenia miocenica	Simonseniella praebarboi	Thalassiosira jouseae	Simonseniella curvirostris	Comment



  SR	Quaternary       	                 	                  	              	146	 892	A	  1	X	 1	 128.00	      1.2800	Fourtanier	Diatoms                                      	A              	G                 	F                        	R                      	C                          	               	                         	R                     	R                 	                  	R              	A                                	                      	                  	R                   	F                       	                    	                	                  	                     	                                         	F                   	                     	R                       	                       	R                      	F                     	                                	F                 	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	R                         	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Quaternary       	                 	                  	              	146	 892	A	  1	X	 2	 126.00	      2.7700	Fourtanier	Diatoms                                      	C              	M                 	R                        	R                      	C                          	               	                         	                      	R                 	                  	F              	A                                	                      	                  	R                   	R                       	                    	                	                  	                     	                                         	F                   	                     	                        	R                      	R                      	C                     	                                	                  	                    	                      	              	                  	                    	                       	R                  	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	R                    	R                         	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Quaternary       	                 	                  	              	146	 892	A	  1	X	 3	   7.00	      3.0400	Fourtanier	Diatoms                                      	C              	M                 	R                        	R                      	C                          	R              	                         	R                     	R                 	                  	               	A                                	R                     	                  	R                   	                        	R                   	                	                  	                     	                                         	F                   	                     	R                       	R                      	R                      	C                     	                                	                  	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	                     	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67

  SR	Quaternary       	                 	                  	              	146	 892	A	  2	X	 3	  52.00	     13.0200	Fourtanier	Diatoms                                      	C              	M/G               	R                        	                       	C                          	               	                         	                      	R                 	                  	R              	A                                	R                     	                  	R                   	R                       	                    	                	                  	                     	                                         	F                   	                     	                        	                       	                       	C                     	R                               	F                 	                    	                      	              	                  	                    	                       	                   	                   	                            	               	                       	                       	                       	                       	                                   	                   	                                  	                         	                         	                       	                        	                	                      	                    	                      	                        	R                    	                          	from Leg 146 SR; Ch 4; Table 2; pp. 65-67
