Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Discoaster neohamatus	Discoaster hamatus	Discoaster bellus	Dictyococcites antarcticus	Calcidiscus macintyrei	Discoaster pentaradiatus	Sphenolithus abies	Discoaster surculus	Discoaster quinqueramus	Amaurolithus tricorniculatus	Discoaster variabilis	Discoaster berggrenii	Reticulofenestra rotaria	Discoaster brouweri	Amaurolithus delicatus	Pseudoemiliania lacunosa	Gephyrocapsa spp. (small)	Discoaster tamalis	Discoaster asymmetricus	Reticulofenestra asanoi	Gephyrocapsa spp. medium	Comment



  IR	                 	Pleistocene      	                  	              	177	1088	B	  1	H	CC	   7.00	      5.4100	Flores   	Nannofossils                                 	A              	M                 	                         	                     	                  	                 	                          	                      	                        	                  	                   	                       	                            	                     	                     	                        	                   	                      	C                       	                         	                  	                       	                       	F                       	       

  IR	                 	Pleistocene      	                  	              	177	1088	B	  2	H	CC	  12.00	     14.4400	Flores   	Nannofossils                                 	A              	G                 	                         	                     	                  	                 	                          	                      	                        	                  	                   	                       	                            	                     	                     	                        	                   	                      	C                       	A                        	                  	                       	A                      	                        	       

  IR	                 	Late Pliocene    	                  	              	177	1088	B	  3	H	CC	  14.00	     23.9700	Flores   	Nannofossils                                 	A              	G                 	F                        	                     	                  	                 	                          	F                     	R                       	R                 	R                  	                       	                            	                     	                     	                        	R                  	                      	A                       	                         	                  	                       	                       	                        	       

  IR	                 	Pliocene         	                  	              	177	1088	B	  4	H	CC	  13.00	     34.0800	Flores   	Nannofossils                                 	A              	G                 	D                        	                     	                  	                 	                          	                      	R                       	F                 	R                  	                       	                            	                     	                     	                        	R                  	                      	F                       	A                        	+                 	R                      	                       	                        	       

  IR	                 	Miocene          	                  	              	177	1088	B	  5	H	CC	  12.00	     42.9200	Flores   	Nannofossils                                 	A              	M                 	F                        	                     	                  	                 	A                         	C                     	R                       	                  	R                  	                       	                            	                     	                     	                        	R                  	+                     	                        	                         	                  	                       	                       	                        	       

  IR	                 	Late Miocene     	                  	              	177	1088	B	  6	H	CC	  13.00	     52.8600	Flores   	Nannofossils                                 	A              	M                 	A                        	                     	                  	                 	F                         	F                     	R                       	F                 	                   	F                      	                            	                     	R                    	                        	                   	                      	                        	                         	                  	                       	                       	                        	       

  IR	                 	Late Miocene     	                  	              	177	1088	B	  7	H	CC	  23.00	     62.4700	Flores   	Nannofossils                                 	A              	M                 	A                        	                     	                  	R                	                          	                      	R                       	                  	                   	R                      	                            	                     	                     	                        	                   	                      	                        	                         	                  	                       	                       	                        	       

  IR	                 	Late Miocene     	                  	              	177	1088	B	  8	H	CC	  10.00	     71.3700	Flores   	Nannofossils                                 	C              	M                 	A                        	                     	                  	                 	C                         	F                     	                        	                  	R                  	                       	                            	                     	                     	+                       	                   	                      	                        	                         	                  	                       	                       	                        	       

  IR	                 	Late Miocene     	                  	              	177	1088	B	  9	H	CC	   9.00	     80.8300	Flores   	Nannofossils                                 	A              	M                 	C                        	                     	                  	R                	A                         	R                     	R                       	F                 	                   	R                      	                            	R                    	R                    	                        	                   	                      	                        	                         	                  	                       	                       	                        	       

  IR	                 	Late Miocene     	                  	              	177	1088	B	 10	H	CC	  10.00	     91.5000	Flores   	Nannofossils                                 	A              	M                 	F                        	                     	                  	R                	A                         	F                     	                        	F                 	R                  	R                      	+                           	                     	                     	                        	                   	                      	                        	                         	                  	                       	                       	                        	       

  IR	                 	Late Miocene     	                  	              	177	1088	B	 11	H	CC	   9.00	     99.1600	Flores   	Nannofossils                                 	A              	P                 	C                        	R                    	                  	                 	                          	R                     	R                       	                  	                   	                       	                            	                     	                     	                        	                   	                      	                        	                         	                  	                       	                       	                        	       

  IR	                 	Late Miocene     	                  	              	177	1088	B	 12	H	CC	   9.00	    110.0100	Flores   	Nannofossils                                 	A              	M                 	                         	R                    	                  	R                	C                         	                      	R                       	                  	                   	                       	                            	                     	                     	                        	                   	                      	                        	                         	                  	                       	                       	                        	       

  IR	                 	Late Miocene     	                  	              	177	1088	B	 13	H	CC	  11.00	    119.0500	Flores   	Nannofossils                                 	A              	M                 	C                        	                     	R                 	R                	C                         	R                     	                        	                  	                   	                       	                            	                     	                     	                        	                   	                      	                        	                         	                  	                       	                       	                        	       

  IR	                 	Late Miocene     	                  	              	177	1088	B	 14	H	CC	  12.00	    129.1100	Flores   	Nannofossils                                 	A              	M                 	F                        	R                    	R                 	F                	C                         	F                     	                        	                  	                   	                       	                            	                     	                     	                        	                   	                      	                        	                         	                  	                       	                       	                        	       

