Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Thoracosphaera saxea,Sphenolithus spiniger,Sphenolithus radians,Sphenolithus moriformis,Sphenolithus furcatolithoides,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Pontosphaera multipora,Pemma stradnerii,Pemma basquensis,Nannotetrina cristata,Helicosphaera seminulum,Helicosphaera lophota,Ericsonia obruta,Ericsonia formosa,Discoaster strictus,Discoaster saipanensis,Discoaster deflandrei,Discoaster binodosus,Discoaster barbadiensis,Cyclicargolithus pseudogammation,Coronocyclus prionion,Coccolithus pelagicus,Chiasmolithus titus,Chiasmolithus solitus,Chiasmolithus grandis,Braarudosphaera discula,Braarudosphaera bigelowii,Umbellosphaera irregularis,Thoracosphaera spp.,Syracosphaera spp.,Scapholithus fossilis,Rhabdosphaera spp.,Reticulofenestra spp. (small - medium),Reticulofenestra spp. (large),Pseudoemiliania lacunosa E,Pseudoemiliania lacunosa C,Oolithotus antillarum,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Gephyrocapsa sp. 3,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Emiliania huxleyi,Cyclolithus annulus,Calcidiscus macintyrei,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 1,  20.00,      0.2000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,2.2%12                    ,.4%2               ,.4%2              ,.9%5                 ,.4%2              ,.0%0                                  ,.0%0                         ,.0%0                      ,.4%2                      ,.0%0                 ,.0%0                ,1.3%7                ,48.7%263                 ,.4%2                     ,1.9%10            ,14.8%80                   ,4.3%23                   ,19.8%107         ,1.3%7              ,.0%0                  ,3.0%16                ,Total count = 540; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 1,  82.00,      0.8200,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,4.3%23                    ,.4%2               ,.6%3              ,1.5%8                ,.4%2              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,.4%2                 ,38.9%208                 ,.0%0                     ,.0%0              ,5.1%27                    ,.9%5                     ,44.3%237         ,2.4%13             ,.0%0                  ,.9%5                  ,Total count = 535; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 1, 143.00,      1.4300,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,4.8%25                    ,.4%2               ,.4%2              ,.8%4                 ,.4%2              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,.4%2                 ,54.0%283                 ,1.3%7                    ,1.0%5             ,12.8%67                   ,4.8%25                   ,14.3%75          ,3.8%20             ,.0%0                  ,1.0%5                 ,Total count = 524; from Leg 144 SR; Ch 1; Table 3; p 14-15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,144, 871,A,  1,H, 2,  20.00,      1.7000,Erba     ,Nannofossils                                 ,               ,                  ,                       ,                    ,                     ,                    ,                       ,                             ,                         ,                                 ,                      ,                ,                ,                     ,                       ,                     ,                ,                 ,                   ,                      ,                     ,                    ,                       ,                                ,                     ,.0%0                 ,                   ,                     ,                     ,                       ,                         ,3.9%20                    ,.4%2               ,.6%3              ,.4%2                 ,.4%2              ,.0%0                                  ,.0%0                         ,.0%0                      ,.0%0                      ,.0%0                 ,.0%0                ,.6%3                 ,70.5%358                 ,.2%1                     ,.0%0              ,8.5%43                    ,3.7%19                   ,7.9%40           ,1.6%8              ,.0%0                  ,1.0%5                 ,Total count = 508; from Leg 144 SR; Ch 1; Table 3; p 14-15
