Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Tenuitella gemma,Tenuitella clemenciae,Paragloborotalia mayeri,Paragloborotalia continuosa,Globoturborotalita woodi s. I,Globoquadrina venezuelana,Globoquadrina praedehiscens,Globoquadrina binaiensis,Globigerinoides trilobus s.l.,Globigerinoides ruber  s. I. (white),Globigerinoides obliquus,Globigerinoides altiapertura,Globigerinita glutinata,Globigerinella praesiphonifera,Globigerina praebulloides,Globigerina ouachitaensis s. I,Dentoglobigerina larmeui,Dentoglobigerina baroemoenensis,Dentoglobigerina altispira,Catapsydrax unicavus,Cassigerinella chipolensis,Globorotaloides suteri,Globigerinita uvula,Globigerina angulisuturalis,Globoquadrina dehiscens,Globigerina ciperoensis,Paragloborotalia kugleri,Globigerinoides primordius,Globigerinatella sp.,Catapsydrax dissimilis,Globigerinatella insueta,Globigerinoides bisphericus,Fohsella peripheroronda,Globorotalia praescitula,Praeorbulina sicana,Globigerinoides mitra,Praeorbulina curva,Globorotalia archeomenardii,Praeorbulina glomerosa,Praeorbulina circularis,Orbulina suturalis,Clavatorella bermudezi,Fohsella peripheroacuta,Pulleniatina obliquiloculata,Orbulina universa,Fohsella praefohsi,Fohsella fohsi,Sphaeroidinellopsis disjuncta,Globorotalia praemenardii,Fohsella lobata,Globorotalia tumida,Globoturborotalita tenella,Globorotalia menardii s.l.,Globigerinoides conglobatus,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Globoturborotalita rubescens,Globorotalia hexagonus,Fohsella robusta,Globigerina bulloides s. I.,Sphaeroidinella dehiscens,Pulleniatina finalis,Globorotalia truncatulinoides,Sphaeroidinella excavata,Globorotalia crassaformis,Globigerinoides sacculifer,Globigerinoides fistulosus,Streptochilus spp.,Neogloboquadrina acostaensis,Globoturborotalita nepenthes,Globorotalia plesiotumida,Globorotalia limbata,Globigerinoides extremus,Globigerinella siphonifera,Globorotalia multicamerata,Sphaeroidinellopsis paenedehiscens,Pulleniatina primalis,Pulleniatina praecursor,Neogloboquadrina humerosa,Globorotalia ungulata,Globorotalia flexuosa,Globoquadrina sp.,Neogloboquadrina dutertrei,Globorotalia tosaensis,Globorotalia pertenuis,Candeina nitida,Tenuitella iota,Globorotalia scitula,Globorotalia hirsuta,Globigerinoides ruber (pink),Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  1,H, 1,  59.00,      0.5900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,F                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,F                           ,F                ,                  ,              ,                             ,                         ,               ,F                  ,R                         ,F                         ,R                          ,                              ,                         ,R                           ,R                     ,                ,R                          ,R                        ,R                   ,R                            ,R                       ,R                        ,F                         ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,C                         ,                          ,                                  ,                     ,                       ,                         ,F                    ,                     ,                 ,F                         ,                      ,                      ,R              ,R              ,                    ,R                   ,                            ,R                    ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  1,H, 2,  59.00,      2.0900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,F                            ,C                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,R                           ,R                ,                  ,              ,                             ,                         ,               ,F                  ,                          ,F                         ,                           ,                              ,                         ,R                           ,R                     ,                ,                           ,R                        ,F                   ,R                            ,R                       ,R                        ,F                         ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,                       ,                         ,F                    ,                     ,                 ,R                         ,                      ,                      ,R              ,R              ,                    ,                    ,R                           ,R                    ,from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  1,H, 3,  59.00,      3.5900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,R                        ,                           ,                        ,R                            ,F                                   ,                        ,                            ,R                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,R                           ,R                ,                  ,              ,                             ,                         ,               ,                   ,R                         ,F                         ,R                          ,                              ,                         ,R                           ,                      ,                ,                           ,R                        ,R                   ,R                            ,R                       ,R                        ,R                         ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,                       ,                         ,                     ,                     ,R                ,R                         ,                      ,                      ,R              ,R              ,R                   ,R                   ,R                           ,R                    ,light reworking; from Leg 144 SR; Ch 2; Table 1; p 28-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,144, 871,A,  1,H, 4,  59.00,      5.0900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                                ,                ,                     ,                       ,                           ,                             ,                         ,                           ,                        ,C                            ,F                                   ,                        ,                            ,F                      ,                              ,                         ,                              ,                        ,                               ,                          ,                    ,                          ,                      ,                   ,                           ,                       ,                       ,                        ,                          ,                    ,                      ,                        ,                           ,                       ,                        ,                   ,                     ,                  ,                           ,                      ,                       ,                  ,                      ,                       ,F                           ,                 ,                  ,              ,                             ,                         ,               ,C                  ,R                         ,F                         ,R                          ,                              ,                         ,R                           ,R                     ,                ,R                          ,R                        ,R                   ,F                            ,R                       ,R                        ,F                         ,                          ,                  ,                            ,                            ,                         ,                    ,                        ,F                         ,                          ,                                  ,                     ,                       ,                         ,R                    ,                     ,R                ,F                         ,                      ,                      ,R              ,R              ,R                   ,                    ,                            ,                     ,from Leg 144 SR; Ch 2; Table 1; p 28-31
