Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trochammina sp. (small)	Rzehakina epigona	Hyperammina sp. (fragments)	Glomospira charoides	Rhabdammina spp.	Recurvoides spp.	Paratrochamminoides spp.	Karrerulina conformis	Glomospira gordialis	Subreophax scalaris	Trochammina sp. (coarse)	Praecystammina? sp.	Paratrochamminoides cf. corpulentus	Aschemocella grandis	Aschemocella carpathica	Ammodiscus sp. (rough)	Subreophax splendidus	Dendrophrya excelsa	Haplophragmoides walteri	Trochammina altiformis	Paratrochamminoides olszewskii	Plectorecurvoides? sp.	Glomospira irregularis	Hormosina crassa	Comment



  SR	Early Eocene     	                 	                  	              	149	 897	C	 60	R	 1	  41.00	    620.1100	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	                           	10                  	1               	1               	                        	                     	                    	                   	                        	                   	                                   	                    	                       	                      	                     	                   	                        	                      	                              	                      	                      	1               	5 indet. aggl. fragments. 22 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Early Eocene     	                 	                  	              	149	 897	C	 60	R	 1	 125.00	    620.9500	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	                           	11                  	1               	5               	                        	                     	                    	                   	                        	                   	                                   	                    	                       	                      	                     	                   	                        	                      	                              	                      	1                     	                	1 indet. aggl. fragments. 17 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Early Eocene     	                 	                  	              	149	 897	C	 60	R	 2	  43.00	    621.6300	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	                           	23                  	2               	5               	                        	                     	                    	                   	                        	                   	                                   	                    	                       	                      	                     	                   	                        	                      	                              	1                     	                      	                	22 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Early Eocene     	                 	                  	              	149	 897	C	 60	R	 2	 116.00	    622.3600	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	                           	                    	                	                	                        	                     	                    	2                  	                        	                   	                                   	                    	                       	                      	                     	                   	                        	                      	1                             	                      	                      	                	8 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Early Eocene     	                 	                  	              	149	 897	C	 60	R	 3	  33.00	    623.1000	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	                           	26                  	18              	1               	15                      	1                    	                    	4                  	                        	                   	                                   	                    	                       	                      	                     	                   	1                       	1                     	                              	                      	                      	                	1 tubular aggl. fragments. 16 indet. aggl. fragments. 18 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

  SR	Early Eocene     	                 	                  	              	149	 897	C	 60	R	 3	  60.00	    623.3700	Kuhnt    	Benthic Foraminifers                         	               	                  	                       	                 	                           	1                   	31              	4               	6                       	                     	                    	5                  	                        	                   	                                   	                    	                       	                      	                     	1                  	1                       	                      	                              	                      	                      	                	6 tubular aggl. fragments. 12 ichthyoliths. from 149 SR. Chapter 8. Table 1. page 204.

