leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id
7,65,,2,1,50.0,52.0,10.00,10.51, 1,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RSPON0050,Spongaster tetras,RARE,  ,1,732675a883399e14e75852cb9718f5a0
7,65,,2,3,30.0,32.0,10.00,13.31, 1,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RSPON0040,Spongaster pentas,PRESENT,  ,1,3f2b08d2e9787d43c3b8baa8c8ee58d4
7,65,,2,5,25.0,27.0,10.00,16.26, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RPTER0070,Pterocanium prismatium,RARE,  ,1,39d34d659ea3329f3ae7f87ea3183394
7,65,,2,5,25.0,27.0,10.00,16.26, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RSPON0030,Spongaster klingi,PRESENT,  ,1,5ee7e68e1a38046df3cf22f437a95e96
7,65,,2,5,25.0,27.0,10.00,16.26, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RSPON0040,Spongaster pentas,PRESENT,  ,1,7c770962ca1bbb70f1a549e35a6eb7c1
7,65,,2,5,25.0,27.0,10.00,16.26, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RSTIO0070,Stichocorys peregrina,COMMON,  ,1,28e563561428f0263f4b784d0145186b
7,65,,2,CC,0.0,0.0,10.00,19.10, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RACRO0040,Acrobotrys tritubus,RARE,  ,1,368b722d721659ec5f8f409e1e029894
7,65,,2,CC,0.0,0.0,10.00,19.10, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,ROMMA0050,Ommatartus penultimus,FEW,  ,1,2cf6fa7caaee4710ff2728ed2c2d03ad
7,65,,2,CC,0.0,0.0,10.00,19.10, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RPTER0070,Pterocanium prismatium,PRESENT,  ,1,d98664d87c38002508f0286a655e73e9
7,65,,2,CC,0.0,0.0,10.00,19.10, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RSTIO0070,Stichocorys peregrina,COMMON,  ,1,b21df7618a5960fd997fe4ed914321be
7,65,,3,1,25.0,27.0,19.00,19.26, 3,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RSPON0030,Spongaster klingi,RARE,  ,1,ade104802c9aba93f5df5d930b6b94cc
7,65,,3,1,25.0,27.0,19.00,19.26, 3,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RSPON0040,Spongaster pentas,PRESENT,  ,1,4761bcc6079373e6dc556ab70d2c83db
7,65,,3,1,25.0,27.0,19.00,19.26, 3,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RSTIO0070,Stichocorys peregrina,COMMON,  ,1,7e9c9831625f3336fde045cb40cefdbe
7,65,,3,3,25.0,27.0,19.00,22.26, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RCYCA0060,Cyclampterium neatum,PRESENT,  ,1,5774b11ea86b0fb367a048eecf58a33c
7,65,,3,3,25.0,27.0,19.00,22.26, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,ROMMA0030,Ommatartus avitus,RARE,  ,1,5cc358c1ffc3872cf4a4f4dfd411142a
7,65,,3,3,25.0,27.0,19.00,22.26, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,ROMMA0070,Ommatartus tetrathalamus,PRESENT,  ,1,14bc7a486b59ab7c80c7301e45730f1f
7,65,,3,3,25.0,27.0,19.00,22.26, 4,"RIEDEL,W.R.;SANFILIPPO,A.",,7,RADIOLARIA,ABUNDANT,,,GOOD,NO AGE GIVEN,1554,RSTIO0070,Stichocorys peregrina,COMMON,  ,1,d2cca6273f59b7579b2f3fa22f9d6ae9
