Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thoracosphaera spp.	Triquetrorhabdulus carinatus	Sphenolithus dissimilis	Sphenolithus conicus	Sphenolith (unspecified taxon or taxa)	Helicosphaera recta	Helicosphaera euphratis	Helicosphaera carteri	Geminilithella rotula	Discoaster woodringii	Discoaster extensus	Discoaster deflandrei	Discoaster adamanteus	Dictyococcites spp.	Cyclicargolithus floridanus	Cyclicargolithus abisectus (< 10 microns)	Coronocyclus nitescens	Coccolithus radiatus	Coccolithus pelagicus	Reticulofenestrid taxa	Pontosphaera spp.	Helicosphaera perch-nielseniae	Helicosphaera intermedia	Discoaster druggii	Calcidiscus leptoporus	Sphenolithus dissimilis/belemnos	Helicosphaera obliqua	Triquetrorhabdulus milowii	Sphenolithus capricornutus	Reticulofenestra daviesii	Helicosphaera ampliaperta	Discoaster aff. druggii	Reticulofenestra aff. pseudoumbilicus	Triquetrorhabdulus serratus	Sphenolithus belemnos	Sphenolithus pseudoheteromorphus	Sphenolithus multispinatus	Discoaster variabilis	Syracosphaera spp.	Sphenolithus heteromorphus	Discoaster moorei	Scyphosphaera spp.	Triquetrorhabdulus backmanii	Coccolithus miopelagicus	Solidopons petrae	Triquetrorhabdulus curvus	Sphenolithus milanettii	Discoaster formosus	Discoaster exilis	Helicosphaera mediterranea	Hayella aperta	Calcidiscus premacintyrei	Discoaster signus-tuberi	Discoaster musicus	Comment



  SR	                 	                 	CN4               	              	115	 715	A	  6	R	 1	  90.00	     47.7000	Rio      	Nannofossils                                 	A              	G                 	                   	cf                          	                       	                    	C                                     	                   	                       	C                    	F                    	                     	                   	                     	                     	A                  	C                          	                                         	F                     	C                   	C                    	C                     	                 	R                             	R                       	                  	F                     	                                	R                    	                          	                          	                         	                         	                       	                                     	                           	                     	                                	                          	C                    	                  	C                         	F                	                  	                            	R                       	                 	                         	                       	                   	F                	                          	              	                         	cf                      	F                 	from 115 SR. Chapter 15. Table 28. microfiche in back pocket.

  SR	                 	                 	CN4               	              	115	 715	A	  6	R	 2	  90.00	     49.2000	Rio      	Nannofossils                                 	A              	G                 	                   	                            	                       	                    	C                                     	                   	                       	A                    	F                    	                     	                   	R                    	                     	A                  	F                          	                                         	C                     	C                   	C                    	A                     	C                	                              	                        	                  	                      	                                	R                    	R                         	                          	                         	                         	                       	                                     	                           	                     	                                	                          	C                    	R                 	C                         	R                	F                 	                            	F                       	                 	                         	                       	                   	F                	                          	F             	                         	F                       	R                 	from 115 SR. Chapter 15. Table 28. microfiche in back pocket.

  SR	                 	                 	CN4               	              	115	 715	A	  6	R	 3	  90.00	     50.7000	Rio      	Nannofossils                                 	A              	G                 	                   	                            	                       	                    	C                                     	                   	                       	C                    	F                    	                     	                   	                     	                     	A                  	C                          	                                         	F                     	C                   	C                    	C                     	C                	R                             	R                       	                  	R                     	                                	R                    	                          	                          	                         	                         	                       	                                     	R                          	                     	                                	                          	C                    	                  	C                         	R                	                  	                            	R                       	                 	                         	                       	                   	cf               	                          	              	R                        	F                       	                  	from 115 SR. Chapter 15. Table 28. microfiche in back pocket.

  SR	                 	                 	CN4               	              	115	 715	A	  6	R	 4	  90.00	     52.2000	Rio      	Nannofossils                                 	A              	M                 	C                  	                            	                       	                    	C                                     	                   	R                      	C                    	F                    	                     	C                  	R                    	                     	C                  	C                          	                                         	F                     	C                   	C                    	C                     	F                	                              	                        	                  	F                     	                                	R                    	R                         	                          	                         	                         	                       	                                     	R                          	                     	                                	                          	C                    	R                 	A                         	F                	F                 	                            	R                       	                 	                         	                       	                   	F                	                          	F             	                         	C                       	                  	from 115 SR. Chapter 15. Table 28. microfiche in back pocket.
