Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina digitata	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia fimbriata	Globorotalia crassaformis viola	Globorotalia crassaformis hessi	Globorotalia crassaformis crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerina calida calida	Globigerina bulloides	Bolliella adamsi	Comment



  IR	Holocene         	                 	Z                 	              	155	 938	A	  1	H	CC	   9.00	      7.5900	Showers  	Planktonic Foraminifers                      	C              	G                 	F                           	C                         	-                   	-                           	C                  	R                            	-                     	R                    	-                   	R                     	R                     	-                              	-                              	-                                     	F                                	C                                  	F                            	R                           	R                        	-                    	-               	from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	  2	H	CC	  20.00	     17.8100	Showers  	Planktonic Foraminifers                      	R              	G                 	-                           	A                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	F                            	R                           	-                        	-                    	-               	BN; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	  3	H	CC	  20.00	     27.1800	Showers  	Planktonic Foraminifers                      	R              	M                 	-                           	A                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	R                                  	R                            	-                           	-                        	-                    	-               	IS; BN; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	  4	H	CC	  38.00	     37.2700	Showers  	Planktonic Foraminifers                      	R              	M                 	-                           	A                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	-                            	R                           	-                        	-                    	-               	IS; from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	  5	H	CC	  45.00	     46.5300	Showers  	Planktonic Foraminifers                      	R              	G                 	-                           	A                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	R                            	R                           	-                        	-                    	-               	SP;from Leg 155IR p. 420 Table 4

  IR	Late Pleistocene 	                 	Y                 	              	155	 938	A	  6	H	CC	  52.00	     56.2300	Showers  	Planktonic Foraminifers                      	R              	G                 	-                           	A                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	-                            	-                           	-                        	-                    	-               	from Leg 155IR p. 420 Table 4

