Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sp. A,Triquetrorhabdulus rugosus,Sphenolithus grandis,Sphenolithus abies,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilica,Reticulofenestra minutula,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra gelida,Pontosphaera multipora,Neosphaera coccolithomorpha,Minylitha convallis,Helicosphaera euphratis,Helicosphaera carteri,Florisphaera profunda,Discoaster variabilis,Discoaster triradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster intercalaris,Discoaster challengeri,Discoaster brouweri,Discoaster berggrenii,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Umbilicosphaera sibogae var. foliosa,Sphenolithus neoabies,Reticulofenestra producta,Reticulofenestra bisecta,Pontosphaera spp.,Discoaster braarudii,Helicosphaera granulata,Discoaster neohamatus,Cyclicargolithus floridanus,Syracosphaera spp.,Schyphosphaera sp.,Discoaster bellus,Braarudosphaera bigelowii,Sphenolithus moriformis,Discoaster tamalis,Prediscosphaera cretacea,Pontosphaera japonica,Discoaster loeblichii,Ericsonia formosa,Discoaster blackstockae,Discoaster surculus,Discoaster asymmetricus,Watznaueria barnesae,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa spp. medium,Gephyrocapsa spp. (small),Reticulofenestra asanoi,Eiffellithus turriseiffelii,Reinhardtites anthophorus,Pontosphaera discopora,Oolithotus fragilis,Gephyrocapsa oceanica ss,Gephyrocapsa margerelii/muellerae,Gephyrocapsa caribbeanica,Umbilicosphaera sibogae var. sibogae,Calciosolenia murrayi,Ceratolithus cristatus,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN15              ,              ,164, 992,A,  1,H, 1,   0.00,      0.0000,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                          ,                    ,                  ,F                      ,                               ,                         ,A                      ,                      ,                       ,                      ,R                          ,                   ,                       ,C                    ,A                    ,                     ,                      ,                       ,                        ,                       ,                      ,                   ,                     ,F                    ,                      ,C                     ,F                                   ,                     ,                         ,                        ,                 ,                    ,                       ,                     ,                           ,F                 ,                  ,                 ,                         ,                       ,                  ,                        ,                     ,                     ,                 ,                       ,                   ,                       ,                    ,rF                      ,                    ,A                       ,A                        ,rR                     ,                           ,                         ,                      ,                   ,C                       ,A                                ,                         ,F                                   ,                     ,                      ,C                ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data992A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14b             ,              ,164, 992,A,  1,H, 1,  74.00,      0.7400,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                          ,                    ,                  ,R                      ,                               ,R                        ,                       ,                      ,                       ,                      ,R                          ,                   ,                       ,F                    ,A                    ,                     ,                      ,                       ,                        ,                       ,                      ,                   ,                     ,F                    ,R                     ,F                     ,F                                   ,                     ,A                        ,                        ,                 ,                    ,                       ,                     ,                           ,C                 ,                  ,                 ,                         ,                       ,                  ,                        ,R                    ,                     ,                 ,                       ,                   ,                       ,                    ,                        ,                    ,A                       ,A                        ,                       ,                           ,                         ,                      ,                   ,C                       ,A                                ,                         ,F                                   ,                     ,R                     ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data992A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14a             ,              ,164, 992,A,  1,H, 1, 140.00,      1.4000,Okada    ,Nannofossils                                 ,A              ,G                 ,                     ,                          ,                    ,                  ,F                      ,                               ,                         ,D                      ,                      ,                       ,                      ,                           ,                   ,                       ,C                    ,A                    ,                     ,                      ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,C                     ,F                                   ,                     ,                         ,                        ,                 ,                    ,                       ,                     ,                           ,C                 ,                  ,                 ,                         ,                       ,                  ,                        ,R                    ,                     ,                 ,                       ,                   ,                       ,                    ,C                       ,                    ,A                       ,A                        ,rR                     ,                           ,                         ,                      ,F                  ,C                       ,C                                ,R                        ,F                                   ,                     ,                      ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data992A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14a             ,              ,164, 992,A,  1,H,CC,  26.00,      2.7600,Okada    ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,                    ,                  ,R                      ,                               ,C                        ,D                      ,                      ,                       ,R                     ,R                          ,                   ,                       ,F                    ,A                    ,                     ,                      ,                       ,                        ,                       ,                      ,                   ,                     ,                     ,                      ,F                     ,F                                   ,                     ,                         ,                        ,                 ,                    ,                       ,                     ,                           ,C                 ,                  ,                 ,                         ,                       ,                  ,                        ,R                    ,                     ,                 ,                       ,                   ,                       ,rR                  ,A                       ,                    ,A                       ,A                        ,R                      ,                           ,                         ,R                     ,R                  ,C                       ,C                                ,F                        ,F                                   ,R                    ,                      ,                 ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data992A
