Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Globorotalia siakensis,Globorotalia menardii menardii (sinistral),Globorotalia mayeri,Globoquadrina dehiscens,Globigerinoides trilobus,Globorotalia continuosa,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides obliquus obliquus,Globigerina druryi,Globigerinita glutinata,Sphaeroidinellopsis seminulina,Globorotalia scitula,Globorotalia lenguaensis,Globigerina decoraperta,Globorotalia cf. Gr. conoidea,Globigerina nepenthes,Globorotalia menardii cultrata (sinistral),Dentoglobigerina altispira,Globigerinoides obliquus extremus,Globigerina woodi,Neogloboquadrina cf. Nq. acostaensis,Globigerinoides quadrilobatus,Globorotalia plesiotumida (sinistral),Orbulina suturalis,Globorotalia miozea,Neogloboquadrina acostaensis (sinistral),Globigerinoides sacculifer,Neogloboquadrina humerosa,Globigerina falconensis,Globorotalia menardii menardii (dextral),Globorotalia juanai,Globigerinella aequilateralis,Globorotalia conomiozea,Globorotalia margaritae primitivae,Globigerinoides conglobatus,Neogloboquadrina acostaensis (dextral),Globorotalia cf. Gr. conomiozea,Globorotalia margaritae,Globorotalia tumida,Hastigerina siphonifera,Globorotalia cf. Gr. multicamerata,Globorotalia menardii cultrata (dextral),Globigerina quinqueloba,Neogloboquadrina dutertrei,Globigerinoides elongatus,Neogloboquadrina pachyderma (dextral),Globorotalia multicamerata,Globorotalia pseudomiocenica,Globigerinoides ruber,Globorotalia puncticulata,Globorotalia crassaformis,Globorotalia miocenica,Globigerinoides pyramidalis,Globorotalia hirsuta,Globorotalia exilis,Globorotalia cf. Gr. miocenica,Globigerina rubescens,Globigerina bulloides,Globorotalia inflata,Turborotalita humilis,Globigerina helicina,Globorotalia crassula,Globigerina apertura,Globorotaloides hexagona,Globorotalia pseudopima,Globigerina calida praecalida,Globigerina calida cf. calida,Neogloboquadrina pachyderma (sinistral),Globorotalia pertenuis,Globorotalia crassaformis viola,Globigerina eamsi,Sphaeroidinella dehiscens,Globigerina cf. Gg. bulloides,Globigerinella obesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL5               ,              ,157, 953,C,  2,R, 1, 118.00,    188.1800,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,F                ,                      ,                                          ,                   ,                       ,                        ,                       ,                         ,                            ,                                 ,                  ,C                      ,                              ,R                   ,                        ,C                      ,                             ,                     ,                                          ,                          ,C                                ,C                ,                                    ,F                            ,                                     ,                  ,                   ,                                        ,F                         ,C                        ,R                      ,                                        ,                   ,C                            ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,R                                 ,                                        ,                       ,                          ,                         ,C                                    ,                          ,                            ,F                    ,C                        ,F                        ,                      ,                           ,R                   ,F                  ,                              ,                     ,C                    ,                    ,                     ,                    ,F                    ,R                   ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL5               ,              ,157, 953,C,  2,R, 2,  44.00,    188.9400,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,C                ,                      ,                                          ,                   ,                       ,R                       ,                       ,R                        ,                            ,                                 ,                  ,C                      ,                              ,                    ,                        ,                       ,                             ,                     ,                                          ,                          ,                                 ,C                ,                                    ,C                            ,                                     ,                  ,                   ,                                        ,                          ,C                        ,C                      ,                                        ,                   ,C                            ,                       ,                                  ,F                          ,                                      ,                               ,                       ,                   ,                       ,R                                 ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,F                    ,C                        ,C                        ,F                     ,                           ,                    ,F                  ,                              ,C                    ,C                    ,                    ,                     ,                    ,                     ,F                   ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,R                        ,                             ,F                   ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL5               ,              ,157, 953,C,  3,R, 1, 106.00,    197.5600,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,F                ,                      ,                                          ,                   ,                       ,F                       ,                       ,                         ,                            ,                                 ,                  ,C                      ,                              ,F                   ,                        ,F                      ,                             ,                     ,                                          ,                          ,R                                ,F                ,                                    ,C                            ,                                     ,R                 ,                   ,                                        ,R                         ,F                        ,C                      ,                                        ,                   ,F                            ,                       ,                                  ,                           ,F                                     ,                               ,                       ,                   ,                       ,                                  ,                                        ,F                      ,R                         ,                         ,F                                    ,                          ,                            ,R                    ,C                        ,F                        ,R                     ,                           ,                    ,R                  ,R                             ,C                    ,F                    ,                    ,R                    ,                    ,                     ,F                   ,F                       ,F                      ,F                            ,F                            ,                                       ,                      ,                               ,R                ,R                        ,                             ,R                   ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,PL5               ,              ,157, 953,C,  3,R, 2,  57.00,    198.5700,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,F                ,                      ,                                          ,                   ,                       ,F                       ,                       ,                         ,                            ,                                 ,                  ,A                      ,                              ,R                   ,                        ,F                      ,                             ,                     ,                                          ,+                         ,R                                ,                 ,                                    ,C                            ,                                     ,                  ,                   ,                                        ,F                         ,F                        ,F                      ,                                        ,                   ,F                            ,                       ,                                  ,                           ,C                                     ,                               ,                       ,                   ,                       ,F                                 ,                                        ,F                      ,F                         ,                         ,R                                    ,                          ,                            ,F                    ,C                        ,F                        ,R                     ,                           ,                    ,F                  ,                              ,C                    ,C                    ,                    ,                     ,                    ,                     ,F                   ,F                       ,                       ,F                            ,                             ,                                       ,R                     ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
