Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globotruncanita stuartiformis	Globotruncanita elevata	Globotruncanita atlantica	Globotruncana orientalis	Globotruncana morozovae	Globotruncana mariei	Globotruncana linneiana	Globotruncana hilli	Globotruncana bulloides	Globotruncana arca	Contusotruncana patelliformis	Contusotruncana fornicata	Rugoglobigerina rugosa	Rugoglobigerina hexacamerata	Globotruncana ventricosa	Globotruncanita subspinosa	Globotruncanita calcarata	Globotruncana rosetta	Globotruncanella havanensis	Globigerinelloides prairiehillensis	Archaeoglobigerina cretacea	Globotruncana falsostuarti	Gorbachikella sp.	Globotruncanita stuarti	Gansserina wiedenmayeri	Marginotruncana marginata	Globotruncana aegyptiaca	Pseudotextularia nuttalli	Gansserina gansseri	Abathomphalus intermedius	Ventilabrella multicamerata	Globotruncanita pettersi	Gublerina cuvillieri	Pseudoguembelina costulata	Globotruncanella petaloidea	Racemiguembelina fructicosa	Pseudotextularia elegans	Pseudoguembelina excolata	Globigerinelloides subcarinatus	Contusotruncana walfischensis	Contusotruncana contusa	Rugoglobigerina rotundata	Rugoglobigerina milamensis	Pseudoguembelina hariaensis	Heterohelix rajagopalani	Abathomphalus mayaroensis	Schackoina cenomana	Heterohelix globulosa	Hedbergella holmdelensis	Guembelitria cretacea	Globigerinelloides multispinus	Woodringina hornerstownensis	Woodringina claytonensis	Parasubbotina pseudobulloides	Morozovella conicotruncata	Morozovella angulata	Igorina pusilla	Igorina albeari	Globanomalina ehrenbergi	Morozovella velascoensis	Morozovella occlusa	Morozovella acuta	Globanomalina pseudomenardii	Acarinina subsphaerica	Morozovella subbotinae	Morozovella pasionensis	Morozovella aequa	Igorina tadjikistanensis	Acarinina soldadoensis	Morozovella gracilis	Morozovella formosa	Acarinina primitiva	Morozovella aragonensis	Igorina broedermanni	Morozovella caucasica	Globigerinatheka senni	Acarinina quetra	Acarinina pentacamerata	Hantkenina mexicana	Guembelitrioides higginsi	Globigerinatheka subconglobata	Globigerinatheka mexicana	Acarinina bullbrooki	Globigerinatheka index	Pseudohastigerina naguewichiensis	Globigerina euapertura	Catapsydrax unicavus	Catapsydrax dissimilis	Cassigerinella chipolensis	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis disjuncta	Paragloborotalia mayeri	Orbulina universa	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides mitra	Globigerina druryi	Fohsella peripheroronda	Fohsella peripheroacuta	Dentoglobigerina altispira	Globoturborotalita woodi	Globoturborotalita nepenthes	Globorotalia praemenardii	Globorotalia menardii	Globorotalia conoidea	Globoquadrina venezuelana	Neogloboquadrina pachyderma (dextral)	Globigerinoides obliquus	Pulleniatina spectabilis	Orbulina suturalis	Neogloboquadrina acostaensis	Globoturborotalita druryi	Sphaeroidinella dehiscens s.l.	Globorotalia margaritae	Globorotalia challengeri	Globoconella conomiozea	Globigerinoides extremus	Globigerina bulloides	Globorotalia tumida	Globorotalia plesiotumida	Globigerinoides conglobatus	Truncorotalia tosaensis	Neogloboquadrina dutertrei	Globorotalia scitula	Globorotalia puncticulata	Globorotalia crassula	Truncorotalia crassaformis	Neogloboquadrina humerosa	Globorotalia inflata	Globigerinoides ruber	Globigerinella aequilateralis	Truncorotalia truncatulinoides	Globorotalia hirsuta	Pulleniatina primalis	Comment



  IR	                 	Pleistocene      	N22               	N22           	198	1210	B	  1	H	CC	  19.00	      9.1900	planks   	Planktonic Foraminifers                      	A              	G                 	                             	                       	                         	                        	                       	                    	                       	                   	                       	                  	                             	                         	                      	                            	                        	                          	                         	                     	                           	                                   	                           	                          	                 	                       	                       	                         	                        	                         	                   	                         	                           	                        	                    	                          	                           	                           	                        	                         	                               	                             	                       	                         	                          	                           	                        	                         	                   	                     	                        	                     	                              	                            	                        	                             	                          	                    	               	               	                        	                        	                   	                 	                            	                      	                      	                       	                 	                        	                      	                    	                   	                   	                       	                    	                     	                      	                	                       	                   	                         	                              	                         	                    	                      	                                 	                      	                    	                      	                          	                              	                             	                       	F                	                       	                            	F                       	F                         	                     	                  	                       	                       	                          	                        	                            	                         	R                    	                     	                         	F                                    	                        	                        	                  	                            	                         	                              	                       	                        	                       	                        	F                    	F                  	                         	F                          	                       	F                         	F                   	                         	                     	F                         	F                        	A                   	F                    	R                            	F                             	R                   	F                    	rads

  IR	                 	Pleistocene      	N22               	N22           	198	1210	B	  2	H	CC	  21.00	     18.1400	planks   	Planktonic Foraminifers                      	A              	G                 	                             	                       	                         	                        	                       	                    	                       	                   	                       	                  	                             	                         	                      	                            	                        	                          	                         	                     	                           	                                   	                           	                          	                 	                       	                       	                         	                        	                         	                   	                         	                           	                        	                    	                          	                           	                           	                        	                         	                               	                             	                       	                         	                          	                           	                        	                         	                   	                     	                        	                     	                              	                            	                        	                             	                          	                    	               	               	                        	                        	                   	                 	                            	                      	                      	                       	                 	                        	                      	                    	                   	                   	                       	                    	                     	                      	                	                       	                   	                         	                              	                         	                    	                      	                                 	                      	                    	                      	                          	                              	                             	                       	F                	                       	                            	F                       	R                         	                     	                  	                       	                       	                          	                        	                            	                         	P                    	                     	                         	R                                    	                        	                        	                  	                            	                         	                              	                       	                        	                       	                        	F                    	F                  	                         	R                          	F                      	F                         	R                   	                         	                     	F                         	F                        	A                   	P                    	R                            	F                             	R                   	                     	       

  IR	                 	Pleistocene      	N22               	N22           	198	1210	B	  3	H	CC	  17.00	     28.2600	planks   	Planktonic Foraminifers                      	C              	M                 	                             	                       	                         	                        	                       	                    	                       	                   	                       	                  	                             	                         	                      	                            	                        	                          	                         	                     	                           	                                   	                           	                          	                 	                       	                       	                         	                        	                         	                   	                         	                           	                        	                    	                          	                           	                           	                        	                         	                               	                             	                       	                         	                          	                           	                        	                         	                   	                     	                        	                     	                              	                            	                        	                             	                          	                    	               	               	                        	                        	                   	                 	                            	                      	                      	                       	                 	                        	                      	                    	                   	                   	                       	                    	                     	                      	                	                       	                   	                         	                              	                         	                    	                      	                                 	                      	                    	                      	                          	                              	                             	                       	R                	                       	                            	F                       	F                         	                     	                  	                       	                       	                          	                        	                            	                         	                     	                     	                         	F                                    	R                       	                        	                  	                            	                         	F                             	                       	                        	                       	                        	A                    	F                  	                         	F                          	F                      	F                         	R                   	                         	F                    	F                         	F                        	A                   	F                    	                             	F                             	                    	                     	rads

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	198	1210	B	  4	H	CC	  24.00	     37.0300	planks   	Planktonic Foraminifers                      	A              	M                 	                             	                       	                         	                        	                       	                    	                       	                   	                       	                  	                             	                         	                      	                            	                        	                          	                         	                     	                           	                                   	                           	                          	                 	                       	                       	                         	                        	                         	                   	                         	                           	                        	                    	                          	                           	                           	                        	                         	                               	                             	                       	                         	                          	                           	                        	                         	                   	                     	                        	                     	                              	                            	                        	                             	                          	                    	               	               	                        	                        	                   	                 	                            	                      	                      	                       	                 	                        	                      	                    	                   	                   	                       	                    	                     	                      	                	                       	                   	                         	                              	                         	                    	                      	                                 	                      	                    	                      	                          	                              	                             	                       	F                	                       	                            	R                       	F                         	                     	                  	                       	                       	                          	                        	                            	                         	F                    	                     	                         	                                     	R                       	                        	                  	                            	                         	F                             	                       	                        	                       	                        	A                    	F                  	                         	F                          	R                      	F                         	F                   	                         	F                    	F                         	                         	F                   	F                    	R                            	                              	                    	                     	       
