Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rotundracythere spp.,Propontocypris sp. 1,Pariceratina sp. 1,Hemiparacytheridae sp. 18,Cytherelloidea sp. 1,Cytherella sp. 2,Cytherella sp. 1,Aversovalva sp. 42,Aversovalva sp. 21,Aversovalva sp. 20,Aversovalva sp. 18,Profundobythere volans,Pennyella sp. 1,Krithe sp. 5,Eucythere spp.,Cytherella sp. 7,Bythocypris sp. 1,Saida sp. 2,Poseidonamicus sp.,Pennyella dorsoserrata,Krithe sp. 4,Eucytherura sp. 9,Cytheropteron sp. 24,Argilloecia spp.,Semicytherura sp. 1,Rimacytheropteron sp. 24,Eucytherura sp. 35,Cytheropteron sp. 6,Cytheropteron sp. 2,Cytheropteron sp. 13,Australoecia micra,Argilloecia sp. 1,Semicytherura cf. S. pulchra,Argilloecia sp. 7d,Cardobairdia sp.,Hemiparacytheridae cf. H. sp. 4,Cytherella sp. 6,Eucytherura sp. 3,Bythoceratina sp. 1,Aversovalva sp. 22,Pseudocythere sp. 1,Pedicythere sp. 22,Monoceratina sp. 2,Cytheropteron alatum,Krithe sp. 2,Aversovalva sp. 23,Cytheropteron sp. 43,Argilloecia sp. 7b,Argilloecia sp. 2,Hemiparacytheridae sp. 4,Hemiparacytheridae sp. 20,Bythocythere sp. 1,Eucytherura sp. 8,Cytheropteron sp. 3,Cytherella sp. 10,Bairdoppilata sp. 1,Hemiparacytheridae sp. 14,Cytherella sp. 8,Hemiparacytheridae sp. 2,Chejudocytheridea sp. 1,Aversovalva sp. 7,Poseidonamicus anteropunctatus,Paranesidea sp. 1,Krithe sp. 3,Krithe sp. 1,Henryhowella sp. 27,Hemiparacytheridae cf. H. sp. 2,Eucytherura sp. 1,Cytheropteron sp. 4,Parahemingwayella sp. 13a,Cytheropteron sp. 1,Paradoxostoma sp. 1,Palmoconcha sp. 2,Monoceratina sp. 1,Eucytherura sp. 7,Eucytherura sp. 5,Cytheropteron cf. C. sp. 24,Argilloecia sp. 7a,Ambocythere sp. 1,Saida sp. 1,Eucytherura sp. 36,Cytheropteron sp. 17,Semicytherura sp. 3,Palmoconcha sp. 1,Eucytherura cf. E. calabra,Bradleya sp. 3,Aratrocypris vaccamaris,Eucytherura sp. 37,Eucytherura sp. 34,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,143, 865,B,  1,H, 5, 100.00,      7.0000,Boomer   ,Ostracodes                                   ,               ,                  ,                    ,                    ,2                 ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,2             ,                ,                 ,           ,                  ,1                     ,            ,                 ,                    ,                ,                   ,                        ,                  ,                   ,                   ,                    ,                  ,5                ,                            ,                  ,1               ,                               ,                ,                 ,                   ,                  ,                   ,1                 ,                  ,                    ,1           ,                  ,                    ,                  ,                 ,1                       ,                         ,                  ,                 ,                   ,                 ,                   ,                         ,1               ,                        ,                       ,1                ,                              ,                 ,26          ,5           ,                   ,                               ,                 ,                   ,                         ,2                  ,                   ,1                ,                  ,                 ,                 ,                           ,                  ,                 ,2          ,                  ,                    ,                   ,2                ,3                         ,7             ,4                      ,5                 ,2                 ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,143, 865,B,  1,H,CC,   5.00,      8.4000,Boomer   ,Ostracodes                                   ,               ,                  ,cf                  ,                    ,cf                ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,1             ,                ,                 ,           ,                  ,1                     ,            ,                 ,2                   ,1               ,                   ,                        ,                  ,                   ,                   ,                    ,1                 ,-                ,                            ,                  ,-               ,                               ,                ,                 ,                   ,                  ,                   ,1                 ,                  ,2                   ,-           ,                  ,                    ,                  ,                 ,1                       ,                         ,                  ,                 ,                   ,                 ,                   ,                         ,-               ,                        ,                       ,-                ,                              ,                 ,22          ,-           ,                   ,                               ,                 ,                   ,                         ,3                  ,                   ,-                ,                  ,                 ,                 ,                           ,                  ,                 ,2          ,                  ,                    ,1                  ,5                ,3                         ,9             ,5                      ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,143, 865,B,  2,H, 5, 100.00,     15.5000,Boomer   ,Ostracodes                                   ,               ,                  ,7                   ,                    ,17                ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,18            ,                ,                 ,           ,                  ,30                    ,            ,                 ,9                   ,                ,                   ,2                       ,                  ,6                  ,26                 ,4                   ,15                ,22               ,17                          ,1                 ,-               ,                               ,1               ,                 ,                   ,                  ,3                  ,6                 ,                  ,4                   ,5           ,                  ,                    ,                  ,3                ,9                       ,                         ,                  ,                 ,15                 ,17               ,28                 ,4                        ,23              ,4                       ,1                      ,2                ,5                             ,                 ,13          ,244         ,                   ,4                              ,11               ,3                  ,                         ,45                 ,1                  ,4                ,3                 ,                 ,                 ,                           ,14                ,2                ,1          ,1                 ,8                   ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,143, 865,B,  2,H,CC,   0.00,     16.7200,Boomer   ,Ostracodes                                   ,               ,                  ,cf                  ,1                   ,8                 ,                         ,                    ,                ,                ,                  ,                  ,                  ,                  ,                      ,               ,            ,1             ,                ,                 ,           ,                  ,22                    ,            ,                 ,3                   ,                ,                   ,7                       ,                  ,2                  ,37                 ,1                   ,8                 ,23               ,11                          ,-                 ,-               ,                               ,-               ,1                ,                   ,                  ,3                  ,5                 ,                  ,8                   ,3           ,                  ,                    ,                  ,5                ,9                       ,                         ,                  ,                 ,25                 ,5                ,16                 ,1                        ,32              ,1                       ,-                      ,8                ,2                             ,                 ,11          ,157         ,                   ,5                              ,7                ,4                  ,                         ,51                 ,1                  ,1                ,2                 ,1                ,1                ,3                          ,2                 ,3                ,           ,                  ,                    ,                   ,                 ,                          ,              ,                       ,                  ,                  ,from Leg 143 SR; Ch 4; Table 1; p. 78-79
