Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Hastigerinopsis riedeli,Globorotalia puncticulata,Globorotalia obesa,Globigerina falconensis,Globigerina bulloides,Neogloboquadrina dutertrei,Globorotalia scitula,Globorotalia pumilio,Globorotalia inflata,Globorotalia crassaformis crassaformis,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinita iota,Globigerinita glutinata,Globigerina quinqueloba,Globorotalia bermudezi,Globigerina decoraperta,Globigerinita uvula,Globigerinoides tenellus,Globigerinita parkerae,Pulleniatina obliquiloculata,Globorotaloides hexagona,Globigerinella aequilateralis,Globigerina megastoma,Orbulina universa,Globorotalia cultrata menardii,Globigerina calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 686,B,  7,X,CC,  15.00,     57.8500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,A                        ,F                      ,                         ,C                 ,F                      ,C                    ,                          ,                    ,F                   ,                    ,                                      ,                          ,                     ,C                 ,F                      ,C                      ,                      ,                       ,T                  ,                        ,R                     ,                            ,                        ,                             ,                     ,T                ,                              ,T                 ,from ODP Leg 112 SR Chapter 15 Table 8 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 686,B, 13,X,CC,   9.00,    113.9300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,A                          ,C                        ,                       ,                         ,C                 ,C                      ,C                    ,                          ,                    ,                    ,                    ,                                      ,                          ,                     ,                  ,                       ,                       ,T                     ,                       ,                   ,                        ,                      ,                            ,                        ,                             ,                     ,                 ,T                             ,                  ,from ODP Leg 112 SR Chapter 15 Table 8 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 686,B, 15,X,CC,  12.00,    140.6700,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,A                          ,A                        ,                       ,                         ,C                 ,T                      ,C                    ,T                         ,                    ,A                   ,                    ,T                                     ,                          ,                     ,F                 ,                       ,C                      ,                      ,                       ,                   ,                        ,                      ,                            ,                        ,                             ,                     ,T                ,                              ,                  ,from ODP Leg 112 SR Chapter 15 Table 8 p 253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 686,B, 20,X,CC,   9.00,    189.4200,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,C                          ,F                        ,T                      ,                         ,T                 ,C                      ,A                    ,C                         ,T                   ,C                   ,F                   ,C                                     ,                          ,T                    ,T                 ,C                      ,C                      ,T                     ,T                      ,                   ,                        ,                      ,F                           ,T                       ,F                            ,T                    ,                 ,                              ,                  ,from ODP Leg 112 SR Chapter 15 Table 8 p 253
