Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
138, 847,B,Initial Reports          ,       0.000,    0.000000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,      14.640,    0.461000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,      39.150,    1.120000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,      52.430,    1.450000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,      69.600,    1.880000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,      86.810,    2.410000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,     121.880,    3.560000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,     143.330,    4.370000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,     194.600,    4.980000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,     222.540,    5.800000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,     243.630,    6.500000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
138, 847,B,Initial Reports          ,     251.360,    6.700000,By site only; depth=mcd; Leg 138 IR vol 1; p 357
,,,,,,
