Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria laevigata,Uvigerina senticosa,Uvigerina peregrina,Uvigerina auberiana,Stilostomella spp.,Pyrgo spp.,Pullenia bulloides,Oridorsalis umbonatus,Nuttallides umbonifera,Nonionella atlantica,Nodosaria spp.,Melonis sp.,Melonis pompilioides,Melonis barleeanus,Lagena spp.,Hoeglundina elegans,Gyroidinoides spp.,Globocassidulina subglobosa,Globobulimina affinis,Gavelinopsis translucens,Fontbotia wuellerstorfi,Epistominella exigua,Elphidium spp.,Eggerella bradyi,Cibicidoides kullenbergi,Chilostomella oolina,Cassidulina crassa,Cassidulina carinata,Bulimina marginata,Bulimina gr. costata,Bulimina alazanensis,Bulimina aculeata,Brizalina subaenariensis,Bolivinita quadrilatera,Bolivina pseudopunctata,Bolivina paula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  1,H,CC,  10.00,      3.6100,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,-                     ,-                  ,T                  ,-                  ,-                 ,-         ,F                 ,-                    ,T                     ,R                   ,-             ,-          ,-                   ,F                 ,F          ,T                  ,F                 ,-                          ,-                    ,T                       ,F                      ,-                   ,T             ,R               ,R                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,F                      ,C             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  2,H,CC,  15.00,     13.1000,Poli     ,Benthic Foraminifers                         ,F              ,G                 ,T                     ,T                  ,-                  ,-                  ,-                 ,-         ,-                 ,-                    ,F                     ,-                   ,-             ,-          ,-                   ,-                 ,F          ,-                  ,-                 ,-                          ,-                    ,R                       ,T                      ,-                   ,T             ,-               ,-                       ,F                   ,-                 ,-                   ,F                 ,T                   ,-                   ,-                ,-                       ,-                      ,-                      ,C             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  3,H,CC,  16.00,     23.0200,Poli     ,Benthic Foraminifers                         ,C              ,G                 ,-                     ,-                  ,C                  ,-                  ,-                 ,F         ,R                 ,-                    ,-                     ,-                   ,R             ,-          ,-                   ,R                 ,-          ,C                  ,F                 ,-                          ,-                    ,-                       ,F                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,-                      ,-             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1056,B,  4,H,CC,  15.00,     32.5600,Poli     ,Benthic Foraminifers                         ,C              ,M                 ,T                     ,-                  ,-                  ,T                  ,T                 ,R         ,R                 ,-                    ,-                     ,R                   ,-             ,-          ,-                   ,R                 ,-          ,-                  ,-                 ,T                          ,-                    ,R                       ,-                      ,-                   ,-             ,-               ,-                       ,-                   ,-                 ,-                   ,-                 ,-                   ,-                   ,-                ,-                       ,-                      ,F                      ,C             ,       
