Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Truncorotalia crassaformis,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma,Menardella menardii (sinistral),Menardella menardii (dextral),Globorotalia tumida flexuosa,Globorotalia tumida,Globoconella inflata,Menardella limbata,Globigerinoides fistulosus,Globigerinoides obliquus,Globigerina bulloides,Hirsutella hirsuta,Globoturborotalita rubescens,Globigerinoides extremus,Truncorotalia crassaformis hessi,Globigerina bermudezi,Hastigerina pelagica,Menardella exilis,Globigerinella calida,Globigerina cariacoensis,Globigerina falconensis,Comment, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Holocene         ,                  ,N22           ,172,1056,B,  1,H,CC,  10.00,      3.6100,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,R                                    ,R                                    ,R                         ,-                        ,                            ,                           ,R                              ,-                            ,                            ,-                  ,F                   ,                  ,                          ,                        ,R                    ,-                 ,-                           ,                        ,                                ,R                    ,R                   ,                 ,-                    ,                        ,R                      ,early Holocene? menardii present dextral > sinistral truncat,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  2,H, 3,  70.00,      7.3000,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,F                                    ,F                                    ,-                         ,-                        ,R                           ,                           ,-                              ,-                            ,                            ,-                  ,F                   ,                  ,                          ,                        ,-                    ,-                 ,R                           ,                        ,                                ,-                    ,                    ,                 ,R                    ,                        ,                       ,no flexuosa<0.068 Ma,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  2,H, 4,  70.00,      8.8000,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,R                                    ,R                                    ,-                         ,                         ,R                           ,                           ,-                              ,-                            ,                            ,-                  ,F                   ,                  ,                          ,                        ,-                    ,-                 ,R                           ,                        ,                                ,-                    ,                    ,                 ,-                    ,                        ,                       ,lots of aragonitic debris no flexuosa <0.068 Ma,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1056,B,  2,H, 5,  70.00,     10.3000,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,+                                    ,+                                    ,+                         ,                         ,+                           ,                           ,                               ,                             ,                            ,                   ,+                   ,                  ,                          ,                        ,+                    ,+                 ,                            ,                        ,                                ,                     ,                    ,                 ,+                    ,                        ,                       ,"no flexuosa, <0.068 Ma",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
